Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;03/2025;2.321.394.441;1.060.554.908;475.146.648;2.146.751.559;1.864.847.340;174.642.883;6.798.842;3.998;483
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;03/2025;2.089.005.026;1.212.547.197;304.013.522;1.984.925.287;1.795.556.018;104.079.740;5.387.708;3.254;887
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;03/2025;1.936.563.042;598.529.757;521.556.866;1.774.123.637;1.646.233.040;162.439.404;8.868.279;1.960;1.146
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;03/2025;1.622.600.238;659.086.200;255.147.506;1.458.407.420;1.273.004.563;164.192.818;5.802.082;2.300;870
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;03/2025;1.165.249.221;357.283.264;236.920.335;1.075.235.961;926.234.202;90.013.261;3.818.044;2.387;1.544
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2025;857.686.345;326.744.993;130.719.170;689.486.389;569.680.164;168.199.955;5.617.809;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2025;447.683.119;72.064.404;125.051.584;387.904.540;313.069.484;59.778.579;3.209.922;26;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;03/2025;439.827.919;163.530.267;17.239.423;246.145.790;102.106.235;193.682.130;10.876.213;2;7
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;03/2025;236.982.007;77.763.084;46.695.101;218.273.878;181.153.250;18.708.129;990.767;129;3
BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;03/2025;203.689.557;40.600.758;45.582.406;198.759.983;176.628.896;4.929.574;-45.220;6;0
BANCO XP S.A.;33264668;XP - PRUDENCIAL;52120;82475;b1;2;8;RIO DE JANEIRO;RJ;03/2025;193.170.617;27.376.991;46.762.575;181.453.018;136.956.041;11.717.599;256.394;2;0
BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;3;8;SAO PAULO;SP;03/2025;182.665.405;32.902.162;52.068.593;177.704.570;150.215.649;4.960.835;423.013;47;8
