Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO C6 S.A.;31872495;BANCO C6 - PRUDENCIAL;52072;84844;b1;2;8;SAO PAULO;SP;06/2025;85.719.015;35.898.620;26.732.381;82.113.344;62.328.637;3.605.671;504.275;2;0
BANCO INTER S.A.;416968;INTER - PRUDENCIAL;51884;80996;b1;2;8;BELO HORIZONTE;MG;06/2025;83.407.401;35.989.629;22.965.448;76.096.584;63.562.980;7.310.817;466.690;17;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER - PRUDENCIAL;30379;80185;n1;3;14;SAO PAULO;SP;06/2025;82.753.626;70.644.261;6.921.822;74.188.982;71.893.237;8.564.644;901.120;1;0
BANCO DAYCOVAL S.A.;62232889;BCO DAYCOVAL S.A - PRUDENCIAL;51987;81744;b1;2;8;SAO PAULO;SP;06/2025;80.820.455;47.125.370;15.999.401;73.153.550;65.595.419;7.666.905;867.721;54;0
STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;STONE IP - PRUDENCIAL;;84686;n4;3;41;SAO PAULO;SP;06/2025;75.805.682;0;28.159.441;73.005.590;25.270.426;2.800.092;433.719;1;0
BRB - BANCO DE BRASILIA S.A.;208;BRB - PRUDENCIAL;31976;80288;b1;1;8;BRASILIA;DF;06/2025;74.509.301;50.939.367;7.325.405;70.524.341;64.095.412;3.984.960;510.334;87;161
BANCO DO NORDESTE DO BRASIL S.A.;7237373;BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;;81593;b1;1;8;FORTALEZA;CE;06/2025;74.357.909;18.147.582;44.515.473;59.528.509;22.876.182;14.829.400;1.383.679;301;1
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO;10440482;SANTANDER - PRUDENCIAL;;80185;n4;3;41;SAO PAULO;SP;06/2025;73.429.348;0;111.432;70.253.326;471.123;3.176.022;246.910;1;0
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10573521;MERCADO PAGO IP - PRUDENCIAL;;84820;n4;3;41;OSASCO;SP;06/2025;72.707.781;12.573.391;19.979.794;69.528.390;32.017.221;3.179.392;278.847;1;0
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;PAGSEGURO - PRUDENCIAL;;84813;n4;2;41;SAO PAULO;SP;06/2025;70.008.263;546.650;4.998.743;60.227.128;41.730.394;9.781.134;381.757;1;0
BANCO PAN S.A.;59285411;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2025;67.362.449;48.888.646;5.813.306;59.683.913;55.035.397;7.678.537;377.153;2;0
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL - PRUDENCIAL;41856;80312;b1;3;8;SAO PAULO;SP;06/2025;60.142.730;16.419.452;27.110.529;53.561.327;45.546.035;6.581.403;469.668;13;0
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2025;59.175.741;44.435.985;150.271;58.630.309;56.061.273;545.432;119.681;3;5
BANCO DA AMAZONIA S.A.;4902979;BCO DA AMAZONIA S.A. - PRUDENCIAL;;81249;b1;1;2;BELEM;PA;06/2025;59.112.008;33.096.836;21.600.065;52.083.964;15.217.629;7.028.043;575.159;115;0
BANCO VOLKSWAGEN S.A.;59109165;VOLKSWAGEN - PRUDENCIAL;;80202;b2;3;8;SAO PAULO;SP;06/2025;56.702.954;48.038.544;21.550;51.608.578;46.799.622;5.094.376;223.435;2;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;;81555;b1;3;8;SAO PAULO;SP;06/2025;53.660.460;38.234.028;5.390.165;47.883.381;43.239.445;5.777.079;349.053;19;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS - PRUDENCIAL;;80673;b1;3;8;SAO PAULO;SP;06/2025;52.215.686;7.003.952;22.447.422;48.258.862;31.592.721;3.956.825;25.009;2;0
BANCO BMG S.A.;61186680;BMG - PRUDENCIAL;30290;80178;b1;2;8;SAO PAULO;SP;06/2025;49.853.960;20.858.255;12.480.226;46.122.915;35.587.437;3.731.046;240.127;27;2
BANCO C6 CONSIGNADO S.A.;61348538;BANCO C6 - PRUDENCIAL;52072;84844;b1;2;8;SAO PAULO;SP;06/2025;44.805.737;33.959.191;7.111.006;41.529.176;29.659.828;3.276.560;450.696;2;0
BANCOSEGURO S.A.;10264663;PAGSEGURO - PRUDENCIAL;52182;84813;b1;2;8;SAO PAULO;SP;06/2025;44.566.906;40.016.543;325.498;43.704.360;43.490.683;862.546;43.791;2;0
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH - PRUDENCIAL;51255;80556;b1;3;8;SAO PAULO;SP;06/2025;42.195.157;2.272.435;11.257.499;36.150.926;24.966.267;6.044.231;570.712;2;0
BANCO AGIBANK S.A.;10664513;AGIBANK - PRUDENCIAL;51956;83694;b1;2;2;CAMPINAS;SP;06/2025;39.427.992;28.395.137;6.369.923;36.530.873;27.994.072;2.897.120;647.987;2;238
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES - PRUDENCIAL;30159;80147;b1;1;8;VITORIA;ES;06/2025;39.084.556;11.938.364;15.523.092;36.731.947;35.265.762;2.352.609;193.767;86;62
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2025;38.935.573;25.925.986;0;37.854.274;37.152.824;1.081.299;82.864;2;0
BANCO CLASSICO S.A.;31597552;BCO CLASSICO S.A. - PRUDENCIAL;;81665;b1;2;8;RIO DE JANEIRO;RJ;06/2025;33.336.102;0;28.231.905;15.261.667;4.575.802;18.074.435;65.787;2;0
PICPAY BANK - BANCO MÚLTIPLO S.A;9516419;PICPAY - PRUDENCIAL;52632;88022;b1;2;8;SAO PAULO;SP;06/2025;32.005.862;16.073.020;9.172.246;31.099.455;24.934.160;906.407;-95.062;2;0
