Instituição;Código;Conglomerado Financeiro;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;03/2020;1.526.576.297;620.847.544;1.424.355.817;1.224.384.634;102.220.480;3.189.276;4.369;838
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;03/2020;1.314.428.681;699.622.365;1.261.297.487;1.073.225.751;53.131.194;2.923.829;3.373;745
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2020;1.273.076.905;384.387.705;1.143.528.290;958.332.012;129.548.615;3.382.086;4.474;1.390
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2020;1.272.363.618;256.637.137;1.184.889.871;992.379.508;87.473.747;366.577;2.974;894
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;03/2020;994.363.368;248.106.303;909.358.645;633.514.961;85.004.723;3.788.539;2.746;1.910
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2020;740.643.258;263.667.310;655.242.055;286.391.508;85.401.203;5.544.454;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2020;206.303.262;17.371.960;184.304.370;92.763.883;21.998.893;-907.786;8;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;03/2020;161.290.506;48.196.306;149.026.562;131.915.397;12.263.944;497.253;114;5
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2020;130.854.339;0;6.965.135;0;123.889.204;1.879.625;2;0
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;03/2020;115.139.264;17.565.995;109.057.683;59.169.513;6.081.580;195.563;121;8
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;03/2020;113.051.856;82.368.811;102.553.672;51.642.682;10.498.183;-557.948;2;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;03/2020;95.586.154;9.739.928;85.591.892;72.769.787;9.994.262;204.488;12;0
