Instituição;Código;Conglomerado Financeiro;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;09/2020;1.686.844.897;632.041.313;1.574.756.661;1.362.539.439;112.088.236;3.037.477;4.371;773
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;09/2020;1.472.472.775;756.488.417;1.415.318.062;1.214.541.908;57.154.713;1.755.241;3.373;787
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;09/2020;1.388.171.850;408.443.928;1.250.711.209;1.061.967.766;137.460.641;4.194.080;4.020;1.324
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;09/2020;1.357.088.004;293.200.730;1.253.676.256;1.084.832.893;103.411.748;3.029.526;2.964;902
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;09/2020;983.221.079;284.870.352;891.699.295;685.833.553;91.521.784;3.743.927;2.767;1.842
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;09/2020;780.163.816;277.412.272;675.709.432;315.721.410;104.454.384;8.726.464;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;09/2020;245.523.315;29.041.181;219.528.936;138.659.485;25.994.380;1.029.393;11;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;09/2020;178.590.759;59.166.043;165.527.703;147.253.341;13.063.056;453.265;114;5
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;09/2020;139.032.289;0;8.365.744;0;130.666.544;4.609.430;2;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;09/2020;125.942.289;82.751.288;115.475.418;65.865.975;10.466.870;-125.986;2;0
