Instituição;Código;Conglomerado Financeiro;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;06/2020;1.620.483.409;618.569.121;1.515.476.884;1.298.601.311;105.006.525;6.347.858;4.369;799
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;06/2020;1.430.245.412;720.080.138;1.374.364.651;1.178.614.563;55.880.760;5.347.397;3.373;741
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2020;1.320.719.601;269.943.327;1.220.763.562;1.054.065.584;99.956.039;2.599.017;2.971;898
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2020;1.299.698.447;392.697.120;1.164.564.794;991.410.060;135.133.653;6.888.141;4.334;1.380
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;06/2020;970.067.319;250.439.184;883.897.573;652.973.366;86.169.746;5.942.878;2.748;1.903
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2020;753.937.375;272.144.009;655.442.044;298.930.301;98.495.331;4.961.724;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2020;217.364.024;22.956.546;191.790.861;112.375.043;25.573.163;364.073;8;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;06/2020;186.884.870;49.768.796;174.244.555;155.665.794;12.640.315;921.256;114;5
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2020;134.876.986;0;8.461.086;0;126.415.900;6.715.476;2;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;06/2020;114.848.033;75.547.316;104.175.926;59.663.415;10.672.107;-364.132;2;0
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;06/2020;109.044.920;18.615.539;102.759.680;57.906.986;6.285.240;319.214;121;8
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;06/2020;107.974.517;9.960.214;97.831.644;85.135.130;10.142.874;409.901;12;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;80154;b1;1;8;PORTO ALEGRE;RS;06/2020;87.029.805;35.835.660;78.812.744;67.678.976;8.217.061;377.299;520;138
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;80116;b1;3;8;SAO PAULO;SP;06/2020;77.061.158;4.422.911;71.900.167;51.208.957;5.160.991;69.891;5;0
CIELO S.A.;1027058;;;84710;n4;2;41;BARUERI;SP;06/2020;73.353.759;0;64.207.845;8.653.674;9.145.914;91.597;1;0
BANCO COOPERATIVO SICREDI S.A.;1181521;;;80745;b1;2;11;PORTO ALEGRE;RS;06/2020;71.201.464;12.507.772;69.778.762;65.687.769;1.422.702;32.902;6;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;06/2020;69.920.195;12.622.222;66.879.521;27.320.651;3.040.674;177.486;5;0
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;BANCOOB;51750;80879;b1;2;11;BRASILIA;DF;06/2020;67.304.402;9.995.098;65.296.654;57.366.756;2.007.747;91.362;5;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;81593;b1;1;8;FORTALEZA;CE;06/2020;59.019.670;10.988.649;53.131.074;19.111.899;5.888.597;332.537;296;2
REDECARD S.A.;1425787;;;80099;n4;2;41;SAO PAULO;SP;06/2020;58.470.718;0;41.252.281;0;17.218.437;88.225;1;0
ING BANK N.V.;49336860;ING;51073;80501;b1;3;28;SAO PAULO;SP;06/2020;57.770.549;4.588.164;57.104.141;17.355.343;666.408;-1.546;2;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE;51066;80491;b1;3;8;SAO PAULO;SP;06/2020;57.295.864;4.842.537;54.983.125;9.684.703;2.312.738;13.747;2;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;;;81555;b1;3;8;SAO PAULO;SP;06/2020;52.143.225;28.490.661;48.028.640;33.015.414;4.114.585;188.128;19;0
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2020;50.417.634;34.918.315;39.030.492;36.333.516;11.387.142;604.590;3;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;80185;n1;3;14;SAO PAULO;SP;06/2020;47.224.504;44.502.025;45.848.275;43.534.057;1.376.229;400.744;1;0
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;80484;n1;2;14;SAO PAULO;SP;06/2020;46.594.754;44.358.233;45.759.105;34.520.260;835.649;103.094;76;0
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL;41856;80312;b1;3;8;SAO PAULO;SP;06/2020;45.148.108;15.776.049;41.054.809;28.618.893;4.093.299;142.613;11;0
BANCO DAYCOVAL S.A.;62232889;DAYCOVAL;51987;81744;b1;2;8;SAO PAULO;SP;06/2020;40.027.039;21.396.774;35.906.297;30.440.269;4.120.741;655.063;48;0
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;06/2020;38.466.670;0;35.879.908;10.336.679;2.586.762;289.573;4;0
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;80219;b2;3;13;SAO PAULO;SP;06/2020;36.481.200;4.125.145;31.659.261;23.587.289;4.821.939;-87.129;3;0
BANCO PAN S.A.;59285411;PAN;31323;80257;b1;2;8;SAO PAULO;SP;06/2020;33.781.461;24.410.274;28.668.719;24.747.848;5.112.742;314.450;2;0
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH;51255;80556;b1;3;8;SAO PAULO;SP;06/2020;30.761.061;660.903;28.098.073;12.904.845;2.662.987;87.219;2;0
BANCO MUFG BRASIL S.A.;60498557;;;81713;b1;3;8;SAO PAULO;SP;06/2020;29.107.144;2.968.813;27.834.390;8.533.624;1.272.754;11.128;2;0
BANCO BANDEPE S.A.;10866788;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;06/2020;28.844.833;0;23.535.189;23.368.728;5.309.645;35.067;2;0
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2020;28.514.319;27.996.644;25.938.742;25.471.273;2.575.576;220.309;2;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;;;80185;n4;3;41;SAO PAULO;SP;06/2020;28.153.667;67.481;25.414.806;906.928;2.738.861;166.899;0;0
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES;30159;80147;b1;1;8;VITORIA;ES;06/2020;27.118.680;4.709.374;25.534.739;24.540.773;1.583.940;124.712;116;37
KIRTON BANK S.A. - BANCO MÚLTIPLO;1701201;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2020;25.988.217;503.853;1.030.976;0;24.957.242;342.427;1;0
BANCO J. SAFRA S.A.;3017677;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;06/2020;25.348.624;15.158.793;24.194.662;23.425.282;1.153.963;133.353;2;0
BANCO VOLKSWAGEN S.A.;59109165;;;80202;b2;3;8;SAO PAULO;SP;06/2020;24.916.953;17.649.552;22.186.857;17.688.363;2.730.096;106.664;2;0
BANCO BMG S.A.;61186680;BMG;30290;80178;b1;2;8;SAO PAULO;SP;06/2020;24.693.942;11.752.893;20.657.593;17.138.719;4.036.350;156.194;28;0
BANCO SOCIETE GENERALE BRASIL S.A.;61533584;SOCIETE GENERALE;31859;80264;b1;3;8;SAO PAULO;SP;06/2020;23.913.216;3.168.826;22.408.923;6.342.192;1.504.293;55.696;2;0
BANCO MORGAN STANLEY S.A.;2801938;MORGAN STANLEY;51413;80628;b1;3;8;SAO PAULO;SP;06/2020;22.940.903;0;20.329.102;13.072.149;2.611.801;206.993;2;0
BANCO DA AMAZONIA S.A.;4902979;;;81249;b1;1;2;BELEM;PA;06/2020;20.512.334;3.938.955;18.195.805;6.262.815;2.316.529;108.935;121;0
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;4332281;GOLDMAN SACHS;51585;80714;b2;3;8;SAO PAULO;SP;06/2020;19.934.720;18.964;17.906.729;7.322.078;2.027.991;99.073;2;0
STONE PAGAMENTOS S.A.;16501555;;;84686;n4;2;41;SAO PAULO;SP;06/2020;19.555.943;0;18.429.629;1.230.109;1.126.314;81.546;1;0
BANCO BRADESCO BERJ S.A.;33147315;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2020;19.515.167;1.605;15.843.742;14.659.498;3.671.425;19.124;3;0
CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;7450604;CCB;32119;80295;b1;3;8;SAO PAULO;SP;06/2020;19.477.330;7.683.395;18.469.389;16.200.681;1.007.940;-523.162;9;0
NU PAGAMENTOS S.A.;18236120;;;84693;n4;2;41;SAO PAULO;SP;06/2020;19.282.351;12.159.671;18.305.072;4.712.487;977.279;-100.011;1;0
BRB - BANCO DE BRASILIA S.A.;208;BRB;31976;80288;b1;1;8;BRASILIA;DF;06/2020;19.243.843;10.991.622;17.383.591;15.202.712;1.860.252;200.047;124;11
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA;51293;80570;b2;2;13;SAO PAULO;SP;06/2020;16.854.220;2.675.932;15.343.935;15.177.886;1.510.285;31.246;10;0
PAGSEGURO INTERNET S.A.;8561701;;;84813;n4;2;41;SAO PAULO;SP;06/2020;16.672.131;97.277;8.936.333;738.839;7.735.798;625.741;1;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;;;81311;b4;1;5;PORTO ALEGRE;RS;06/2020;16.595.423;13.470.756;13.626.781;12.634.317;2.968.642;83.085;4;0
BANCO OLÉ CONSIGNADO S.A.;71371686;SANTANDER;30379;80185;b2;3;8;SAO PAULO;SP;06/2020;15.726.810;15.662.675;13.975.716;13.517.155;1.751.094;257.299;3;0
BANCO ORIGINAL S.A.;92894922;ORIGINAL;51781;80903;b1;2;8;SAO PAULO;SP;06/2020;14.519.300;6.993.984;12.632.944;11.874.953;1.886.355;-219.898;2;0
