Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;06/2022;1.998.370.277;778.112.424;1.853.458.062;1.609.449.041;144.912.215;14.158.499;3.987;651
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2022;1.500.865.638;389.188.544;1.377.322.748;1.180.701.413;123.542.890;11.530.709;2.633;937
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;06/2022;1.490.092.130;928.174.798;1.409.122.123;1.219.001.606;80.970.007;3.965.025;3.373;913
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2022;1.430.159.672;527.355.087;1.277.455.867;1.068.561.495;152.703.805;14.084.516;2.937;1.314
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;06/2022;948.191.312;329.356.996;868.261.395;704.138.433;79.929.917;7.776.382;2.582;1.578
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2022;759.514.283;273.938.163;630.186.255;248.025.416;129.328.027;24.615.500;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2022;289.416.511;51.272.155;248.057.776;218.889.869;41.358.735;4.009.882;19;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;06/2022;228.162.678;82.427.722;212.461.440;181.811.622;15.701.238;1.140.921;117;4
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2022;170.471.484;0;19.235.643;0;151.235.841;14.462.229;2;0
BANCO ITAUCARD S.A.;17192451;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;06/2022;159.932.690;135.346.640;149.072.796;72.180.863;10.859.894;494.120;2;0
BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;3;8;SAO PAULO;SP;06/2022;147.083.714;27.259.827;142.183.303;95.933.128;4.900.411;729.677;51;8
BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;06/2022;122.445.374;18.228.968;119.244.995;108.634.445;3.200.379;99.325;6;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM - PRUDENCIAL;51011;80484;b1;2;8;SAO PAULO;SP;06/2022;116.153.555;60.404.869;103.481.524;84.517.392;12.672.031;832.673;4;19
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL - PRUDENCIAL;30173;80154;b1;1;8;PORTO ALEGRE;RS;06/2022;109.250.367;44.452.740;100.284.544;86.043.530;8.965.823;391.916;504;129
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1027058;CIELO IP - PRUDENCIAL;;84710;n4;2;41;BARUERI;SP;06/2022;105.839.598;0;95.289.606;4.830.291;10.549.992;819.817;1;0
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;ITAU - PRUDENCIAL;;80099;n4;2;41;SAO PAULO;SP;06/2022;97.517.355;0;54.190.721;0;43.326.634;1.502.527;1;0
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE - PRUDENCIAL;20107;80116;b1;3;8;SAO PAULO;SP;06/2022;93.101.383;4.192.425;86.008.946;60.080.568;7.092.437;476.060;3;0
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;2038232;BANCOOB - PRUDENCIAL;51750;80879;b1;2;11;BRASILIA;DF;06/2022;86.574.246;18.348.164;83.796.174;70.272.347;2.778.072;291.002;5;0
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;06/2022;81.489.770;0;74.916.111;55.575.133;6.573.659;-165.330;4;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS - PRUDENCIAL;51516;80673;b1;3;8;SAO PAULO;SP;06/2022;77.824.719;8.759.833;74.660.057;32.743.862;3.164.662;77.879;5;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER - PRUDENCIAL;30379;80185;n1;3;14;SAO PAULO;SP;06/2022;69.333.325;54.571.907;56.652.741;54.381.911;12.680.583;375.381;1;0
BANCO XP S.A.;33264668;XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;52120;82475;b1;2;8;RIO DE JANEIRO;RJ;06/2022;68.793.681;17.863.747;67.963.683;54.946.412;829.998;235.172;2;0
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2022;68.452.241;46.122.319;67.384.242;64.174.330;1.067.999;670.528;3;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;06/2022;65.910.508;20.551.929;61.309.618;57.190.985;4.600.891;452.496;2;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;;81593;b1;1;8;FORTALEZA;CE;06/2022;65.005.841;14.031.226;56.815.489;20.891.035;8.190.352;701.343;296;2
BANCO DAYCOVAL S.A.;62232889;BCO DAYCOVAL S.A - PRUDENCIAL;51987;81744;b1;2;8;SAO PAULO;SP;06/2022;63.464.217;38.164.448;58.189.512;49.404.045;5.274.705;468.068;52;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;NU PAGAMENTOS - PRUDENCIAL;;84693;n4;2;41;SAO PAULO;SP;06/2022;58.292.121;29.393.262;54.833.493;14.841.595;3.458.628;58.160;1;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO;10440482;SANTANDER - PRUDENCIAL;;80185;n4;3;41;SAO PAULO;SP;06/2022;56.466.564;0;53.640.065;1.898.228;2.826.498;275.672;1;0
BANCO PAN S.A.;59285411;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2022;55.086.266;36.073.918;47.367.453;41.235.154;7.718.812;364.513;2;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;;81555;b1;3;8;SAO PAULO;SP;06/2022;49.065.370;28.670.148;43.882.696;32.657.395;5.182.674;293.264;19;0
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH - PRUDENCIAL;51255;80556;b1;3;8;SAO PAULO;SP;06/2022;45.289.916;1.194.355;41.476.465;17.076.743;3.813.451;443.343;2;0
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL - PRUDENCIAL;41856;80312;b1;3;8;SAO PAULO;SP;06/2022;44.821.636;20.337.735;39.911.066;33.192.774;4.910.571;384.813;12;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE - PRUDENCIAL;51066;80491;b1;3;8;SAO PAULO;SP;06/2022;43.366.828;3.043.989;40.937.552;10.952.379;2.429.276;54.161;2;0
BANCO BMG S.A.;61186680;BMG - PRUDENCIAL;30290;80178;b1;2;8;SAO PAULO;SP;06/2022;43.170.955;18.157.088;39.331.717;35.074.709;3.839.238;99.934;29;0
BANCO INTER S.A.;416968;INTER - PRUDENCIAL;51884;80996;b1;2;8;BELO HORIZONTE;MG;06/2022;40.558.432;19.154.234;32.209.882;26.466.663;8.348.550;28.998;19;0
BANCO J. SAFRA S.A.;3017677;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;06/2022;38.848.312;21.814.803;38.105.715;36.944.118;742.598;135.686;2;0
BRB - BANCO DE BRASILIA S.A.;208;BRB - PRUDENCIAL;31976;80288;b1;1;8;BRASILIA;DF;06/2022;37.444.936;22.199.981;35.009.972;31.580.667;2.434.964;190.525;126;87
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES - PRUDENCIAL;30159;80147;b1;1;8;VITORIA;ES;06/2022;37.097.472;7.069.660;35.156.085;33.864.864;1.941.388;182.115;102;51
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE - PRUDENCIAL;30771;80219;b2;3;13;SAO PAULO;SP;06/2022;36.435.497;6.775.673;30.167.653;22.788.294;6.267.844;580.274;3;0
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2022;34.370.786;34.050.864;32.886.460;31.117.434;1.484.326;-267.066;2;0
BANCO DA AMAZONIA S.A.;4902979;BCO DA AMAZONIA S.A. - PRUDENCIAL;;81249;b1;1;2;BELEM;PA;06/2022;32.685.445;14.598.497;28.215.283;10.235.319;4.470.162;439.161;119;0
BANCO C6 S.A.;31872495;BANCO C6 - PRUDENCIAL;52072;84844;b1;2;8;SAO PAULO;SP;06/2022;31.827.690;10.157.606;27.448.118;20.185.650;4.379.572;-459.838;2;0
BANCO SOCIETE GENERALE BRASIL S.A.;61533584;SOCIETE GENERALE - PRUDENCIAL;31859;80264;b1;3;8;SAO PAULO;SP;06/2022;31.487.168;1.097.180;29.930.068;4.542.617;1.557.100;7.978;2;0
BANCO VOLKSWAGEN S.A.;59109165;VOLKSWAGEN - PRUDENCIAL;;80202;b2;3;8;SAO PAULO;SP;06/2022;31.153.160;26.142.506;28.242.614;23.149.933;2.910.547;20.940;2;0
STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;STONE IP - PRUDENCIAL;;84686;n4;2;41;SAO PAULO;SP;06/2022;30.383.590;0;29.205.255;3.917.556;1.178.335;-83.353;1;0
BANCO MUFG BRASIL S.A.;60498557;BCO MUFG BRASIL S.A. - PRUDENCIAL;;81713;b1;3;8;SAO PAULO;SP;06/2022;29.365.260;4.073.565;28.004.281;8.400.050;1.360.979;42.072;2;0
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;4332281;GOLDMAN SACHS - PRUDENCIAL;51585;80714;b2;3;8;SAO PAULO;SP;06/2022;28.637.328;321.179;26.142.290;8.156.332;2.495.038;108.638;2;0
BANCO HSBC S.A.;53518684;HSBC BI - PRUDENCIAL;;84741;b1;3;8;SAO PAULO;SP;06/2022;28.430.997;2.167.369;27.423.581;6.845.091;1.007.417;12.827;2;0
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;PAGSEGURO - PRUDENCIAL;;84813;n4;2;41;SAO PAULO;SP;06/2022;26.529.496;434.093;17.758.836;1.908.964;8.770.660;486.636;1;0
BANCO ORIGINAL S.A.;92894922;BANCO ORIGINAL - PRUDENCIAL;51781;80903;b1;2;8;SAO PAULO;SP;06/2022;25.418.685;16.883.981;23.709.870;20.023.070;1.708.814;-544.706;2;0
BANCO BANDEPE S.A.;10866788;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;06/2022;25.347.491;0;19.940.015;19.575.028;5.407.476;224.595;2;0
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA - PRUDENCIAL;51293;80570;b2;2;13;SAO PAULO;SP;06/2022;23.622.016;5.991.741;21.995.245;21.735.808;1.626.771;49.381;9;1
BANCO MORGAN STANLEY S.A.;2801938;MORGAN STANLEY - PRUDENCIAL;51413;80628;b1;3;8;SAO PAULO;SP;06/2022;23.414.920;0;20.334.632;8.440.545;3.080.288;99.679;2;0
HIPERCARD BANCO MÚLTIPLO S.A.;3012230;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2022;19.181.761;13.090.722;16.210.218;3.495.412;2.971.543;241.294;2;0
