Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;06/2021;1.778.044.209;674.792.980;1.642.600.215;1.433.834.478;135.443.994;9.724.433;3.980;722
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;;80738;b1;1;6;BRASILIA;DF;06/2021;1.460.364.090;816.250.696;1.386.458.825;1.202.651.644;73.905.265;10.226.957;3.373;843
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2021;1.399.819.336;455.791.149;1.253.331.179;1.051.513.962;146.488.157;12.127.062;3.246;1.394
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2021;1.337.392.389;328.969.900;1.227.961.874;1.029.481.756;109.430.514;10.078.825;2.864;872
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;06/2021;893.246.583;309.902.536;808.708.493;668.955.935;84.538.091;7.095.077;2.625;1.940
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2021;756.054.417;267.063.554;633.748.381;254.797.727;122.306.036;15.116.080;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2021;255.745.873;38.971.098;220.702.306;162.275.081;35.043.567;3.175.632;17;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;06/2021;210.977.544;74.261.925;196.401.715;170.284.457;14.575.830;1.128.158;114;4
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2021;147.742.231;0;11.700.421;0;136.041.810;12.792.551;2;0
BANCO ITAUCARD S.A.;17192451;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;06/2021;128.409.044;97.321.701;117.736.187;60.792.849;10.672.857;1.303.738;2;0
