Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;03/2023;2.012.874.026;877.488.350;1.854.314.358;1.637.243.024;158.559.668;8.116.900;3.982;581
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;03/2023;1.697.339.984;409.533.176;1.563.498.833;1.364.240.623;133.841.151;6.682.613;2.538;1.000
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;03/2023;1.649.149.097;1.036.897.468;1.562.513.346;1.375.291.488;86.635.751;1.839.232;3.372;883
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;03/2023;1.518.101.609;531.398.829;1.362.780.267;1.164.582.884;155.321.342;4.280.304;2.868;1.240
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;2;8;SAO PAULO;SP;03/2023;994.591.807;348.565.849;911.942.365;748.499.132;82.649.442;2.065.629;2.569;1.569
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2023;688.003.797;271.961.150;555.969.719;144.659.933;132.034.078;3.962.687;5;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;03/2023;344.186.892;145.725.415;178.252.702;78.634.306;165.934.191;7.772.518;2;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2023;315.101.163;47.420.003;270.893.576;224.056.842;44.207.587;2.133.223;23;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;03/2023;245.566.799;76.825.726;221.667.840;189.778.236;23.898.959;575.684;121;4
BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;03/2023;167.127.310;22.751.766;163.490.394;150.628.288;3.636.916;73.282;6;0
BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;2;8;SAO PAULO;SP;03/2023;155.380.538;28.261.432;150.161.107;100.287.777;5.219.432;370.316;51;8
