Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;09/2023;2.136.317.824;907.637.840;1.975.829.238;1.750.435.172;160.488.586;8.391.104;3.985;547
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;09/2023;1.858.928.929;419.777.465;1.721.881.498;1.529.865.797;137.047.431;6.427.448;2.330;1.011
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;09/2023;1.740.488.107;1.091.366.150;1.650.562.713;1.461.935.090;89.925.394;3.036.514;3.372;896
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;09/2023;1.575.129.335;517.835.113;1.414.328.644;1.209.196.395;160.800.691;4.621.118;2.769;1.181
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;09/2023;1.075.456.433;352.102.446;990.730.120;829.758.728;84.726.313;2.656.626;2.541;1.574
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;09/2023;707.765.549;274.734.481;559.826.300;139.801.256;147.939.248;4.944.616;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;09/2023;377.362.584;41.848.461;329.590.257;263.846.820;47.772.327;2.622.550;25;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;09/2023;363.648.437;149.367.542;188.233.946;81.546.251;175.414.491;7.628.066;2;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;09/2023;252.828.614;77.233.520;228.101.548;193.570.057;24.727.066;940.225;122;4
BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;3;8;SAO PAULO;SP;09/2023;178.449.287;30.382.450;172.271.784;121.978.471;6.177.503;577.172;51;8
BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;09/2023;173.548.840;25.461.490;169.260.765;155.079.577;4.288.075;70.847;6;0
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;2038232;BANCOOB - PRUDENCIAL;51750;80879;b1;2;11;BRASILIA;DF;09/2023;132.875.698;23.724.995;129.292.507;112.978.756;3.583.191;147.725;5;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM - PRUDENCIAL;51011;80484;b1;2;8;SAO PAULO;SP;09/2023;130.046.868;65.272.133;117.048.942;92.435.181;12.997.926;284.100;4;5
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL - PRUDENCIAL;30173;80154;b1;1;8;PORTO ALEGRE;RS;09/2023;122.638.747;52.381.751;113.160.013;96.343.812;9.478.734;127.109;498;62
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;ITAU - PRUDENCIAL;;80099;n4;2;41;SAO PAULO;SP;09/2023;119.299.667;0;71.344.644;0;47.955.024;956.888;1;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;09/2023;116.289.365;36.775.210;107.687.093;93.154.733;8.602.272;1.365.752;2;0
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE - PRUDENCIAL;20107;80116;b1;3;8;SAO PAULO;SP;09/2023;113.794.627;3.132.566;104.873.555;57.893.945;8.921.072;555.404;3;0
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1027058;CIELO IP - PRUDENCIAL;;84710;n4;2;41;BARUERI;SP;09/2023;103.085.655;0;91.137.010;6.429.688;11.948.645;456.683;1;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS - PRUDENCIAL;;80673;b1;3;8;SAO PAULO;SP;09/2023;102.554.248;10.563.528;98.424.027;28.328.733;4.130.221;19.232;2;0
BANCO XP S.A.;33264668;XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;52120;82475;b1;2;8;RIO DE JANEIRO;RJ;09/2023;97.855.944;26.405.822;95.790.625;70.719.808;2.065.318;-51.440;2;0
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;09/2023;91.840.789;0;83.688.108;58.403.495;8.152.681;189.597;4;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;NU PAGAMENTOS - PRUDENCIAL;;84693;n4;2;41;SAO PAULO;SP;09/2023;83.363.940;41.485.373;73.775.333;16.797.208;9.588.607;1.373.604;1;0
