,conglomerado,cidade,data_base,indice_basileia
36777,PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,SAO PAULO,2003-12-01,124.07
36778,CECM MEDICOS E DEMAIS PROF SAUDE NE BAHIA LTDA-UNICRED NE BA,FEIRA DE SANTANA,2003-12-01,31.09
36779,CECME DAS EMP.DE TRANSP.COLET.ROD.DE PASS.DO GRANDE RIO LTDA,SAO GONCALO,2003-12-01,100.19
36780,"JURISCOOPE   COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MAGISTRADOS, PROMOTORES DE JUSTIÇA, PROCURADORES E DEFENSSORES PÚBLICOS, SEUS SERVIDORES E SERVIDORES DO JUDICIÁRIO EM PERNAMBUCO.",RECIFE,2003-12-01,26.66
36781,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DA ALIANÇA DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DE SAÚDE DA REGIÃO NOROESTE PAULISTA - GRANCRED NOROESTE PAULISTA,VOTUPORANGA,2003-12-01,20.87
36782,CECM DOS SERVIDORES MUNICIPAIS DE VITORIA LTDA,VITORIA,2003-12-01,86.79
36783,BVL CORRETORA DE VALORES LTDA.,BELO HORIZONTE,2003-12-01,22.35
36784,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA CIA AÇUCAREIRA VALE DO ROSÁRIO - COOPERVALE,MORRO AGUDO,2003-12-01,98.7
36785,CC DOS PLANTADORES DE CANA DA REGIAO DE LENCOIS PAULISTA,LENCOIS PAULISTA,2003-12-01,98.47
36786,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MICROS E PEQUENOS COMERCIANTES DE CONFECÇÕES DO VESTUARIO VALE ITAJAI-CONCREDI,BLUMENAU,2003-12-01,18.13
36787,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO FLEURY,SAO PAULO,2003-12-01,133.58
36788,CCR RAUL SOARES LTDA,RAUL SOARES,2003-12-01,16.63
36789,HOYA CORRETORA DE VALORES E CAMBIO LTDA,FORTALEZA,2003-12-01,96.8
36790,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS POLICIAIS FEDERAIS DO RIO GRANDE DO SUL,PORTO ALEGRE,2003-12-01,41.76
36791,COOPERATIVA DE CRÉDITO MÚTUO DOS PROFISSIONAIS DA ÁREA DA SAÚDE DA GRANDE SÃO PAULO - SICREDI GRANDE SÃO PAULO SP,SAO PAULO,2003-12-01,36.94
36792,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE DE TEÓFILO OTONI LTDA.,TEOFILO OTONI,2003-12-01,66.47
36793,ALBATROSS CORRETORA DE CAMBIO E VALORES S.A,RIO DE JANEIRO,2003-12-01,83.49
36794,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA VILLARES METALS,SUMARE,2003-12-01,98.08
36795,CECRISACRED-COOP.DE CREDITO MUTUO DOS EMPREGADOS CECRISA,CRICIUMA,2003-12-01,34.91
36796,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DE ELEVADORES ATLAS SCHINDLER LTDA.,RIO DE JANEIRO,2003-12-01,102.4
36797,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES E REVENDEDORES DE COMBUSTÍVEIS E LUBRIFICANTES DE MARINGÁ E REGIÃO - SICOOB ARCOMAR,MARINGA,2003-12-01,19.53
36798,SOLIDUS S.A. CORRETORA DE CAMBIO E VALORES MOBILIARIOS,PORTO ALEGRE,2003-12-01,58.77
36799,"CECM DOS COMERCIANTES DE MEDICAMENTOS, PERFUMARIA E COSMÉTICOS DA GRANDE CUIABÁ",CUIABA,2003-12-01,27.07
36800,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MERCK SHARP E DOHME FARMACEUTICA -  COOPERMERCK,SAO PAULO,2003-12-01,113.61
36801,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO SÃO MARTINHO - USICRED,PRADOPOLIS,2003-12-01,99.63
36802,CARAVELLO S.A-DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,RIO DE JANEIRO,2003-12-01,41.16
36803,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA SAUDE DO LITORAL SUL LTDA - UNICRED LITORAL SUL-RS.,RIO GRANDE,2003-12-01,51.03
36804,COOPERATIVA DE CREDITO RURAL NOVA TRENTO-SICOOB/SC TRENTOCREDI,NOVA TRENTO,2003-12-01,16.44
36805,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DA PREFEITURA DE BELO HORIZONTE LTDA. - SICOOB CREDISERVBH,BELO HORIZONTE,2003-12-01,44.93
36806,COOPERATIVA DE CRÉDITO DOS FORNECEDORES DE CANA DO CENTRO DO ESTADO DE SÃO PAULO,ARARAQUARA,2003-12-01,121.3
36807,CREDSEF - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA SECRETARIA DE FAZENDA DO DISTRITO FEDERAL,BRASILIA,2003-12-01,46.79
36808,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS INTEGRANTES DO PODER JUDICIÁRIO DO ESTADO DE MINAS GERAIS  LTDA - COOPERMAGIS,BELO HORIZONTE,2003-12-01,23.69
36809,CECM MEDICOS E PROF NIVEL SUP SAUDE VALE SAO FRANCISCO LTDA.,PETROLINA,2003-12-01,30.83
36810,"COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS REPRESENTANTES COMERCIAIS AUTONOMOS DE ROUPAS, TECIDOS E ARTIGOS DE VESTUARIOS DO RIO DE JANEIRO LTDA.",RIO DE JANEIRO,2003-12-01,23.94
36811,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DO PARÁ LTDA - COOESA,BELEM,2003-12-01,82.22
36812,"CECME DAS EMPRES.PREST.SERV.AGUA,ESGOTOS,SANEAM.EST.RJ LTDA",RIO DE JANEIRO,2003-12-01,55.13
36813,PILLA - CORRETORA DE VALORES MOBILIARIOS E CAMBIO LTDA,PORTO ALEGRE,2003-12-01,99.39
36814,DOURADA CORRETORA DE CAMBIO E VALORES MOBILIARIOS LTDA.,CURITIBA,2003-12-01,55.51
36815,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA COOPEDER LTDA. - CREDER,BELO HORIZONTE,2003-12-01,99.91
36816,"CECME DE CHOCOLATES GAROTO, LTDA",VILA VELHA,2003-12-01,33.2
36817,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ASTRAZENECA DO BRASIL,COTIA,2003-12-01,113.22
36818,CCR DO PLANALTO CATARINENSE SICOOB/SC - PAPANDUVA,PAPANDUVA,2003-12-01,14.83
36819,COOPERATIVA DE CRÉDITO RURAL AGRO-PECUÁRIA DO SUDOESTE PAULISTA,SOROCABA,2003-12-01,17.95
36820,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO METSO E DA DYNAPAC - NOSSACRED,SOROCABA,2003-12-01,86.15
36821,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA RECKITT BENCKISER,SAO PAULO,2003-12-01,102.36
36822,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DA SAÚDE DA REGIÃO DE  BRAGANTINA,BRAGANCA PAULISTA,2003-12-01,31.26
36823,PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SAO PAULO,2003-12-01,111.48
36824,COOPERATIVA DE CRÉDITO RURAL DE ARIQUEMES LTDA.,ARIQUEMES,2003-12-01,70.26
36825,AGENDA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,RIO DE JANEIRO,2003-12-01,103.19
36826,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA SAMARCO MINERAÇÃO S.A. LTDA.,BELO HORIZONTE,2003-12-01,91.26
36827,COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO GRUPO AKZO NOBEL BRASIL - COOP AKZONOBEL,MAUA,2003-12-01,104.69
36828,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA NOVELIS E DA ITAP/BEMIS,SANTO ANDRE,2003-12-01,95.89
36829,CECM TRAB. EM TRANSPORTES RODOVIARIOS DE CONCORDIA E REGIAO,CONCORDIA,2003-12-01,25.79
36830,COOPERATIVA DE CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA SAÚDE DA REGIÃO DE SÃO JOÃO DA BOA VIISTA,SAO JOAO DA BOA VISTA,2003-12-01,27.6
36831,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS INTEGRANTES DA BRIGADA MILITAR DO RIO GRANDE DO SUL,PORTO ALEGRE,2003-12-01,20.86
36832,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES DA UNIVERSIDADE FEDERAL DE MINAS GERAIS LTDA. - COOPECREMT-UFMG,BELO HORIZONTE,2003-12-01,36.66
36833,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA OWENS CORNING FIBERGLAS AMÉRICA DO SUL,RIO CLARO,2003-12-01,75.07
36834,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DE VIÇOSA LTDA. - SICOOB UFVCREDI,VICOSA,2003-12-01,64.92
36835,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS DE JABOTICABAL - COPERMED JABOTICABAL,JABOTICABAL,2003-12-01,20.76
36836,"QUALITY CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",SAO PAULO,2003-12-01,127.75
36837,COOPERATIVA DE CRÉDITO RURAL GRAPIÚNA LTDA,ITABUNA,2003-12-01,113.77
36838,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO ALGAR LTDA. - SICOOB CREDIEMPAR,UBERLANDIA,2003-12-01,100.42
36839,PIONEER CORRETORA DE CAMBIO LTDA,SAO PAULO,2003-12-01,90.21
36840,COOPERÁGUIA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO ÁGUIA BRANCA,CARIACICA,2003-12-01,78.27
36841,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA AÇO MINAS GERAIS S.A. - AÇOMINAS E EMPRESAS SUBSIDIÁRIAS EM OURO BRANCO LTDA. - COOPAÇO,OURO BRANCO,2003-12-01,100.36
36842,EMBLEMA S.A.-CORRETORA DE CAMBIO E VALORES,BELO HORIZONTE,2003-12-01,49.42
36843,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  COMERCIANTES DE CONFECÇÕES DO VESTUÁRIO DE SETE LAGOAS LTDA.,SETE LAGOAS,2003-12-01,20.13
36844,RELIANCE - DIST TITULOS E VALORES MOBILIARIOS LTDA,SAO PAULO,2003-12-01,38.34
36845,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE CONFECÇÕES DO VESTUÁRIO DE TIMÓTEO LTDA.,TIMOTEO,2003-12-01,28.07
36846,COOPERATIVA REGIONAL DE CRÉDITO RURAL EM MUZAMBINHO LTDA - CREDICERES,MUZAMBINHO,2003-12-01,-18.53
36847,CECM DOS MEDICOS DE PETROPOLIS LTDA,PETROPOLIS,2003-12-01,44.5
36848,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE ERECHIM - CRESOL ERECHIM,ERECHIM,2003-12-01,23.9
36849,COOPERATIVA DE CRÉDITO RURAL URUBICI - SICOOB/SC - CREDIARAUCÁRIA,URUBICI,2003-12-01,19.64
36850,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CURITIBANOS - CRESOL CURITIBANOS,CURITIBANOS,2003-12-01,19.9
36851,"FINAMBRÁS - CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.",SAO PAULO,2003-12-01,70.39
36852,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA VALE S.A. - LTDA. - SICOOB CREDIVALE,ITABIRA,2003-12-01,125.36
36853,CCR VOLTA GRANDE LTDA,VOLTA GRANDE,2003-12-01,52.94
36854,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS DA BELGO BEKAERT ARAMES DO ESTADO DE SÃO PAULO,OSASCO,2003-12-01,76.14
36855,CECM DOS MEDICOS DE PONTA GROSSA E REGIAO DOS CAMPOS GERAIS,PONTA GROSSA,2003-12-01,44.37
36856,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE DE SANTA MARIA LTDA,SANTA MARIA,2003-12-01,53.95
36857,CECM MEDICOS DEMAIS PROF.NIVEL SUP.SAUDE LEOPOLDINA LTDA.,LEOPOLDINA,2003-12-01,51.68
36858,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE SÃO PAULO - SICOOB GRANDE SÃO PAULO,SAO PAULO,2003-12-01,31.56
36859,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA COMPANHIA PAULISTA DE TRENS METROPOLITANOS,OSASCO,2003-12-01,101.47
36860,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA JUSTIÇA DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CREDJUS,BELO HORIZONTE,2003-12-01,46.55
36861,CECMM E DPNSS DE SAO JOSE DOS CAMPOS - UNICRED DE SJC,SAO JOSE DOS CAMPOS,2003-12-01,51.08
36862,CECM COMERCIANTES CONFECCOES VESTUARIO DE CARATINGA LTDA.,CARATINGA,2003-12-01,29.07
36863,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA TEKSID DO BRASIL LTDA., E NEMAK ALUMÍNIO DO BRASIL LTDA.",BETIM,2003-12-01,54.03
36864,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE CAMPINAS - COOPERUNICAMP,CAMPINAS,2003-12-01,89.88
36865,CECM COMERCIANTES CONFECCOES CENTRO NORDESTE MINEIRO LTDA,GUANHAES,2003-12-01,4.55
36866,CECM COMERCIANTES CONFECCOES VESTUARIO COSTA OESTE EST.PR LT,FOZ DO IGUACU,2003-12-01,25.83
36867,CECM COMERCIANTES CONFECCOES REGIAO SERRA GERAL MINAS LTDA.,JANAUBA,2003-12-01,37.91
36868,CCRIS DE CASCAVEL - CRESOL DE CASCAVEL,CASCAVEL,2003-12-01,33.83
36869,COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS  DA AMAZÔNIA OCIDENTAL LTDA - UNICRED CENTRAL AMAZÔNIA OCIDENTAL,MANAUS,2003-12-01,23.66
36870,CECMS DPTO.POL.FED.DEMAIS S.P.C.O.AD.D.P.E.F.EST.ES-COOPEFES,VILA VELHA,2003-12-01,40.79
36871,COOPERUFPA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO MINISTÉRIO DA EDUCAÇÃO NO ESTADO DO PARÁ,BELEM,2003-12-01,81.41
36872,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES DAS INSTITUIÇÕES DE ENSINO DA REGIÃO METROPOLITANA DE FLORIANOPOLIS SICOOB/SC- CREDTEC,FLORIANOPOLIS,2003-12-01,22.13
36873,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  COMERCIANTES DE CONFECÇÕES DO VESTUÁRIO DE BELO HORIZONTE, REGIÃO METROPOLITANA E CIDADES POLO LTDA.",BELO HORIZONTE,2003-12-01,18.73
36874,BOREAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,RIO DE JANEIRO,2003-12-01,275.11
36875,COOPERATIVA DE CRÉDITO DOS EMPREGADOS DE ELEVADORES ATLAS,SAO PAULO,2003-12-01,106.42
36876,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ASSOCIAÇÃO CONGREGAÇÃO DE SANTA CATARINA,SAO PAULO,2003-12-01,95.25
36877,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA MORLAN - CREDMORLAN,ORLANDIA,2003-12-01,99.34
36878,CRETOVALE-CECM DOS COLABORADORES DA CIA.VALE DO RIO DOCE,VITORIA,2003-12-01,-130.79
36879,"COMEX CORRETORA DE CAMBIO,TITULOS E VALORES MOBILIARIOS LTDA",NATAL,2003-12-01,64.59
36880,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS INTEGRANTES DAS CARREIRAS DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL, SERVIDORES E FUNCIONÁRIOS DO MIN. DA FAZENDA EM MINAS GERAIS LTDA. - CREDIFISCO",BELO HORIZONTE,2003-12-01,79.94
36881,GUITTA CORRETORA DE CAMBIO LTDA.,SAO PAULO,2003-12-01,115.0
36882,COOPERATIVA DE CRÉDITO RURAL DE SÃO VICENTE DE MINAS LTDA - CREDISAVI,SAO VICENTE DE MINAS,2003-12-01,28.91
36883,COOPERATIVA DE CREDITO DOS MAGISTRADOS DO RJ LTDA - MAGICREDI-RJ,RIO DE JANEIRO,2003-12-01,43.01
36884,CCR DE SERRINHA DE RESPONSABILIDADE LTDA,SERRINHA,2003-12-01,7.62
36885,CCC DO NORDESTE - SICOOB CENTRAL NE,JOAO PESSOA,2003-12-01,32.46
36886,"COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS ESTADUAIS CIVIS, MILITARES E PENSIONISTAS EM ARARAQUARA E REGIÃO - COOPARA",ARARAQUARA,2003-12-01,52.33
36887,CCR DE ALTA FLORESTA D'OESTE LTDA,ALTA FLORESTA D'OESTE,2003-12-01,52.89
36888,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MINERACÃO RIO DO NORTE S/A, EM PORTO TROMBETAS LIMITADA -  CREDNORT",ORIXIMINA,2003-12-01,102.04
36889,LEVYCAM CORRETORA DE CAMBIO E VALORES LTDA,SANTOS,2003-12-01,77.66
36890,"CECME ESTABELEC. HOSPITALARES DO SUL DO ESTADO DO ES,SULCRED",CACHOEIRO DE ITAPEMIRIM,2003-12-01,27.48
36891,COOPERATIVA DE CRÉDITO RURAL DE ILICÍNEA LTDA - CREDILICÍNEA,ILICINEA,2003-12-01,5.2
36892,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS ITAÚ,SAO PAULO,2003-12-01,95.51
36893,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA USAGRO,JABOTICABAL,2003-12-01,122.25
36894,CECM MEDICOS E PROF SAUDE EXTREMO SUL BA UNICRED EXTR SUL BA,EUNAPOLIS,2003-12-01,16.39
36895,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  COMERCIANTES DE MATERIAIS DE CONSTRUCAO DE CAMPO BELO LTDA,CAMPO BELO,2003-12-01,14.63
36896,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DA COMLURB LTDA,RIO DE JANEIRO,2003-12-01,74.69
36897,CCRIS DE DOIS VIZINHOS - CRESOL DOIS VIZINHOS,DOIS VIZINHOS,2003-12-01,29.25
36898,CCR BOM JESUS DA LAPA LTDA. - SICOOB CREDILAPA,BOM JESUS DA LAPA,2003-12-01,32.5
36899,SPIRIT CORRETORA DE VALORES LTDA,CURITIBA,2003-12-01,93.7
36900,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA COPLANA - CREDICOPLANA,GUARIBA,2003-12-01,64.92
36901,CECMS MIN AGRIC PEC ABASTEC DESEN AGRA E MEIO AMB PARA LTDA.,BELEM,2003-12-01,53.62
36902,COOPERATIVA DE CREDITO RURAL DE GUACUI,GUACUI,2003-12-01,73.33
36903,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DA NOVA AMERICA LTDA.,DUQUE DE CAXIAS,2003-12-01,19.75
36904,CCR CARMOPOLIS DE MINAS LTDA,CARMOPOLIS DE MINAS,2003-12-01,33.41
36905,CECM MEDICOS E DEMAIS PROFISSION DA SAUDE DA FRONTEIRA OESTE,URUGUAIANA,2003-12-01,20.8
36906,CECME DA ENERSUL,CAMPO GRANDE,2003-12-01,91.81
36907,PROMEGA S.A. CORRETORA DE VALORES,RIO DE JANEIRO,2003-12-01,52.36
36908,SAGRES DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SAO PAULO,2003-12-01,56.32
36909,APEAL - CREDITO IMOBILIARIO S/A,MACEIO,2003-12-01,120.97
36910,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE PARKER HANNIFIN,JACAREI,2003-12-01,96.52
36911,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES E EMPREGADOS DOS HOSPITAIS E CLÍNICAS DA ZONA DA MATA LTDA - SANTACASACRED,JUIZ DE FORA,2003-12-01,56.88
36912,COOPERATIVA DE CRÉDITO RURAL DE RIO PARANAÍBA LTDA - CREDIRIO,RIO PARANAIBA,2003-12-01,24.36
36913,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA CEBRACE,JACAREI,2003-12-01,107.75
36914,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO GERDAU - AÇOS FINOS PIRATINI,CHARQUEADAS,2003-12-01,101.36
36915,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DA ALIANÇA DOS PROFISSIONAIS DA ÁREA DE SAÚDE DA REGIÃO DE SÃO ROQUE - SICOOB ALCOOP SÃO ROQUE,SAO ROQUE,2003-12-01,28.79
36916,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NAS INDÚSTRIAS DE EXTRAÇÃO DE FERRO E METAIS BÁSICOS DA REGIÃO DE CONGONHAS LTDA. - COOFERSE,CONGONHAS,2003-12-01,95.17
36917,COOPERATIVA DE CRÉDITO DOS BANCÁRIOS DE SÃO PAULO E MUNICÍPIOS LIMÍTROFES,SAO PAULO,2003-12-01,53.24
36918,COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DE SÃO PAULO-UNICRED CENTRAL-SP,SAO PAULO,2003-12-01,167.87
36919,UNICA CORRETORA DE CAMBIO E VALORES LTDA.,FORTALEZA,2003-12-01,100.89
36920,CCR COM INTERACAO SOLIDARIA DE SAO JOAQUIM-CRESOL S.JOAQUIM,SAO JOAQUIM,2003-12-01,17.77
36921,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS EM JOÃO MONLEVADE LTDA.,JOAO MONLEVADE,2003-12-01,91.96
36922,COOPERATIVA DE CRÉDITO RURAL DOS PLANTADORES DE CANA DA REGIÃO DE IGARAPAVA,IGARAPAVA,2003-12-01,127.25
36923,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PÚBLICOS ESTADUAIS DO RIO GRANDE DO SUL EM PORTO ALEGRE E GRANDE PORTO ALEGRE,PORTO ALEGRE,2003-12-01,54.56
36924,CCM DOS PROFESSORES E FUNCIONÁRIOS DA UNIVERSIDADE DE CAXIAS DO SUL,CAXIAS DO SUL,2003-12-01,16.35
36925,SUPRA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,SAO PAULO,2003-12-01,111.87
36926,COOPERATIVA DE CREDITO MUTUO DOS SERVIDORES PUBLICOS DA PREFEITURA DA CIDADE DO RJ-POUPRIO,RIO DE JANEIRO,2003-12-01,-6.76
36927,MBM CORRETORA PORTO ALEGRENSE DE VALORES MOBILIARIOS S.A.,PORTO ALEGRE,2003-12-01,81.73
36928,COOPERATIVA DE CRÉDITO RURAL DE ALTEROSA LTDA - COOPEROSA,ALTEROSA,2003-12-01,41.57
36929,PETRA PERSONAL TRADER CORRETORA DE TIT E VAL MOBILIARIOS LTD,CURITIBA,2003-12-01,62.79
36930,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE PITANGA - CRESOL PITANGA,PITANGA,2003-12-01,25.56
36931,COOPERATIVA DE CRÉDITO MÚTUO DOS MÉDICOS DAS MICROREGIÕES DE GOIÂNIA E ANÁPOLIS LTDA,GOIANIA,2003-12-01,49.92
36932,BANCOM SOCIEDADE CORRETORA DE CAMBIO S.A,SAO BERNARDO DO CAMPO,2003-12-01,32.06
36933,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE CONFECÇÕES DO SUL E SUDOESTE MINEIRO LTDA. - SICOOB CREDIACIP,PASSOS,2003-12-01,25.15
36934,CCR PIRACANJUBA,PIRACANJUBA,2003-12-01,27.99
36935,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS DE DIVERSÕES DO ESTADO DE SÃO PAULO,SAO PAULO,2003-12-01,95.16
36936,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA DANA,OSASCO,2003-12-01,119.83
36937,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO ALIANÇA,SAO PAULO,2003-12-01,94.36
36938,J. G. OLIVEIRA CORRETOR DE CAMBIO TITULOS E VAL MOBILIARIOS,FORTALEZA,2003-12-01,97.21
36939,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DOS SUPERMERCADOS RUSSI,JUNDIAI,2003-12-01,90.38
36940,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS  DA SAUDE DO EXTREMO OESTE CATARINENSE,SAO MIGUEL D'OESTE,2003-12-01,16.35
36941,MULTIPLA CORRETORA DE CAMBIO TIT E VALORES MOBILIARIOS LTDA.,FORTALEZA,2003-12-01,99.43
36942,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DE SAÚDE DE CAÇAPAVA,CACAPAVA,2003-12-01,54.97
36943,COOPERATIVA DE CRÉDITO RURAL DO EXTREMO OESTE DE SÃO PAULO,VOTUPORANGA,2003-12-01,21.63
36944,CENTRAL DAS COOPERATIVAS DE CREDITO DO ESTADO DO PARA - SICOOB CENTRAL AMAZONIA,BELEM,2003-12-01,106.14
36945,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA SAUDE DE BAGE LTDA,BAGE,2003-12-01,47.87
