,conglomerado,cidade,data_base,indice_basileia
71,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ",MEDIANEIRA,2023-03-01,15.02
72,RODOBENS - PRUDENCIAL,SAO PAULO,2023-03-01,17.5
73,HONDA - PRUDENCIAL,SAO PAULO,2023-03-01,37.46
74,OMNI - PRUDENCIAL,SAO PAULO,2023-03-01,12.76
75,BCO MUFG BRASIL S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,24.58
76,MIZUHO - PRUDENCIAL,SAO PAULO,2023-03-01,16.51
77,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP",PALOTINA,2023-03-01,15.37
78,REALIZE CFI - PRUDENCIAL,PORTO ALEGRE,2023-03-01,17.25
79,INDUSTRIAL DO BRASIL - PRUDENCIAL,SAO PAULO,2023-03-01,15.56
80,BCO MODAL S.A. - PRUDENCIAL,RIO DE JANEIRO,2023-03-01,10.56
81,BCO CATERPILLAR S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,21.08
82,PARANÁ BANCO - PRUDENCIAL,CURITIBA,2023-03-01,20.07
83,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA",TANGARA DA SERRA,2023-03-01,17.47
84,BCO DO EST. DE SE S.A. - PRUDENCIAL,ARACAJU,2023-03-01,13.44
85,COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO,CHAPECO,2023-03-01,16.08
86,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU",CANARANA,2023-03-01,17.46
87,SOCIETE GENERALE - PRUDENCIAL,SAO PAULO,2023-03-01,36.34
88,COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES,CARLOS BARBOSA,2023-03-01,17.2
89,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.,VILHENA,2023-03-01,20.25
90,SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO,LONDRINA,2023-03-01,22.19
91,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE - SICREDI GRANDES RIOS MT/PA/AM",COLIDER,2023-03-01,15.29
92,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS",NOVA PETROPOLIS,2023-03-01,16.41
93,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",SAO PAULO,2023-03-01,7.55
94,BANCO PACCAR - PRUDENCIAL,PONTA GROSSA,2023-03-01,28.27
