,instituicao,data_base,codigo_bacen,conglomerado,tcb,tc,ti,cidade,uf,ativo_total,captacoes,patrimonio_liquido,lucro_liquido,numero_agencias,numero_postos_atendimento,carteira_credito,passivel_exigivel,Conglomerado Financeiro,Rendas de Operações de Crédito (a1),Rendas de Operações de Arrendamento Mercantil (a2),Rendas de Operações com TVM (a3),Rendas de Operações com Instrumentos Financeiros Derivativos (a4),Resultado de Operações de Câmbio (a5),Rendas de Aplicações Compulsórias (a6),Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6),Despesas de Obrigações por Empréstimos e Repasses (b2),Despesas de Operações de Arrendamento Mercantil (b3),Resultado de Operações de Câmbio (b4),Resultado de Provisão para Créditos de Difícil Liquidação (b5),Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5),Resultado de Intermediação Financeira (c) = (a) + (b),Rendas de Prestação de Serviços (d1),Rendas de Tarifas Bancárias (d2),Despesas de Pessoal (d3),Despesas Administrativas (d4),Despesas Tributárias (d5),Resultado de Participações (d6),Outras Receitas Operacionais (d7),Outras Despesas Operacionais (d8),Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8),Resultado Operacional (e) = (c) + (d),Resultado Não Operacional (f),"Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f)",Imposto de Renda e Contribuição Social (h),Participação nos Lucros (i),Lucro Líquido (j) = (g) + (h) + (i),Rendas de Títulos e Valores Mobiliários (b),Rendas de Operações de Crédito (c),Resultado com Perda Esperada (f),Despesa de Juros com Captações (g1),Resultado com Derivativos (i),resultado_intermediacao,Rendas de Tarifas Bancárias (m),Outras Rendas de Prestação de Serviços (n),Despesas de Pessoal (o),Despesas Administrativas (p),Despesas Tributárias (s),Resultado de Participações (t),Outras Receitas (u),Outras Despesas (v),outras_receitas_despesas,resultado_antes_impostos,impostos_ir_csll,participacoes_lucro,Despesa_Captacao_Total,cidade_bas,indice_basileia
150416,BANCO VOTORANTIM S.A.,2021-06-01,59588111,VOTORANTIM - PRUDENCIAL,b1,2,8,SAO PAULO,SP,114710735.0,82361041.0,11664426.0,814606.0,4,28,57978908.0,103046310.0,51011.0,3856043.0,0.0,576940.0,172870.0,51848.0,11385.0,4669086.0,-24856.0,0.0,0.0,-1037803.0,-2485378.0,2183708.0,201848.0,341370.0,-497698.0,-619173.0,-172065.0,137089.0,615175.0,-833477.0,-826931.0,1356777.0,14001.0,1370778.0,-458236.0,-97937.0,814606.0,576940.0,3856043.0,-1037803.0,-1422718.0,172870.0,2183708.0,341370.0,201848.0,-497698.0,-619173.0,-172065.0,137089.0,615175.0,-833477.0,-826931.0,1370778.0,-458236.0,-97937.0,-1422718.0,SAO PAULO,15.25
150417,BANCO CITIBANK S.A.,2021-06-01,33479023,CITIBANK - PRUDENCIAL,b1,3,8,SAO PAULO,SP,111644238.0,64914972.0,6587227.0,457510.0,83,8,24950162.0,105057010.0,30403.0,299898.0,17372.0,940476.0,846745.0,0.0,32811.0,2137302.0,-54531.0,-15065.0,-283571.0,71928.0,-964671.0,1172630.0,385388.0,32747.0,-366686.0,-316959.0,-60767.0,10826.0,406850.0,-373547.0,-282148.0,890482.0,877.0,891359.0,-375752.0,-58097.0,457510.0,940476.0,299898.0,71928.0,-683433.0,846745.0,1172630.0,32747.0,385388.0,-366686.0,-316959.0,-60767.0,10826.0,406850.0,-373547.0,-282148.0,891359.0,-375752.0,-58097.0,-683433.0,SAO PAULO,16.42
150418,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,2021-06-01,92702067,BANRISUL - PRUDENCIAL,b1,1,8,PORTO ALEGRE,RS,98040386.0,76081500.0,8652150.0,544161.0,517,127,36591553.0,89388235.0,30173.0,2734422.0,8478.0,545179.0,-197854.0,0.0,126641.0,3216866.0,-96171.0,-6914.0,-1554.0,32273.0,-1014423.0,2202443.0,30639.0,477441.0,-901173.0,-728603.0,-167709.0,223086.0,476172.0,-933084.0,-1523231.0,679212.0,-13514.0,665698.0,-56364.0,-65173.0,544161.0,545179.0,2734422.0,32273.0,-942056.0,-197854.0,2202443.0,477441.0,30639.0,-901173.0,-728603.0,-167709.0,223086.0,476172.0,-933084.0,-1523231.0,665698.0,-56364.0,-65173.0,-942056.0,PORTO ALEGRE,14.77
150419,BANCO J.P. MORGAN S.A.,2021-06-01,33172537,JP MORGAN CHASE - PRUDENCIAL,b1,3,8,SAO PAULO,SP,94758562.0,57479495.0,6018813.0,464505.0,3,0,4138061.0,88739749.0,20107.0,50377.0,0.0,1046963.0,-24079.0,320044.0,0.0,1393305.0,-261135.0,0.0,0.0,10520.0,-560911.0,832394.0,561216.0,722.0,-382191.0,-135608.0,-83498.0,115321.0,60785.0,-165731.0,-28984.0,803411.0,-93.0,803318.0,-327470.0,-11343.0,464505.0,1046963.0,50377.0,10520.0,-310296.0,-24079.0,832394.0,722.0,561216.0,-382191.0,-135608.0,-83498.0,115321.0,60785.0,-165731.0,-28984.0,803318.0,-327470.0,-11343.0,-310296.0,SAO PAULO,13.76
150420,CIELO S.A.,2021-06-01,1027058,CIELO IP - PRUDENCIAL,n4,2,41,BARUERI,SP,82843547.0,6933584.0,9807283.0,421674.0,1,0,0.0,73036264.0,nan,0.0,0.0,191179.0,-4928.0,0.0,0.0,186250.0,-115666.0,0.0,0.0,0.0,-140105.0,46146.0,2663206.0,0.0,-215422.0,-1238755.0,-176277.0,121695.0,305555.0,-846185.0,613818.0,659963.0,-106254.0,553709.0,-88360.0,-43675.0,421674.0,191179.0,0.0,0.0,-24439.0,-4928.0,46146.0,0.0,2663206.0,-215422.0,-1238755.0,-176277.0,121695.0,305555.0,-846185.0,613818.0,553709.0,-88360.0,-43675.0,-24439.0,BARUERI,
150421,BANCO COOPERATIVO SICREDI S.A.,2021-06-01,1181521,BCO COOPERATIVO SICREDI - PRUDENCIAL,b1,2,11,PORTO ALEGRE,RS,74379961.0,66256754.0,1833063.0,29254.0,6,0,15175857.0,72546898.0,nan,1126257.0,0.0,345049.0,-57465.0,12986.0,34903.0,1461729.0,-274269.0,0.0,0.0,-32107.0,-910648.0,551081.0,46137.0,2579.0,-46233.0,-540007.0,-37414.0,4901.0,155573.0,-82467.0,-496930.0,54152.0,78.0,54229.0,-21433.0,-3542.0,29254.0,345049.0,1126257.0,-32107.0,-604272.0,-57465.0,551081.0,2579.0,46137.0,-46233.0,-540007.0,-37414.0,4901.0,155573.0,-82467.0,-496930.0,54229.0,-21433.0,-3542.0,-604272.0,PORTO ALEGRE,13.14
150422,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,2021-06-01,2038232,BANCOOB - PRUDENCIAL,b1,2,11,BRASILIA,DF,71110922.0,57829936.0,2124212.0,117702.0,5,0,13522886.0,68986711.0,51750.0,629887.0,0.0,574209.0,371.0,2635.0,15169.0,1222271.0,-78742.0,0.0,0.0,-26204.0,-815292.0,406979.0,458996.0,59.0,-69672.0,-128979.0,-78546.0,43380.0,254251.0,-678408.0,-198920.0,208059.0,-23866.0,184193.0,-61434.0,-5057.0,117702.0,574209.0,629887.0,-26204.0,-710346.0,371.0,406979.0,59.0,458996.0,-69672.0,-128979.0,-78546.0,43380.0,254251.0,-678408.0,-198920.0,184193.0,-61434.0,-5057.0,-710346.0,BRASILIA,13.68
150423,REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.,2021-06-01,1425787,ITAU - PRUDENCIAL,n4,2,41,SAO PAULO,SP,67773450.0,0.0,23545875.0,218078.0,1,0,0.0,44227576.0,nan,0.0,0.0,61130.0,0.0,0.0,0.0,61130.0,0.0,0.0,0.0,0.0,0.0,61130.0,1467236.0,0.0,-216987.0,-834622.0,-117069.0,10312.0,368607.0,-319676.0,357800.0,418930.0,250.0,419181.0,-116001.0,-85102.0,218078.0,61130.0,0.0,0.0,0.0,0.0,61130.0,0.0,1467236.0,-216987.0,-834622.0,-117069.0,10312.0,368607.0,-319676.0,357800.0,419181.0,-116001.0,-85102.0,0.0,SAO PAULO,14.93
150424,BANCO DO NORDESTE DO BRASIL S.A.,2021-06-01,7237373,BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,b1,1,8,FORTALEZA,CE,62807676.0,22910126.0,6939950.0,710423.0,296,2,14149480.0,55867726.0,nan,1254240.0,0.0,724025.0,19829.0,19753.0,10219.0,2028066.0,-354417.0,0.0,0.0,-126755.0,-741284.0,1286782.0,1395396.0,57392.0,-1089387.0,-728325.0,-199400.0,0.0,1194335.0,-621269.0,8741.0,1295523.0,4484.0,1300007.0,-546319.0,-43265.0,710423.0,724025.0,1254240.0,-126755.0,-260112.0,19829.0,1286782.0,57392.0,1395396.0,-1089387.0,-728325.0,-199400.0,0.0,1194335.0,-621269.0,8741.0,1300007.0,-546319.0,-43265.0,-260112.0,FORTALEZA,13.6
150425,BANCO BRADESCO FINANCIAMENTOS S.A.,2021-06-01,7207996,BRADESCO - PRUDENCIAL,b1,2,8,OSASCO,SP,60551437.0,46188773.0,11553628.0,542105.0,3,0,36579354.0,48997809.0,10045.0,3027052.0,73772.0,284064.0,0.0,0.0,0.0,3384888.0,0.0,-64119.0,0.0,-487650.0,-1512492.0,1872396.0,2738.0,125595.0,-148246.0,-229508.0,-116236.0,1503.0,107091.0,-629103.0,-886166.0,986229.0,-14175.0,972054.0,-429950.0,0.0,542105.0,284064.0,3027052.0,-487650.0,-960724.0,0.0,1872396.0,125595.0,2738.0,-148246.0,-229508.0,-116236.0,1503.0,107091.0,-629103.0,-886166.0,972054.0,-429950.0,0.0,-960724.0,OSASCO,15.95
