,instituicao,data_base,codigo_bacen,conglomerado,tcb,tc,ti,cidade,uf,ativo_total,captacoes,patrimonio_liquido,lucro_liquido,numero_agencias,numero_postos_atendimento,carteira_credito,passivel_exigivel,Conglomerado Financeiro,Rendas de Operações de Crédito (a1),Rendas de Operações de Arrendamento Mercantil (a2),Rendas de Operações com TVM (a3),Rendas de Operações com Instrumentos Financeiros Derivativos (a4),Resultado de Operações de Câmbio (a5),Rendas de Aplicações Compulsórias (a6),Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6),Despesas de Obrigações por Empréstimos e Repasses (b2),Despesas de Operações de Arrendamento Mercantil (b3),Resultado de Operações de Câmbio (b4),Resultado de Provisão para Créditos de Difícil Liquidação (b5),Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5),Resultado de Intermediação Financeira (c) = (a) + (b),Rendas de Prestação de Serviços (d1),Rendas de Tarifas Bancárias (d2),Despesas de Pessoal (d3),Despesas Administrativas (d4),Despesas Tributárias (d5),Resultado de Participações (d6),Outras Receitas Operacionais (d7),Outras Despesas Operacionais (d8),Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8),Resultado Operacional (e) = (c) + (d),Resultado Não Operacional (f),"Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f)",Imposto de Renda e Contribuição Social (h),Participação nos Lucros (i),Lucro Líquido (j) = (g) + (h) + (i),Rendas de Títulos e Valores Mobiliários (b),Rendas de Operações de Crédito (c),Resultado com Perda Esperada (f),Despesa de Juros com Captações (g1),Resultado com Derivativos (i),resultado_intermediacao,Rendas de Tarifas Bancárias (m),Outras Rendas de Prestação de Serviços (n),Despesas de Pessoal (o),Despesas Administrativas (p),Despesas Tributárias (s),Resultado de Participações (t),Outras Receitas (u),Outras Despesas (v),outras_receitas_despesas,resultado_antes_impostos,impostos_ir_csll,participacoes_lucro,Despesa_Captacao_Total,cidade_bas,indice_basileia
157645,HR DIGITAL - SOCIEDADE DE CRÉDITO DIRETO S/A,2022-06-01,44292580,HR DIGITAL SCD - PRUDENCIAL,n1,2,43,BRASILIA,DF,3126.0,135.0,2939.0,-24.0,2,0,580.0,187.0,nan,15.0,0.0,162.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,-3.0,-3.0,174.0,0.0,0.0,-115.0,-99.0,0.0,0.0,15.0,0.0,-198.0,-24.0,0.0,-24.0,0.0,0.0,-24.0,162.0,15.0,-3.0,0.0,0.0,174.0,0.0,0.0,-115.0,-99.0,0.0,0.0,15.0,0.0,-198.0,-24.0,0.0,0.0,0.0,BRASILIA,93.15
157646,"EUROINVEST S.A. CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS",2022-06-01,34190991,EUROINVEST S/A CCTVM - PRUDENCIAL,n2,2,15,RIO DE JANEIRO,RJ,3115.0,0.0,2068.0,-545.0,2,0,0.0,1048.0,nan,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,81.0,0.0,-16.0,-432.0,-13.0,0.0,165.0,-351.0,-567.0,-545.0,0.0,-545.0,0.0,0.0,-545.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,81.0,-16.0,-432.0,-13.0,0.0,165.0,-351.0,-567.0,-545.0,0.0,0.0,0.0,RIO DE JANEIRO,39.31
157647,BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.,2022-06-01,36586946,BONUSPAGO SCD - PRUDENCIAL,n1,2,43,CASCAVEL,PR,3107.0,787.0,2240.0,-184.0,2,0,2637.0,867.0,nan,180.0,0.0,5.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,2.0,2.0,186.0,0.0,0.0,-160.0,-197.0,-9.0,0.0,0.0,-4.0,-370.0,-184.0,0.0,-184.0,0.0,0.0,-184.0,5.0,180.0,2.0,0.0,0.0,186.0,0.0,0.0,-160.0,-197.0,-9.0,0.0,0.0,-4.0,-370.0,-184.0,0.0,0.0,0.0,CASCAVEL,132.59
157648,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SERVIDORES PÚBLICOS ATIVOS, INATIVOS E PENSIONISTAS DA ADMINISTRAÇÃO DIRETA, INDIRETA E ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO GRANDE SUL - COOPSERGS",2022-06-01,5591437,nan,b3S,2,9,PORTO ALEGRE,RS,3101.0,0.0,1508.0,107.0,0,0,2443.0,1593.0,nan,797.0,0.0,5.0,0.0,0.0,0.0,802.0,0.0,0.0,0.0,115.0,115.0,917.0,90.0,0.0,-896.0,-623.0,-8.0,0.0,682.0,-52.0,-806.0,110.0,0.0,111.0,-4.0,0.0,107.0,5.0,797.0,115.0,0.0,0.0,917.0,0.0,90.0,-896.0,-623.0,-8.0,0.0,682.0,-52.0,-806.0,111.0,-4.0,0.0,0.0,,
157649,BNK DIGITAL SOCIEDADE DE CRÉDITO DIRETO S.A.,2022-06-01,45331622,BNK DIGITAL SCD - PRUDENCIAL,n1,2,43,PORTO ALEGRE,RS,3057.0,0.0,2825.0,-175.0,2,0,762.0,232.0,nan,12.0,0.0,143.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,-4.0,-4.0,151.0,24.0,0.0,-110.0,-229.0,-11.0,0.0,0.0,0.0,-326.0,-175.0,0.0,-175.0,0.0,0.0,-175.0,143.0,12.0,-4.0,0.0,0.0,151.0,0.0,24.0,-110.0,-229.0,-11.0,0.0,0.0,0.0,-326.0,-175.0,0.0,0.0,0.0,PORTO ALEGRE,114.02
157650,UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A,2022-06-01,42047025,UNAVANTI SCD - PRUDENCIAL,n1,2,43,MARINGA,PR,3046.0,308.0,2610.0,-26.0,2,0,2456.0,436.0,nan,246.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,-8.0,-9.0,238.0,1750.0,52.0,-271.0,-1623.0,-151.0,0.0,0.0,0.0,-243.0,-6.0,-21.0,-26.0,0.0,0.0,-26.0,0.0,246.0,-8.0,0.0,0.0,238.0,52.0,1750.0,-271.0,-1623.0,-151.0,0.0,0.0,0.0,-243.0,-26.0,0.0,0.0,0.0,MARINGA,102.13
157651,NUMBER ONE SOCIEDADE CORRETORA DE CAMBIO LTDA.,2022-06-01,68742204,NUMBER ONE SCC LTDA. - PRUDENCIAL,n2,2,21,RIO DE JANEIRO,RJ,3022.0,0.0,2098.0,104.0,3,0,0.0,924.0,nan,0.0,0.0,38.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,38.0,3321.0,0.0,-2239.0,-673.0,-323.0,0.0,14.0,0.0,100.0,138.0,0.0,138.0,-34.0,0.0,104.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,3321.0,-2239.0,-673.0,-323.0,0.0,14.0,0.0,100.0,138.0,-34.0,0.0,0.0,RIO DE JANEIRO,31.69
157652,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA JOLIMODE ROUPAS E EMPRESAS COLIGADAS LTDA,2022-06-01,28244622,nan,b3S,2,9,RIO DE JANEIRO,RJ,3012.0,0.0,2847.0,37.0,0,0,1122.0,165.0,nan,245.0,0.0,46.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,22.0,22.0,314.0,0.0,0.0,-183.0,-81.0,-7.0,0.0,0.0,-5.0,-277.0,37.0,0.0,37.0,0.0,0.0,37.0,46.0,245.0,22.0,0.0,0.0,314.0,0.0,0.0,-183.0,-81.0,-7.0,0.0,0.0,-5.0,-277.0,37.0,0.0,0.0,0.0,,
157653,"COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FIEP, SESI, SENAI, IEL E DO CONDOMÍNIO AGOSTINHO VELLOSO DA SILVEIRA (CEAVS) - CREDFISP LTDA.",2022-06-01,5747018,nan,b3S,2,9,CAMPINA GRANDE,PB,2995.0,0.0,2788.0,129.0,0,0,1554.0,207.0,nan,255.0,0.0,61.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,-2.0,-2.0,315.0,5.0,30.0,-133.0,-93.0,1.0,0.0,7.0,1.0,-185.0,129.0,0.0,129.0,0.0,0.0,129.0,61.0,255.0,-2.0,0.0,0.0,315.0,30.0,5.0,-133.0,-93.0,1.0,0.0,7.0,1.0,-185.0,129.0,0.0,0.0,0.0,,
157654,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DA UERJ LTDA. - COOPUERJ,2022-06-01,28885036,nan,b3S,2,9,RIO DE JANEIRO,RJ,2995.0,0.0,2516.0,23.0,0,0,2081.0,478.0,nan,145.0,0.0,37.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,-14.0,-14.0,168.0,0.0,0.0,-226.0,-101.0,-2.0,0.0,212.0,-28.0,-145.0,24.0,0.0,24.0,1.0,0.0,23.0,37.0,145.0,-14.0,0.0,0.0,168.0,0.0,0.0,-226.0,-101.0,-2.0,0.0,212.0,-28.0,-145.0,24.0,1.0,0.0,0.0,,
157655,TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.,2022-06-01,40654622,TRINUS CAPITAL DTVM - PRUDENCIAL,n1,2,43,GOIANIA,GO,2980.0,453.0,2479.0,-289.0,2,0,0.0,501.0,52223.0,5.0,0.0,69.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,8.0,8.0,82.0,0.0,0.0,-121.0,-247.0,-4.0,0.0,1.0,0.0,-370.0,-288.0,0.0,-288.0,0.0,1.0,-289.0,69.0,5.0,8.0,0.0,0.0,82.0,0.0,0.0,-121.0,-247.0,-4.0,0.0,1.0,0.0,-370.0,-288.0,0.0,1.0,0.0,GOIANIA,22.63
157656,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA EMPRESA SUPERMERCADOS JAU SERVE - COOPERJS,2022-06-01,3400651,nan,b3S,2,9,JAU,SP,2933.0,0.0,2805.0,57.0,0,0,1329.0,128.0,nan,209.0,0.0,66.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,-3.0,-3.0,272.0,0.0,0.0,-74.0,-146.0,0.0,0.0,5.0,0.0,-215.0,57.0,0.0,57.0,0.0,0.0,57.0,66.0,209.0,-3.0,0.0,0.0,272.0,0.0,0.0,-74.0,-146.0,0.0,0.0,5.0,0.0,-215.0,57.0,0.0,0.0,0.0,,
157657,BANSUR JM SOCIEDADE DE CRÉDITO DIRETO S/A,2022-06-01,42963742,BANSUR JM SCD - PRUDENCIAL,n1,2,43,BELO HORIZONTE,MG,2928.0,0.0,2838.0,-123.0,2,0,845.0,89.0,nan,216.0,0.0,43.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,-4.0,-4.0,255.0,0.0,25.0,-72.0,-318.0,-15.0,0.0,1.0,0.0,-378.0,-123.0,0.0,-123.0,0.0,0.0,-123.0,43.0,216.0,-4.0,0.0,0.0,255.0,25.0,0.0,-72.0,-318.0,-15.0,0.0,1.0,0.0,-378.0,-123.0,0.0,0.0,0.0,BELO HORIZONTE,166.42
157658,"COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DA PERPART, DO IPA E DA ADAGRO - COOPEMATER",2022-06-01,11356599,nan,b3S,2,9,RECIFE,PE,2921.0,0.0,2823.0,-4.0,0,0,2221.0,98.0,nan,321.0,0.0,12.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,-9.0,-9.0,324.0,0.0,0.0,-213.0,-109.0,1.0,0.0,0.0,-5.0,-327.0,-3.0,1.0,-4.0,0.0,0.0,-4.0,12.0,321.0,-9.0,0.0,0.0,324.0,0.0,0.0,-213.0,-109.0,1.0,0.0,0.0,-5.0,-327.0,-4.0,0.0,0.0,0.0,,
157659,NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.,2022-06-01,38129006,NUMBRS SCD - PRUDENCIAL,n1,2,43,SAO PAULO,SP,2884.0,117.0,2725.0,116.0,2,0,0.0,159.0,nan,0.0,0.0,128.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,-6.0,122.0,150.0,0.0,0.0,-87.0,-27.0,0.0,0.0,0.0,36.0,158.0,0.0,158.0,-42.0,0.0,116.0,128.0,0.0,0.0,-6.0,0.0,122.0,0.0,150.0,0.0,-87.0,-27.0,0.0,0.0,0.0,36.0,158.0,-42.0,0.0,-6.0,SAO PAULO,3261.27
157660,COOPERATIVA DE CRÉDITO DOS EMPREGADOS DAS EMPRESAS DO GRUPO INDORAMA NO BRASIL,2022-06-01,62605290,nan,b3S,2,9,POCOS DE CALDAS,MG,2789.0,0.0,2581.0,9.0,0,0,1691.0,208.0,nan,138.0,0.0,38.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,6.0,6.0,182.0,0.0,0.0,-117.0,-43.0,-3.0,0.0,0.0,0.0,-162.0,20.0,0.0,20.0,-11.0,0.0,9.0,38.0,138.0,6.0,0.0,0.0,182.0,0.0,0.0,-117.0,-43.0,-3.0,0.0,0.0,0.0,-162.0,20.0,-11.0,0.0,0.0,,
157661,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS PÚBLICOS DO PODER JUDICIÁRIO DA CAPITAL DO ESTADO DE SÃO PAULO - SICOOB JUDCRED,2022-06-01,7651495,nan,b3S,2,9,SAO PAULO,SP,2764.0,0.0,2059.0,-311.0,0,0,2936.0,705.0,nan,273.0,0.0,10.0,0.0,0.0,0.0,283.0,-36.0,0.0,0.0,-220.0,-256.0,27.0,1.0,0.0,-90.0,-329.0,0.0,0.0,80.0,0.0,-338.0,-311.0,0.0,-311.0,0.0,0.0,-311.0,10.0,273.0,-220.0,0.0,0.0,27.0,0.0,1.0,-90.0,-329.0,0.0,0.0,80.0,0.0,-338.0,-311.0,0.0,0.0,0.0,,
157662,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA NAKATA,2022-06-01,9128022,nan,b3S,2,9,OSASCO,SP,2744.0,0.0,2711.0,0.0,0,0,1882.0,33.0,nan,116.0,0.0,34.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,-3.0,-3.0,147.0,0.0,0.0,0.0,-147.0,0.0,0.0,0.0,0.0,-147.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,116.0,-3.0,0.0,0.0,147.0,0.0,0.0,0.0,-147.0,0.0,0.0,0.0,0.0,-147.0,0.0,0.0,0.0,0.0,,
157663,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO E EMPREGADOS EM ESTABELECIMENTOS PRIVADOS DE ENSINO DO MUNICÍPIO DO RIO DE JANEIRO LTDA.,2022-06-01,42445122,nan,b3S,2,9,RIO DE JANEIRO,RJ,2724.0,0.0,1329.0,25.0,0,1,1525.0,1394.0,nan,199.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,14.0,14.0,212.0,0.0,0.0,-91.0,-128.0,1.0,0.0,26.0,0.0,-195.0,18.0,8.0,25.0,0.0,0.0,25.0,0.0,199.0,14.0,0.0,0.0,212.0,0.0,0.0,-91.0,-128.0,1.0,0.0,26.0,0.0,-195.0,25.0,0.0,0.0,0.0,,
157664,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS EM EMPRESAS ADMINISTRADORAS DE AEROPORTOS - AEROCRED,2022-06-01,5292849,nan,b3S,2,9,GUARULHOS,SP,2721.0,0.0,2631.0,132.0,0,0,1388.0,90.0,nan,338.0,0.0,55.0,0.0,0.0,0.0,393.0,0.0,0.0,0.0,29.0,29.0,422.0,0.0,0.0,-121.0,-162.0,-3.0,0.0,0.0,-4.0,-290.0,132.0,0.0,132.0,0.0,0.0,132.0,55.0,338.0,29.0,0.0,0.0,422.0,0.0,0.0,-121.0,-162.0,-3.0,0.0,0.0,-4.0,-290.0,132.0,0.0,0.0,0.0,,
157665,MOMENTO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2022-06-01,97447304,MOMENTO DTVM LTDA. - PRUDENCIAL,n2,2,16,RIO DE JANEIRO,RJ,2685.0,0.0,2207.0,61.0,2,0,0.0,478.0,nan,0.0,0.0,102.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,102.0,387.0,0.0,-190.0,-195.0,-23.0,0.0,1.0,0.0,-19.0,82.0,12.0,94.0,-33.0,0.0,61.0,102.0,0.0,0.0,0.0,0.0,102.0,0.0,387.0,-190.0,-195.0,-23.0,0.0,1.0,0.0,-19.0,94.0,-33.0,0.0,0.0,RIO DE JANEIRO,52.22
157666,BRX CORRETORA DE CÂMBIO LTDA.,2022-06-01,17904906,BRX CC LTDA. - PRUDENCIAL,n2,2,21,RIO DE JANEIRO,RJ,2646.0,0.0,1095.0,31.0,2,0,0.0,1551.0,nan,0.0,0.0,0.0,0.0,2729.0,0.0,2729.0,0.0,0.0,0.0,0.0,0.0,2729.0,182.0,0.0,-173.0,-2584.0,-145.0,0.0,22.0,0.0,-2698.0,31.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,2729.0,0.0,182.0,-173.0,-2584.0,-145.0,0.0,22.0,0.0,-2698.0,31.0,0.0,0.0,0.0,RIO DE JANEIRO,11.6
157667,MONETAR DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2022-06-01,12063256,TERRA INVESTIMENTOS DTVM - PRUDENCIAL,n2,2,16,SAO PAULO,SP,2541.0,0.0,2433.0,310.0,2,0,0.0,107.0,52113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.0,-142.0,-142.0,2191.0,0.0,-938.0,-611.0,-154.0,0.0,2.0,0.0,490.0,348.0,0.0,348.0,-38.0,0.0,310.0,0.0,0.0,-142.0,0.0,0.0,-142.0,0.0,2191.0,-938.0,-611.0,-154.0,0.0,2.0,0.0,490.0,348.0,-38.0,0.0,0.0,SAO PAULO,25.17
157668,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DO COLEGIO PEDRO II,2022-06-01,2910387,nan,b3S,2,9,RIO DE JANEIRO,RJ,2534.0,0.0,2404.0,44.0,0,0,918.0,130.0,nan,134.0,0.0,25.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,1.0,1.0,160.0,0.0,0.0,-91.0,-70.0,1.0,0.0,46.0,0.0,-116.0,44.0,0.0,44.0,0.0,0.0,44.0,25.0,134.0,1.0,0.0,0.0,160.0,0.0,0.0,-91.0,-70.0,1.0,0.0,46.0,0.0,-116.0,44.0,0.0,0.0,0.0,,
157669,GOOD CORRETORA DE CÂMBIO LTDA,2022-06-01,23010182,GOOD CC - PRUDENCIAL,n2,2,21,PORTO ALEGRE,RS,2509.0,0.0,2124.0,40.0,2,0,0.0,385.0,nan,0.0,0.0,0.0,0.0,1465.0,0.0,1465.0,0.0,0.0,0.0,0.0,0.0,1465.0,51.0,7.0,-161.0,-1236.0,-71.0,0.0,0.0,-4.0,-1415.0,51.0,0.0,51.0,-10.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1465.0,7.0,51.0,-161.0,-1236.0,-71.0,0.0,0.0,-4.0,-1415.0,51.0,-10.0,0.0,0.0,PORTO ALEGRE,42.47
157670,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO SUGGAR LTDA.,2022-06-01,548980,nan,b3S,2,9,BELO HORIZONTE,MG,2507.0,0.0,2419.0,211.0,0,0,2312.0,88.0,nan,303.0,0.0,14.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,-58.0,-58.0,260.0,16.0,0.0,-3.0,-55.0,0.0,0.0,0.0,-5.0,-47.0,212.0,0.0,212.0,-1.0,0.0,211.0,14.0,303.0,-58.0,0.0,0.0,260.0,0.0,16.0,-3.0,-55.0,0.0,0.0,0.0,-5.0,-47.0,212.0,-1.0,0.0,0.0,,
157671,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA BECTON DICKINSON INDÚSTRIAS CIRÚRGICAS LTDA., LTDA.",2022-06-01,21597133,nan,b3S,2,9,JUIZ DE FORA,MG,2481.0,0.0,2181.0,72.0,0,0,1148.0,300.0,nan,174.0,0.0,43.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,-1.0,-1.0,216.0,0.0,0.0,-89.0,-53.0,-2.0,0.0,0.0,0.0,-144.0,72.0,0.0,72.0,0.0,0.0,72.0,43.0,174.0,-1.0,0.0,0.0,216.0,0.0,0.0,-89.0,-53.0,-2.0,0.0,0.0,0.0,-144.0,72.0,0.0,0.0,0.0,,
157672,BRCARD SOCIEDADE DE CRÉDITO DIRETO S/A,2022-06-01,39431423,BRCARD SCD - PRUDENCIAL,n1,2,43,CALDAS NOVAS,GO,2471.0,0.0,2108.0,91.0,2,0,2564.0,363.0,nan,899.0,0.0,2.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,-355.0,-355.0,545.0,0.0,106.0,0.0,-270.0,-52.0,0.0,0.0,-6.0,-221.0,324.0,0.0,324.0,-232.0,0.0,91.0,2.0,899.0,-355.0,0.0,0.0,545.0,106.0,0.0,0.0,-270.0,-52.0,0.0,0.0,-6.0,-221.0,324.0,-232.0,0.0,0.0,CALDAS NOVAS,99.56
157673,PACIFIC INVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2022-06-01,73279093,PACIFIC INVEST DTVM LTDA - PRUDENCIAL,n2,2,16,JOACABA,SC,2424.0,0.0,1841.0,240.0,8,0,0.0,584.0,nan,0.0,0.0,8.0,158.0,916.0,0.0,1083.0,0.0,0.0,0.0,0.0,0.0,1083.0,46.0,7.0,-507.0,-337.0,-53.0,0.0,0.0,0.0,-843.0,240.0,0.0,240.0,0.0,0.0,240.0,8.0,0.0,0.0,0.0,158.0,1083.0,7.0,46.0,-507.0,-337.0,-53.0,0.0,0.0,0.0,-843.0,240.0,0.0,0.0,0.0,JOACABA,21.38
157674,COOPSERJ - COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO PODER EXECUTIVO DO ESTADO DO RIO DE JANEIRO LTDA.,2022-06-01,2723075,nan,b3S,2,9,RIO DE JANEIRO,RJ,2424.0,0.0,1191.0,91.0,0,0,1917.0,1233.0,nan,169.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,-8.0,-16.0,153.0,1.0,0.0,-225.0,-217.0,1.0,0.0,472.0,-92.0,-62.0,91.0,0.0,91.0,0.0,0.0,91.0,0.0,169.0,-8.0,-8.0,0.0,153.0,0.0,1.0,-225.0,-217.0,1.0,0.0,472.0,-92.0,-62.0,91.0,0.0,0.0,-8.0,,
157675,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO PARAMOUNT,2022-06-01,88183173,nan,b3S,2,9,SAPUCAIA DO SUL,RS,2389.0,0.0,2302.0,50.0,0,0,1255.0,87.0,nan,163.0,0.0,35.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,-86.0,-66.0,0.0,0.0,0.0,-2.0,-154.0,43.0,9.0,52.0,-3.0,0.0,50.0,35.0,163.0,0.0,0.0,0.0,197.0,0.0,0.0,-86.0,-66.0,0.0,0.0,0.0,-2.0,-154.0,52.0,-3.0,0.0,0.0,,
157676,NUMATUR CORRETORA DE CÂMBIO LTDA.,2022-06-01,18145784,NUMATUR CC LTDA - PRUDENCIAL,n2,2,21,SAO PAULO,SP,2364.0,0.0,2291.0,171.0,3,0,0.0,73.0,nan,0.0,0.0,67.0,0.0,590.0,0.0,657.0,0.0,0.0,0.0,0.0,0.0,657.0,22.0,0.0,-154.0,-265.0,-33.0,0.0,0.0,0.0,-430.0,227.0,0.0,227.0,-56.0,0.0,171.0,67.0,0.0,0.0,0.0,0.0,657.0,0.0,22.0,-154.0,-265.0,-33.0,0.0,0.0,0.0,-430.0,227.0,-56.0,0.0,0.0,SAO PAULO,102.89
157677,AVS CORRETORA DE CÂMBIO LTDA.,2022-06-01,25280945,AVS CORRETORA DE CÂMBIO LTDA - PRUDENCIAL,n2,2,21,CURITIBA,PR,2346.0,0.0,1641.0,637.0,3,0,0.0,705.0,nan,0.0,0.0,14.0,0.0,2504.0,0.0,2518.0,0.0,0.0,0.0,0.0,0.0,2518.0,41.0,122.0,-682.0,-852.0,-125.0,0.0,0.0,-3.0,-1499.0,1019.0,0.0,1019.0,-383.0,0.0,637.0,14.0,0.0,0.0,0.0,0.0,2518.0,122.0,41.0,-682.0,-852.0,-125.0,0.0,0.0,-3.0,-1499.0,1019.0,-383.0,0.0,0.0,CURITIBA,33.46
157678,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA VIACAO NOSSA SENHORA DO AMPARO LTDA. - COPERFAMP,2022-06-01,2192115,nan,b3S,2,9,MARICA,RJ,2327.0,0.0,2019.0,-39.0,0,0,995.0,308.0,nan,205.0,0.0,27.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,-102.0,-102.0,130.0,0.0,0.0,-72.0,-131.0,0.0,0.0,43.0,-4.0,-164.0,-34.0,0.0,-34.0,-5.0,0.0,-39.0,27.0,205.0,-102.0,0.0,0.0,130.0,0.0,0.0,-72.0,-131.0,0.0,0.0,43.0,-4.0,-164.0,-34.0,-5.0,0.0,0.0,,
157679,PLANNER SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR S.A.,2022-06-01,5684234,PLANNER - PRUDENCIAL,n1,2,10,SAO PAULO,SP,2299.0,202.0,1680.0,158.0,2,0,163.0,620.0,51341.0,0.0,0.0,158.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,-5.0,-5.0,153.0,774.0,0.0,0.0,-577.0,-81.0,0.0,2.0,-38.0,79.0,232.0,0.0,232.0,-74.0,0.0,158.0,158.0,0.0,-5.0,0.0,0.0,153.0,0.0,774.0,0.0,-577.0,-81.0,0.0,2.0,-38.0,79.0,232.0,-74.0,0.0,0.0,SAO PAULO,12.12
157680,CDC SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESADE PEQUENO PORTE LTDA.,2022-06-01,18394228,CDC SCMEPP - PRUDENCIAL,n1,2,10,BELO HORIZONTE,MG,2282.0,0.0,1920.0,117.0,2,0,1761.0,361.0,nan,661.0,0.0,1.0,0.0,0.0,0.0,663.0,0.0,0.0,0.0,-82.0,-82.0,581.0,20.0,54.0,-88.0,-389.0,-27.0,0.0,0.0,-13.0,-443.0,138.0,0.0,138.0,-21.0,0.0,117.0,1.0,661.0,-82.0,0.0,0.0,581.0,54.0,20.0,-88.0,-389.0,-27.0,0.0,0.0,-13.0,-443.0,138.0,-21.0,0.0,0.0,BELO HORIZONTE,132.6
157681,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA CIA AÇUCAREIRA VALE DO ROSÁRIO - COOPERVALE,2022-06-01,44958981,nan,b3S,2,9,MORRO AGUDO,SP,2280.0,0.0,1700.0,266.0,0,0,486.0,580.0,nan,844.0,0.0,95.0,0.0,0.0,0.0,938.0,0.0,0.0,0.0,165.0,165.0,1103.0,0.0,0.0,-268.0,-266.0,-1.0,0.0,13.0,-319.0,-841.0,262.0,4.0,266.0,0.0,0.0,266.0,95.0,844.0,165.0,0.0,0.0,1103.0,0.0,0.0,-268.0,-266.0,-1.0,0.0,13.0,-319.0,-841.0,266.0,0.0,0.0,0.0,,
