Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;06/2002;NA;NA;7.949.497;3.830.471;11.779.968;95.947.386;NA;NA;NA;NA;6.248.597;NA;102.195.982;NA;NA%;NA%;11,53%;NA%;32,81%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2002;NA;NA;12.478.702;6.260.763;18.739.465;87.173.546;NA;NA;NA;NA;1.060.246;NA;88.233.792;NA;NA%;NA%;21,24%;NA%;66,80%
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;06/2002;NA;NA;10.528.663;1.963.391;12.492.054;79.142.957;NA;NA;NA;NA;8.158.940;NA;87.301.897;NA;NA%;NA%;14,31%;NA%;56,65%
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2002;NA;NA;11.108.702;1.888.095;12.996.797;58.383.172;NA;NA;NA;NA;24.235.666;NA;82.618.837;NA;NA%;NA%;15,73%;NA%;68,58%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;06/2002;NA;NA;6.364.710;556.532;6.921.242;46.665.116;NA;NA;NA;NA;4.913.096;NA;51.578.212;NA;NA%;NA%;13,42%;NA%;58,38%
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;06/2002;NA;NA;5.975.666;0;5.975.666;35.600.578;NA;NA;NA;NA;8.473.238;NA;44.073.816;NA;NA%;NA%;13,56%;NA%;33,30%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;06/2002;NA;NA;5.206.134;7.071;5.213.205;26.313.572;NA;NA;NA;NA;8.566.028;NA;34.879.600;NA;NA%;NA%;14,95%;NA%;42,13%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2002;NA;NA;3.816.074;485.061;4.301.135;29.484.380;NA;NA;NA;NA;1.958.362;NA;31.442.742;NA;NA%;NA%;13,68%;NA%;56,93%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2002;NA;NA;3.495.530;0;3.495.530;19.818.949;NA;NA;NA;NA;3.968.697;NA;23.787.645;NA;NA%;NA%;14,69%;NA%;5,01%
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;06/2002;NA;NA;1.932.766;288.220;2.220.985;17.321.053;NA;NA;NA;NA;1.439.850;NA;18.760.903;NA;NA%;NA%;11,84%;NA%;25,74%
