Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2007;NA;NA;25.673.998;9.813.344;35.487.343;168.480.057;NA;NA;NA;NA;31.340.227;NA;199.820.284;NA;NA%;NA%;17,76%;NA%;49,18%
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2007;NA;NA;25.901.025;7.245.221;32.903.999;152.519.749;NA;NA;NA;NA;37.889.381;NA;190.409.130;NA;NA%;NA%;17,28%;NA%;24,68%
BB;49906;b1;;C;1;BRASILIA;DF;03/2007;NA;NA;21.580.195;10.271.767;31.851.962;179.290.874;NA;NA;NA;NA;6.653.568;NA;185.944.442;NA;NA%;NA%;17,13%;NA%;14,17%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2007;NA;NA;20.599.302;15.670.802;36.270.104;136.880.245;NA;NA;NA;NA;666.351;NA;137.546.596;NA;NA%;NA%;26,37%;NA%;50,99%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;03/2007;NA;NA;10.302.239;3.079.294;13.381.534;79.655.503;NA;NA;NA;NA;20.861.819;NA;100.517.322;NA;NA%;NA%;13,31%;NA%;48,28%
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;03/2007;NA;NA;8.069.885;4.269.213;12.339.098;70.951.955;NA;NA;NA;NA;11.688.649;NA;82.640.604;NA;NA%;NA%;14,93%;NA%;14,59%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;03/2007;NA;NA;10.852.900;649.756;11.502.657;72.602.681;NA;NA;NA;NA;5.730.512;NA;78.333.192;NA;NA%;NA%;14,68%;NA%;17,43%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2007;NA;NA;8.612.473;4.063.872;12.666.159;46.639.982;NA;NA;NA;NA;5.077.691;NA;51.717.673;NA;NA%;NA%;24,49%;NA%;19,75%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2007;NA;NA;3.917.276;733.757;4.651.033;34.031.566;NA;NA;NA;NA;4.772.384;NA;38.803.950;NA;NA%;NA%;11,99%;NA%;14,34%
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2007;NA;NA;4.241.557;879.399;5.120.956;34.739.956;NA;NA;NA;NA;2.676.079;NA;37.416.034;NA;NA%;NA%;13,69%;NA%;33,42%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2007;NA;NA;5.526.993;0;5.526.993;32.297.175;NA;NA;NA;NA;2.152.558;NA;34.449.733;NA;NA%;NA%;16,04%;NA%;1,59%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2007;NA;NA;3.560.707;468.052;4.028.759;18.387.475;NA;NA;NA;NA;9.407.643;NA;27.795.117;NA;NA%;NA%;14,49%;NA%;17,51%
UBS PACTUAL;49944;b1;;C;3;RIO DE JANEIRO;RJ;03/2007;NA;NA;2.695.259;0;2.695.259;12.449.725;NA;NA;NA;NA;1.953.931;NA;14.403.656;NA;NA%;NA%;18,71%;NA%;4,37%
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;03/2007;NA;NA;2.634.702;27.695;2.662.397;11.246.843;NA;NA;NA;NA;2.257.665;NA;13.504.507;NA;NA%;NA%;19,71%;NA%;18,86%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;03/2007;NA;NA;1.848.860;2.282;1.851.142;7.876.488;NA;NA;NA;NA;824.833;NA;8.701.321;NA;NA%;NA%;21,27%;NA%;17,11%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;03/2007;NA;NA;1.462.222;42.033;1.504.255;8.213.820;NA;NA;NA;NA;25.155;NA;8.238.975;NA;NA%;NA%;18,26%;NA%;12,31%
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;03/2007;NA;NA;1.110.004;0;1.110.004;6.294.755;NA;NA;NA;NA;1.941.406;NA;8.236.161;NA;NA%;NA%;13,48%;NA%;6,61%
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;03/2007;NA;NA;1.329.923;0;1.329.923;3.914.482;NA;NA;NA;NA;3.934.969;NA;7.849.451;NA;NA%;NA%;16,94%;NA%;3,75%
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;03/2007;NA;NA;990.875;15.015;1.005.890;6.979.903;NA;NA;NA;NA;507.312;NA;7.487.215;NA;NA%;NA%;13,43%;NA%;3,22%
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;03/2007;NA;NA;1.445.966;1.161;1.447.127;4.588.721;NA;NA;NA;NA;2.472.706;NA;7.061.427;NA;NA%;NA%;20,49%;NA%;2,97%
ALFA;51293;b1;;C;2;SAO PAULO;SP;03/2007;NA;NA;1.068.027;191.924;1.259.952;6.660.054;NA;NA;NA;NA;342.015;NA;7.002.069;NA;NA%;NA%;17,99%;NA%;12,26%
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;03/2007;NA;NA;822.413;0;822.413;6.771.246;NA;NA;NA;NA;122.294;NA;6.893.539;NA;NA%;NA%;11,93%;NA%;8,08%
BBM;30207;b1;;C;2;SALVADOR;BA;03/2007;NA;NA;770.877;0;770.877;5.397.911;NA;NA;NA;NA;924.055;NA;6.321.966;NA;NA%;NA%;12,19%;NA%;11,89%
BIC;32119;b1;;C;2;SAO PAULO;SP;03/2007;NA;NA;588.363;247.779;836.142;5.432.026;NA;NA;NA;NA;494.982;NA;5.927.009;NA;NA%;NA%;14,11%;NA%;4,32%
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;03/2007;NA;NA;1.684.885;44.004;1.728.889;5.166.893;NA;NA;NA;NA;16.230;NA;5.183.123;NA;NA%;NA%;33,36%;NA%;16,03%
SS;31323;b1;;C;2;SAO PAULO;SP;03/2007;NA;NA;498.317;256.805;755.122;4.588.223;NA;NA;NA;NA;163.915;NA;4.752.139;NA;NA%;NA%;15,89%;NA%;17,91%
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;03/2007;NA;NA;759.889;0;759.889;4.305.086;NA;NA;NA;NA;205.696;NA;4.510.781;NA;NA%;NA%;16,85%;NA%;17,31%
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;03/2007;NA;NA;478.715;35.563;514.278;4.259.645;NA;NA;NA;NA;238.215;NA;4.497.860;NA;NA%;NA%;11,43%;NA%;37,72%
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;03/2007;NA;NA;620.214;203;620.417;3.991.397;NA;NA;NA;NA;32.620;NA;4.024.017;NA;NA%;NA%;15,42%;NA%;3,88%
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;03/2007;NA;NA;851.901;630;852.530;3.781.994;NA;NA;NA;NA;0;NA;3.781.994;NA;NA%;NA%;22,54%;NA%;2,41%
FIBRA;49951;b1;;C;2;SAO PAULO;SP;03/2007;NA;NA;452.527;61.894;514.421;3.598.279;NA;NA;NA;NA;114.885;NA;3.713.164;NA;NA%;NA%;13,85%;NA%;16,18%
BANCO IBI S.A. - BANCO MÚLTIPLO;4184779;b1;;I;3;BARUERI;SP;03/2007;NA;NA;421.412;32;421.443;3.469.504;NA;NA;NA;NA;77.683;NA;3.547.187;NA;NA%;NA%;11,88%;NA%;8,66%
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;03/2007;NA;NA;457.551;1.707;459.257;3.289.157;NA;NA;NA;NA;199.236;NA;3.488.393;NA;NA%;NA%;13,17%;NA%;2,04%
DAIMLERCHRYSLER;51262;b2;;C;3;SAO PAULO;SP;03/2007;NA;NA;444.145;120.012;564.157;3.239.739;NA;NA;NA;NA;130.727;NA;3.370.465;NA;NA%;NA%;16,74%;NA%;0,38%
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;03/2007;NA;NA;517.742;156.322;674.064;2.139.727;NA;NA;NA;NA;1.229.950;NA;3.369.676;NA;NA%;NA%;20,00%;NA%;9,47%
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;03/2007;NA;NA;329.154;-11.932;317.222;2.368.276;NA;NA;NA;NA;96.617;NA;2.464.892;NA;NA%;NA%;12,87%;NA%;2,06%
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;03/2007;NA;NA;286.860;31.041;317.901;2.128.248;NA;NA;NA;NA;323.626;NA;2.451.874;NA;NA%;NA%;12,97%;NA%;1,37%
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;03/2007;NA;NA;412.232;13.499;425.732;1.742.617;NA;NA;NA;NA;625.906;NA;2.368.523;NA;NA%;NA%;17,97%;NA%;17,33%
