Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2003;NA;NA;10.029.113;5.041.198;15.070.311;95.255.990;NA;NA;NA;NA;25.357.348;NA;120.613.338;NA;NA%;NA%;12,49%;NA%;76,58%
BB;49906;b1;;C;1;BRASILIA;DF;06/2003;NA;NA;10.847.152;4.631.530;15.478.682;106.516.360;NA;NA;NA;NA;6.301.949;NA;112.818.310;NA;NA%;NA%;13,72%;NA%;23,28%
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2003;NA;NA;12.449.086;4.643.828;17.092.914;68.596.336;NA;NA;NA;NA;31.511.749;NA;100.108.085;NA;NA%;NA%;17,07%;NA%;46,59%
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;06/2003;NA;NA;12.531.583;3.293.057;15.824.641;84.129.529;NA;NA;NA;NA;12.602.879;NA;96.732.408;NA;NA%;NA%;16,36%;NA%;44,30%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;06/2003;NA;NA;7.022.264;802.767;7.825.031;45.691.720;NA;NA;NA;NA;1.101.340;NA;46.793.059;NA;NA%;NA%;16,72%;NA%;46,46%
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;7.463.780;0;7.463.780;35.001.183;NA;NA;NA;NA;10.524.699;NA;45.525.882;NA;NA%;NA%;16,39%;NA%;28,14%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;6.228.286;11.995;6.240.281;30.627.035;NA;NA;NA;NA;12.004.378;NA;42.631.413;NA;NA%;NA%;14,64%;NA%;31,43%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2003;NA;NA;4.895.009;425.616;5.320.625;27.149.067;NA;NA;NA;NA;1.720.787;NA;28.869.854;NA;NA%;NA%;18,43%;NA%;43,70%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;3.502.111;0;3.502.111;12.480.045;NA;NA;NA;NA;11.629.458;NA;24.109.503;NA;NA%;NA%;14,53%;NA%;4,69%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2003;NA;NA;3.086.743;0;3.086.743;14.263.511;NA;NA;NA;NA;9.041.320;NA;23.304.832;NA;NA%;NA%;13,25%;NA%;17,20%
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2003;NA;NA;1.386.515;529.378;1.915.894;12.547.372;NA;NA;NA;NA;2.973.986;NA;15.521.359;NA;NA%;NA%;12,34%;NA%;42,77%
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;2.271.860;290.342;2.562.202;14.159.639;NA;NA;NA;NA;1.037.114;NA;15.196.753;NA;NA%;NA%;16,86%;NA%;22,34%
SUDAMERIS;31330;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;1.410.776;586.728;1.997.504;10.032.226;NA;NA;NA;NA;588.254;NA;10.620.480;NA;NA%;NA%;18,81%;NA%;23,76%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2003;NA;NA;1.976.662;0;1.976.662;6.635.797;NA;NA;NA;NA;3.199.592;NA;9.835.389;NA;NA%;NA%;20,10%;NA%;1,06%
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;1.503.290;0;1.503.290;3.154.886;NA;NA;NA;NA;5.854.313;NA;9.009.200;NA;NA%;NA%;16,69%;NA%;5,10%
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;06/2003;NA;NA;1.564.786;34.942;1.599.727;5.709.631;NA;NA;NA;NA;1.015.686;NA;6.725.317;NA;NA%;NA%;23,79%;NA%;23,19%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;06/2003;NA;NA;740.418;2.410;742.829;4.288.425;NA;NA;NA;NA;906.839;NA;5.195.264;NA;NA%;NA%;14,30%;NA%;24,38%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;06/2003;NA;NA;1.138.625;46.262;1.184.887;4.826.151;NA;NA;NA;NA;158.949;NA;4.985.101;NA;NA%;NA%;23,77%;NA%;12,35%
LLOYDS;20121;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;859.323;0;859.323;4.166.886;NA;NA;NA;NA;661.545;NA;4.828.431;NA;NA%;NA%;17,80%;NA%;15,97%
RURAL;31244;b1;;C;2;RIO DE JANEIRO;RJ;06/2003;NA;NA;567.604;580;568.184;3.438.245;NA;NA;NA;NA;1.276.217;NA;4.714.462;NA;NA%;NA%;12,05%;NA%;34,45%
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;06/2003;NA;NA;546.828;0;546.828;3.694.436;NA;NA;NA;NA;528.393;NA;4.222.829;NA;NA%;NA%;12,95%;NA%;10,45%
ALFA;51293;b1;;C;2;SAO PAULO;SP;06/2003;NA;NA;802.526;153.138;955.664;4.018.842;NA;NA;NA;NA;168.414;NA;4.187.255;NA;NA%;NA%;22,82%;NA%;21,45%
SANTOS;50177;b1;;C;2;SAO PAULO;SP;06/2003;NA;NA;481.067;5.001;486.068;3.675.806;NA;NA;NA;NA;338.845;NA;4.014.651;NA;NA%;NA%;12,11%;NA%;34,36%
BANCO BANQUE NATIONALE DE PARIS BRASIL S.A.;1522368;b1;;I;3;SAO PAULO;SP;06/2003;NA;NA;440.452;86.880;527.332;2.234.390;NA;NA;NA;NA;1.122.556;NA;3.356.946;NA;NA%;NA%;15,71%;NA%;5,83%
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;06/2003;NA;NA;298.986;94.431;393.417;2.679.434;NA;NA;NA;NA;265.704;NA;2.945.138;NA;NA%;NA%;13,36%;NA%;40,50%
BIC;32119;b1;;C;2;SAO PAULO;SP;06/2003;NA;NA;253.887;76.814;330.701;2.412.788;NA;NA;NA;NA;490.579;NA;2.903.366;NA;NA%;NA%;11,39%;NA%;11,97%
PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;06/2003;NA;NA;518.743;0;518.743;1.108.199;NA;NA;NA;NA;1.712.017;NA;2.820.216;NA;NA%;NA%;18,39%;NA%;4,61%
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;688.998;115.817;804.815;1.128.560;NA;NA;NA;NA;1.423.089;NA;2.551.649;NA;NA%;NA%;31,54%;NA%;5,20%
BANCO GENERAL MOTORS S.A.;59274605;b2;;I;3;SAO PAULO;SP;06/2003;NA;NA;290.493;81.023;371.516;2.129.308;NA;NA;NA;NA;377.566;NA;2.506.874;NA;NA%;NA%;14,82%;NA%;22,98%
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;393.011;0;393.011;2.323.364;NA;NA;NA;NA;54.576;NA;2.377.940;NA;NA%;NA%;16,53%;NA%;35,06%
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;06/2003;NA;NA;1.279.748;17.011;1.296.759;2.192.919;NA;NA;NA;NA;19.123;NA;2.212.042;NA;NA%;NA%;58,62%;NA%;5,82%
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;06/2003;NA;NA;296.782;0;296.782;1.239.134;NA;NA;NA;NA;968.203;NA;2.207.336;NA;NA%;NA%;13,45%;NA%;13,35%
FIBRA;49951;b1;;C;2;SAO PAULO;SP;06/2003;NA;NA;383.341;0;383.341;1.648.567;NA;NA;NA;NA;385.003;NA;2.033.571;NA;NA%;NA%;18,85%;NA%;3,36%
SS;31323;b1;;C;2;SAO PAULO;SP;06/2003;NA;NA;218.949;0;218.949;1.907.692;NA;NA;NA;NA;80.009;NA;1.987.702;NA;NA%;NA%;11,02%;NA%;38,32%
CACIQUE;51121;b1;;I;2;SAO PAULO;SP;06/2003;NA;NA;228.745;0;228.745;486.252;NA;NA;NA;NA;1.463.328;NA;1.949.581;NA;NA%;NA%;11,73%;NA%;4,11%
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;275.025;137.513;412.538;964.999;NA;NA;NA;NA;906.157;NA;1.871.156;NA;NA%;NA%;22,05%;NA%;21,11%
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;06/2003;NA;NA;223.813;0;223.813;1.776.013;NA;NA;NA;NA;61.301;NA;1.837.314;NA;NA%;NA%;12,18%;NA%;2,83%
BANK OF AMERICA;50146;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;280.003;0;280.003;601.804;NA;NA;NA;NA;1.208.265;NA;1.810.069;NA;NA%;NA%;15,47%;NA%;11,07%
ING;51073;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;307.038;8.586;315.624;918.861;NA;NA;NA;NA;559.374;NA;1.478.235;NA;NA%;NA%;21,35%;NA%;1,47%
BNL;30513;b1;;C;3;SAO PAULO;SP;06/2003;NA;NA;166.489;75.656;242.145;1.382.842;NA;NA;NA;NA;84.497;NA;1.467.340;NA;NA%;NA%;16,50%;NA%;18,64%
