Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2003;NA;NA;11.959.316;6.006.581;17.965.897;100.882.059;NA;NA;NA;NA;18.964.536;NA;119.846.595;NA;NA%;NA%;14,99%;NA%;69,77%
BB;49906;b1;;C;1;BRASILIA;DF;03/2003;NA;NA;10.139.173;4.406.301;14.545.474;104.676.287;NA;NA;NA;NA;4.514.821;NA;109.191.108;NA;NA%;NA%;13,32%;NA%;25,03%
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2003;NA;NA;11.968.573;4.966.967;16.935.540;72.634.995;NA;NA;NA;NA;18.602.495;NA;91.237.490;NA;NA%;NA%;18,56%;NA%;48,06%
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;03/2003;NA;NA;11.717.162;3.322.827;15.039.989;75.461.694;NA;NA;NA;NA;972.292;NA;76.433.987;NA;NA%;NA%;19,68%;NA%;42,92%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;03/2003;NA;NA;6.802.532;905.283;7.707.815;46.804.397;NA;NA;NA;NA;4.792.636;NA;51.597.033;NA;NA%;NA%;14,94%;NA%;48,87%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;03/2003;NA;NA;6.148.400;12.565;6.160.965;29.674.776;NA;NA;NA;NA;10.929.908;NA;40.604.684;NA;NA%;NA%;15,17%;NA%;34,70%
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;03/2003;NA;NA;7.164.812;0;7.164.812;35.122.799;NA;NA;NA;NA;3.171.327;NA;38.294.127;NA;NA%;NA%;18,71%;NA%;27,67%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2003;NA;NA;4.763.963;429.644;5.193.608;28.770.164;NA;NA;NA;NA;1.432.286;NA;30.202.450;NA;NA%;NA%;17,20%;NA%;45,16%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2003;NA;NA;2.904.764;0;2.904.764;14.819.827;NA;NA;NA;NA;7.445.583;NA;22.265.409;NA;NA%;NA%;13,05%;NA%;18,49%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2003;NA;NA;3.880.378;0;3.880.378;13.657.252;NA;NA;NA;NA;7.737.420;NA;21.394.672;NA;NA%;NA%;18,14%;NA%;4,28%
