Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2008;NA;NA;50.932.595;15.909.429;66.766.103;403.454.797;0;260.891;4.346.564;1.255.018;5.862.473;4.495.645;413.812.915;NA;NA%;NA%;16,13%;NA%;39,60%
BB;49906;b1;;C;1;BRASILIA;DF;12/2008;NA;NA;31.205.472;12.909.594;44.110.455;278.854.857;0;172.576;741.545;167.032;1.081.153;3.644.586;283.580.597;NA;NA%;NA%;15,55%;NA%;14,59%
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2008;NA;NA;38.241.298;9.546.099;47.733.605;272.367.172;0;87.842;6.919.079;57.964;7.064.885;2.576.151;282.008.207;NA;NA%;NA%;16,93%;NA%;48,03%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2008;NA;NA;48.801.549;8.504.338;54.047.300;228.712.373;0;69.909;4.678.762;136.436;4.885.107;2.610.233;236.207.713;NA;NA%;NA%;22,88%;NA%;55,68%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2008;NA;NA;24.953.430;18.696.863;42.560.445;215.061.190;0;0;6.145.559;0;6.145.559;1.191.014;222.397.763;NA;NA%;NA%;19,14%;NA%;19,45%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2008;NA;NA;12.593.391;9.212.685;21.797.226;98.517.795;0;0;927.747;0;927.747;6.219.552;105.665.094;NA;NA%;NA%;20,63%;NA%;11,99%
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2008;NA;NA;5.683.270;1.717.940;7.401.211;58.245.096;0;0;667.284;56.104;723.388;1.146.005;60.114.489;NA;NA%;NA%;12,31%;NA%;27,81%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2008;NA;NA;6.388.586;1.452.455;7.841.042;53.230.966;0;65.044;3.668.354;50.532;3.783.931;1.160.312;58.175.209;NA;NA%;NA%;13,48%;NA%;0,94%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2008;NA;NA;4.335.704;749.876;5.085.580;33.812.068;0;0;1.014;84;1.098;835.022;34.648.187;NA;NA%;NA%;14,68%;NA%;24,59%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2008;NA;NA;4.448.389;452.582;4.900.972;26.723.704;0;247.954;2.468.374;0;2.716.328;848.222;30.288.253;NA;NA%;NA%;16,18%;NA%;14,69%
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;12/2008;NA;NA;2.499.717;121.077;2.484.851;10.271.762;4.742.200;0;3.250.087;95.156;8.087.443;545.413;18.904.617;NA;NA%;NA%;13,14%;NA%;23,72%
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;12/2008;NA;NA;3.193.174;29.517;3.109.359;17.190.081;0;0;646.193;0;646.193;692.496;18.528.770;NA;NA%;NA%;16,78%;NA%;11,96%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2008;NA;NA;3.150.245;-9.513;3.027.258;11.995.623;0;0;2.391.458;178.641;2.570.099;505.812;15.071.534;NA;NA%;NA%;20,09%;NA%;8,38%
