Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2006;NA;NA;20.242.357;8.549.094;28.791.451;127.689.362;NA;NA;NA;NA;23.500.565;NA;151.189.927;NA;NA%;NA%;19,04%;NA%;44,58%
BB;49906;b1;;C;1;BRASILIA;DF;03/2006;NA;NA;19.169.470;8.093.393;27.262.863;145.787.258;NA;NA;NA;NA;3.791.709;NA;149.578.967;NA;NA%;NA%;18,23%;NA%;16,97%
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2006;NA;NA;19.044.563;2.830.628;21.875.191;107.050.624;NA;NA;NA;NA;24.503.986;NA;131.554.610;NA;NA%;NA%;16,63%;NA%;36,42%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2006;NA;NA;17.044.410;8.569.768;25.614.178;120.792.033;NA;NA;NA;NA;284.577;NA;121.076.611;NA;NA%;NA%;21,16%;NA%;55,93%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;03/2006;NA;NA;9.552.226;2.605.286;12.157.512;66.708.160;NA;NA;NA;NA;7.639.176;NA;74.347.336;NA;NA%;NA%;16,35%;NA%;45,07%
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;03/2006;NA;NA;7.879.442;1.088.825;8.968.267;57.579.163;NA;NA;NA;NA;10.146.350;NA;67.725.513;NA;NA%;NA%;13,24%;NA%;20,16%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;03/2006;NA;NA;9.385.985;110.452;9.496.437;59.716.328;NA;NA;NA;NA;2.911.082;NA;62.627.409;NA;NA%;NA%;15,16%;NA%;24,09%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2006;NA;NA;7.986.161;3.958.089;11.944.250;39.756.128;NA;NA;NA;NA;1.109.981;NA;40.866.110;NA;NA%;NA%;29,23%;NA%;17,94%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2006;NA;NA;4.097.846;0;4.097.846;28.395.246;NA;NA;NA;NA;4.539.168;NA;32.934.414;NA;NA%;NA%;12,44%;NA%;14,70%
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2006;NA;NA;3.648.755;453.068;4.101.822;27.664.207;NA;NA;NA;NA;976.216;NA;28.640.423;NA;NA%;NA%;14,32%;NA%;34,67%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2006;NA;NA;4.872.553;0;4.872.553;25.711.375;NA;NA;NA;NA;1.915.437;NA;27.626.812;NA;NA%;NA%;17,64%;NA%;1,40%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2006;NA;NA;3.156.024;0;3.156.024;17.504.515;NA;NA;NA;NA;9.397.571;NA;26.902.086;NA;NA%;NA%;11,73%;NA%;35,60%
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;03/2006;NA;NA;2.054.925;187.572;2.242.498;14.946.629;NA;NA;NA;NA;2.762.927;NA;17.709.556;NA;NA%;NA%;12,66%;NA%;20,95%
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;03/2006;NA;NA;1.433.511;0;1.433.511;4.591.461;NA;NA;NA;NA;4.730.342;NA;9.321.803;NA;NA%;NA%;15,38%;NA%;3,61%
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;03/2006;NA;NA;2.449.216;32.643;2.481.859;7.842.742;NA;NA;NA;NA;875.408;NA;8.718.150;NA;NA%;NA%;28,47%;NA%;20,01%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;03/2006;NA;NA;1.421.555;42.610;1.464.166;7.643.813;NA;NA;NA;NA;7.323;NA;7.651.136;NA;NA%;NA%;19,14%;NA%;12,01%
