Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;09/2001;NA;NA;8.604.659;33.445;8.638.104;93.961.609;NA;NA;NA;NA;7.049.931;NA;101.011.540;NA;NA%;NA%;8,55%;NA%;41,82%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2001;NA;NA;12.125.623;6.062.812;18.188.435;82.562.785;NA;NA;NA;NA;14.232.781;NA;96.795.567;NA;NA%;NA%;18,79%;NA%;65,18%
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2001;NA;NA;9.104.149;936.287;10.040.436;53.718.658;NA;NA;NA;NA;20.115.908;NA;73.834.566;NA;NA%;NA%;13,60%;NA%;74,89%
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;09/2001;NA;NA;9.489.048;1;9.489.049;69.425.795;NA;NA;NA;NA;2.670.826;NA;72.096.621;NA;NA%;NA%;13,16%;NA%;53,83%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;09/2001;NA;NA;6.217.856;5.319;6.223.175;42.423.786;NA;NA;NA;NA;4.360.342;NA;46.784.128;NA;NA%;NA%;13,30%;NA%;65,11%
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;09/2001;NA;NA;4.872.260;0;4.872.260;34.783.562;NA;NA;NA;NA;4.887.278;NA;39.670.840;NA;NA%;NA%;12,28%;NA%;41,61%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;09/2001;NA;NA;5.082.790;7.182;5.089.972;22.797.082;NA;NA;NA;NA;6.190.827;NA;28.987.909;NA;NA%;NA%;17,56%;NA%;42,52%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2001;NA;NA;3.755.760;494.690;4.250.450;27.464.464;NA;NA;NA;NA;1.276.366;NA;28.740.830;NA;NA%;NA%;14,79%;NA%;58,57%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2001;NA;NA;2.814.032;0;2.814.032;17.881.123;NA;NA;NA;NA;5.007.530;NA;22.888.653;NA;NA%;NA%;12,29%;NA%;5,95%
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;09/2001;NA;NA;1.977.027;0;1.977.027;16.164.632;NA;NA;NA;NA;1.382.669;NA;17.547.301;NA;NA%;NA%;11,27%;NA%;21,26%
