Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;06/2004;NA;NA;12.702.342;5.596.940;18.299.282;120.527.431;NA;NA;NA;NA;6.657.421;NA;127.184.852;NA;NA%;NA%;14,39%;NA%;22,13%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2004;NA;NA;14.345.623;7.197.801;21.543.424;110.349.157;NA;NA;NA;NA;13.380.703;NA;123.729.860;NA;NA%;NA%;17,41%;NA%;60,22%
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2004;NA;NA;13.536.283;5.987.368;19.523.650;96.974.491;NA;NA;NA;NA;11.079.034;NA;108.053.525;NA;NA%;NA%;18,07%;NA%;41,88%
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;13.693.574;4.572.505;18.266.079;77.064.117;NA;NA;NA;NA;15.238.425;NA;92.302.542;NA;NA%;NA%;19,79%;NA%;42,75%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;7.859.487;1.526.424;9.385.910;49.416.346;NA;NA;NA;NA;6.681.493;NA;56.097.839;NA;NA%;NA%;16,73%;NA%;48,32%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;06/2004;NA;NA;8.773.611;639.231;9.412.842;43.136.787;NA;NA;NA;NA;8.001.994;NA;51.138.782;NA;NA%;NA%;18,41%;NA%;32,73%
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;06/2004;NA;NA;7.773.932;0;7.773.932;37.744.661;NA;NA;NA;NA;9.654.989;NA;47.399.650;NA;NA%;NA%;16,40%;NA%;26,94%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2004;NA;NA;5.575.753;409.736;5.985.489;29.336.275;NA;NA;NA;NA;4.716.349;NA;34.052.624;NA;NA%;NA%;17,58%;NA%;34,56%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;3.432.601;0;3.432.601;20.853.143;NA;NA;NA;NA;4.108.338;NA;24.961.481;NA;NA%;NA%;13,75%;NA%;16,17%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2004;NA;NA;3.162.752;0;3.162.752;13.993.678;NA;NA;NA;NA;6.045.259;NA;20.038.937;NA;NA%;NA%;15,78%;NA%;5,01%
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2004;NA;NA;2.095.127;519.275;2.614.402;17.868.601;NA;NA;NA;NA;1.988.642;NA;19.857.243;NA;NA%;NA%;13,17%;NA%;37,17%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;3.013.760;0;3.013.760;9.151.950;NA;NA;NA;NA;5.959.325;NA;15.111.275;NA;NA%;NA%;19,94%;NA%;1,41%
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;06/2004;NA;NA;2.953.016;568.764;3.521.780;14.165.452;NA;NA;NA;NA;559.135;NA;14.724.587;NA;NA%;NA%;23,92%;NA%;14,98%
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;06/2004;NA;NA;1.834.337;33.733;1.868.070;5.964.719;NA;NA;NA;NA;915.035;NA;6.879.754;NA;NA%;NA%;27,15%;NA%;20,18%
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2004;NA;NA;1.260.546;0;1.260.546;2.818.311;NA;NA;NA;NA;3.920.267;NA;6.738.578;NA;NA%;NA%;18,71%;NA%;4,41%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;06/2004;NA;NA;1.270.244;43.432;1.313.676;6.240.161;NA;NA;NA;NA;63.391;NA;6.303.552;NA;NA%;NA%;20,84%;NA%;11,49%
ALFA;51293;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;924.206;180.461;1.104.667;5.234.833;NA;NA;NA;NA;277.661;NA;5.512.495;NA;NA%;NA%;20,04%;NA%;19,83%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;06/2004;NA;NA;833.046;2.335;835.381;4.669.598;NA;NA;NA;NA;737.229;NA;5.406.827;NA;NA%;NA%;15,45%;NA%;29,70%
SANTOS;50177;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;595.779;4.940;600.719;4.933.061;NA;NA;NA;NA;280.095;NA;5.213.157;NA;NA%;NA%;11,52%;NA%;76,13%
RURAL;31244;b1;;C;2;RIO DE JANEIRO;RJ;06/2004;NA;NA;680.280;34.841;715.121;4.671.826;NA;NA;NA;NA;190.897;NA;4.862.723;NA;NA%;NA%;14,71%;NA%;25,59%
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;06/2004;NA;NA;573.006;0;573.006;4.460.406;NA;NA;NA;NA;180.298;NA;4.640.704;NA;NA%;NA%;12,35%;NA%;11,17%
BIC;32119;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;288.987;111.595;400.582;3.331.790;NA;NA;NA;NA;78.317;NA;3.410.107;NA;NA%;NA%;11,75%;NA%;8,33%
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;06/2004;NA;NA;333.224;83.785;417.009;3.067.179;NA;NA;NA;NA;231.179;NA;3.298.358;NA;NA%;NA%;12,64%;NA%;35,40%
PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;06/2004;NA;NA;551.336;0;551.336;2.105.656;NA;NA;NA;NA;1.130.430;NA;3.236.086;NA;NA%;NA%;17,04%;NA%;4,45%
BANCO BNP PARIBAS BRASIL S.A.;1522368;b1;;I;3;SAO PAULO;SP;06/2004;NA;NA;517.069;71.477;588.546;2.160.917;NA;NA;NA;NA;915.705;NA;3.076.622;NA;NA%;NA%;19,13%;NA%;5,40%
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;06/2004;NA;NA;430.728;0;430.728;2.792.227;NA;NA;NA;NA;78.303;NA;2.870.530;NA;NA%;NA%;15,01%;NA%;5,58%
BANCO GENERAL MOTORS S.A.;59274605;b2;;I;3;SAO PAULO;SP;06/2004;NA;NA;375.738;60.500;436.238;2.660.777;NA;NA;NA;NA;194.426;NA;2.855.203;NA;NA%;NA%;15,28%;NA%;25,26%
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;06/2004;NA;NA;1.448.782;16.418;1.465.199;2.829.543;NA;NA;NA;NA;19.864;NA;2.849.407;NA;NA%;NA%;51,42%;NA%;5,54%
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;06/2004;NA;NA;392.189;0;392.189;1.917.273;NA;NA;NA;NA;713.061;NA;2.630.335;NA;NA%;NA%;14,91%;NA%;10,70%
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;06/2004;NA;NA;728.281;94.094;822.375;2.012.844;NA;NA;NA;NA;590.969;NA;2.603.813;NA;NA%;NA%;31,58%;NA%;4,94%
SS;31323;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;305.224;0;305.224;2.424.597;NA;NA;NA;NA;141.977;NA;2.566.574;NA;NA%;NA%;11,89%;NA%;26,94%
FIBRA;49951;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;428.260;0;428.260;2.391.632;NA;NA;NA;NA;63.011;NA;2.454.643;NA;NA%;NA%;17,45%;NA%;7,73%
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;06/2004;NA;NA;368.422;0;368.422;2.152.505;NA;NA;NA;NA;161.220;NA;2.313.724;NA;NA%;NA%;15,92%;NA%;2,40%
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;06/2004;NA;NA;174.180;87.090;261.270;1.044.159;NA;NA;NA;NA;909.249;NA;1.953.407;NA;NA%;NA%;13,38%;NA%;22,07%
BBM;30207;b1;;C;2;SALVADOR;BA;06/2004;NA;NA;261.329;81.038;342.366;1.070.981;NA;NA;NA;NA;864.162;NA;1.935.143;NA;NA%;NA%;17,69%;NA%;12,54%
DAIMLERCHRYSLER;51262;b2;;C;3;SAO PAULO;SP;06/2004;NA;NA;190.444;26.910;217.354;1.654.513;NA;NA;NA;NA;222.016;NA;1.876.529;NA;NA%;NA%;11,58%;NA%;2,13%
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;06/2004;NA;NA;525.243;0;525.243;1.761.928;NA;NA;NA;NA;0;NA;1.761.928;NA;NA%;NA%;29,81%;NA%;1,23%
BMC;30276;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;149.898;79.888;229.785;1.550.579;NA;NA;NA;NA;135.846;NA;1.686.425;NA;NA%;NA%;13,63%;NA%;13,36%
BANCO IBI S.A. - BANCO MÚLTIPLO;4184779;b1;;I;3;BARUERI;SP;06/2004;NA;NA;333.273;0;333.273;1.621.184;NA;NA;NA;NA;36.792;NA;1.657.976;NA;NA%;NA%;20,10%;NA%;2,68%
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;06/2004;NA;NA;172.820;38.550;211.370;1.304.654;NA;NA;NA;NA;77.972;NA;1.382.627;NA;NA%;NA%;15,29%;NA%;0,93%
BRB;31976;b1;;C;1;BRASILIA;DF;06/2004;NA;NA;245.989;0;245.989;1.232.114;NA;NA;NA;NA;63.231;NA;1.295.345;NA;NA%;NA%;18,99%;NA%;29,74%
CACIQUE;51121;b1;;I;2;SAO PAULO;SP;06/2004;NA;NA;259.888;0;259.888;461.844;NA;NA;NA;NA;695.434;NA;1.157.278;NA;NA%;NA%;22,46%;NA%;8,48%
BANCO WESTLB DO BRASIL S.A.;61088183;b1;;I;3;SAO PAULO;SP;06/2004;NA;NA;340.396;0;340.396;610.160;NA;NA;NA;NA;513.429;NA;1.123.589;NA;NA%;NA%;30,30%;NA%;1,73%
BANCO JOHN DEERE S.A.;91884981;b1;;I;3;PORTO ALEGRE;RS;06/2004;NA;NA;138.048;0;138.048;1.059.353;NA;NA;NA;NA;63.507;NA;1.122.860;NA;NA%;NA%;12,29%;NA%;1,11%
BANCO DE LAGE LANDEN FINANCIAL SERVICES BRASIL S.A.;5040481;b2;;I;3;CANOAS;RS;06/2004;NA;NA;102.280;47.606;149.886;1.046.910;NA;NA;NA;NA;52.564;NA;1.099.474;NA;NA%;NA%;13,63%;NA%;0,31%
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;38486817;b4;;I;1;BELO HORIZONTE;MG;06/2004;NA;NA;453.774;0;453.774;867.768;NA;NA;NA;NA;220.834;NA;1.088.603;NA;NA%;NA%;41,68%;NA%;4,76%
BANCO FIDIS DE INVESTIMENTO S.A.;62237425;b2;;I;3;BETIM;MG;06/2004;NA;NA;337.618;0;337.618;1.015.359;NA;NA;NA;NA;14.649;NA;1.030.009;NA;NA%;NA%;32,78%;NA%;0,11%
PINE;50304;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;162.447;0;162.447;930.872;NA;NA;NA;NA;80.690;NA;1.011.562;NA;NA%;NA%;16,06%;NA%;8,01%
BANESTES;30159;b1;;C;1;VITORIA;ES;06/2004;NA;NA;171.066;485;171.550;899.923;NA;NA;NA;NA;108.608;NA;1.008.531;NA;NA%;NA%;17,01%;NA%;42,73%
SOFISA;31873;b1;;I;2;SAO PAULO;SP;06/2004;NA;NA;229.281;12.466;241.748;654.502;NA;NA;NA;NA;343.374;NA;997.877;NA;NA%;NA%;24,23%;NA%;14,63%
SCHAHIN;50191;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;107.639;0;107.639;824.158;NA;NA;NA;NA;111.023;NA;935.181;NA;NA%;NA%;11,51%;NA%;4,33%
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;06/2004;NA;NA;307.398;2.506;309.905;675.968;NA;NA;NA;NA;225.145;NA;901.113;NA;NA%;NA%;34,39%;NA%;26,49%
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;06/2004;NA;NA;120.476;6.536;127.012;538.540;NA;NA;NA;NA;307.825;NA;846.365;NA;NA%;NA%;15,01%;NA%;47,50%
BANCO DE TOKYO-MITSUBISHI BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;06/2004;NA;NA;375.791;0;375.791;703.841;NA;NA;NA;NA;116.023;NA;819.864;NA;NA%;NA%;45,84%;NA%;1,64%
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;06/2004;NA;NA;1.253.600;0;1.253.600;791.835;NA;NA;NA;NA;0;NA;791.835;NA;NA%;NA%;158,32%;NA%;0,03%
