Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2009;NA;NA;55.623.803;12.837.003;68.432.521;379.403.366;0;616.496;3.526.154;2.058.364;6.201.014;17.109.027;402.713.408;NA;NA%;NA%;16,99%;NA%;32,89%
BB;49906;b1;;C;1;BRASILIA;DF;12/2009;NA;NA;41.086.960;17.004.390;54.529.352;360.068.817;0;285.604;2.022.502;290.529;2.598.635;20.927.371;383.594.824;NA;NA%;NA%;14,22%;NA%;15,65%
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2009;NA;NA;45.927.212;9.622.413;55.463.721;299.191.864;0;23.562;2.633.300;340.869;2.997.732;10.298.468;312.488.064;NA;NA%;NA%;17,75%;NA%;45,68%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2009;NA;NA;31.584.789;23.994.260;54.066.214;294.074.067;0;0;931.257;0;931.257;5.070.768;300.076.091;NA;NA%;NA%;18,02%;NA%;0,43%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2009;NA;NA;65.003.314;9.972.644;74.973.507;209.991.814;0;0;4.840.927;183.973;5.024.900;9.371.090;224.387.804;NA;NA%;NA%;33,41%;NA%;40,04%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2009;NA;NA;14.970.201;11.276.219;26.245.187;138.429.370;0;0;810.246;0;810.246;10.787.049;150.026.665;NA;NA%;NA%;17,49%;NA%;16,64%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2009;NA;NA;7.108.438;2.043.191;9.151.629;60.159.797;0;12.367;6.836.427;206.916;7.055.709;3.432.015;70.647.522;NA;NA%;NA%;12,95%;NA%;1,35%
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2009;NA;NA;6.835.595;2.129.460;8.965.055;51.409.883;0;0;829.792;78.558;908.350;4.984.737;57.302.970;NA;NA%;NA%;15,65%;NA%;31,46%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2009;NA;NA;5.197.534;493.198;5.690.732;26.367.092;4.123.059;125.021;1.456.296;5.280;5.709.655;4.180.356;36.257.102;NA;NA%;NA%;15,70%;NA%;15,60%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2009;NA;NA;5.117.479;697.974;5.815.453;35.397.974;0;0;533.859;31.615;565.474;259.111;36.222.559;NA;NA%;NA%;16,05%;NA%;25,18%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;12/2009;NA;NA;1.973.582;718.824;2.692.406;18.412.002;0;167.414;4.017;0;171.431;2.145.836;20.729.269;NA;NA%;NA%;12,99%;NA%;7,22%
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;12/2009;NA;NA;2.248.125;-68;2.248.057;14.666.769;2.771.855;26.945;1.658.464;0;4.457.264;77.594;19.201.627;NA;NA%;NA%;11,71%;NA%;2,35%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2009;NA;NA;3.477.019;-5.885;3.349.412;14.235.053;0;0;2.735.938;21.108;2.757.046;2.199.217;19.191.316;NA;NA%;NA%;17,45%;NA%;8,35%
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2009;NA;NA;3.224.913;0;3.160.793;8.172.599;1.657.436;15.867;1.724.100;1.688.072;5.085.476;2.112.513;15.370.588;NA;NA%;NA%;20,56%;NA%;2,76%
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;12/2009;NA;NA;2.946.633;89.571;2.963.328;8.769.225;2.345.739;0;961.969;736.927;4.044.636;2.237.468;15.051.328;NA;NA%;NA%;19,69%;NA%;16,52%
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;12/2009;NA;NA;1.583.096;311.317;1.894.413;14.297.382;0;0;0;0;0;304.689;14.602.071;NA;NA%;NA%;12,97%;NA%;7,44%
BIC;32119;b1;;C;2;SAO PAULO;SP;12/2009;NA;NA;1.744.576;216.411;1.960.988;10.684.371;742.327;0;6.964;34.511;783.802;678.272;12.146.445;NA;NA%;NA%;16,14%;NA%;2,73%
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;12/2009;NA;NA;1.580.182;228.651;1.808.833;7.901.270;0;0;646.351;0;646.351;2.114.155;10.661.776;NA;NA%;NA%;16,97%;NA%;7,30%
ALFA;51293;b1;;C;2;SAO PAULO;SP;12/2009;NA;NA;1.728.642;0;1.727.443;7.880.633;18.077;0;117.614;14;135.705;536.095;8.552.432;NA;NA%;NA%;20,20%;NA%;10,36%
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;12/2009;NA;NA;1.751.804;119.826;1.871.629;6.047.645;1.465.482;0;64;0;1.465.545;891.943;8.405.134;NA;NA%;NA%;22,27%;NA%;11,68%
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;12/2009;NA;NA;1.225.960;2.367;1.228.327;7.961.242;0;0;50.955;2.709;53.664;374.931;8.389.837;NA;NA%;NA%;14,64%;NA%;1,24%
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;12/2009;NA;NA;1.522.420;247.611;1.770.031;6.779.081;0;0;592.241;0;592.241;979.600;8.350.923;NA;NA%;NA%;21,20%;NA%;2,26%
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;12/2009;NA;NA;1.064.323;0;1.064.323;6.556.503;0;0;433.856;0;433.856;570.415;7.560.774;NA;NA%;NA%;14,08%;NA%;19,44%
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;12/2009;NA;NA;1.052.701;13.135;1.065.835;5.602.196;30.549;0;319.736;203.885;554.170;475.523;6.631.888;NA;NA%;NA%;16,07%;NA%;8,71%
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;12/2009;NA;NA;735.330;124.597;859.927;6.386.065;0;0;0;0;0;216.645;6.602.710;NA;NA%;NA%;13,02%;NA%;0,21%
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;12/2009;NA;NA;1.534.396;0;1.507.251;3.400.438;404.173;54.156;1.348.934;446.046;2.253.308;606.032;6.259.779;NA;NA%;NA%;24,08%;NA%;3,15%
FIBRA;49951;b1;;C;2;SAO PAULO;SP;12/2009;NA;NA;745.384;353.073;1.098.457;5.772.164;0;0;148.383;166.262;314.645;113.761;6.200.570;NA;NA%;NA%;17,72%;NA%;41,85%
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;12/2009;NA;NA;526.742;263.530;790.272;5.737.762;0;0;123;0;123;228.849;5.966.733;NA;NA%;NA%;13,24%;NA%;12,60%
