Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2009;NA;NA;53.518.849;13.408.115;66.751.490;374.289.938;0;375.694;5.341.014;1.865.273;7.581.981;17.109.027;398.980.946;NA;NA%;NA%;16,73%;NA%;31,68%
BB;49906;b1;;C;1;BRASILIA;DF;09/2009;NA;NA;36.140.034;15.660.174;48.849.545;337.805.196;0;221.761;1.870.562;221.097;2.313.420;20.927.371;361.045.987;NA;NA%;NA%;13,53%;NA%;16,24%
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2009;NA;NA;43.378.240;10.523.630;53.839.773;286.213.862;0;15.021;3.601.921;232.784;3.849.726;10.298.468;300.362.056;NA;NA%;NA%;17,92%;NA%;44,34%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2009;NA;NA;26.315.553;19.502.361;44.305.080;258.271.956;0;0;1.274.385;0;1.274.385;5.070.768;264.617.109;NA;NA%;NA%;16,74%;NA%;0,51%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2009;NA;NA;52.093.999;9.813.173;61.903.402;203.946.746;0;0;5.316.882;362.764;5.679.645;9.371.090;218.997.481;NA;NA%;NA%;28,27%;NA%;49,07%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2009;NA;NA;11.939.465;11.162.400;23.097.027;131.896.902;0;0;965.880;0;965.880;10.787.049;143.649.832;NA;NA%;NA%;16,08%;NA%;13,82%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2009;NA;NA;6.964.488;1.184.617;8.149.105;58.513.472;0;11.873;6.663.023;179.925;6.854.821;3.432.015;68.800.309;NA;NA%;NA%;11,84%;NA%;1,53%
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2009;NA;NA;5.555.528;2.194.617;7.750.146;51.462.587;0;0;600.466;143.587;744.054;4.984.737;57.191.378;NA;NA%;NA%;13,55%;NA%;33,25%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2009;NA;NA;4.912.956;494.841;5.407.797;25.403.809;4.324.570;118.227;1.867.556;8.637;6.318.990;4.180.356;35.903.154;NA;NA%;NA%;15,06%;NA%;15,54%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2009;NA;NA;4.832.811;710.864;5.543.675;33.615.553;0;0;95.588;190;95.778;259.111;33.970.442;NA;NA%;NA%;16,32%;NA%;26,58%
