Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;1.163.468;300.694;1.464.162;10.369.721;NA;NA;NA;NA;832.437;NA;11.202.158;NA;NA%;NA%;13,07%;NA%;0,00%
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;1.196.541;0;1.196.541;9.444.903;NA;NA;NA;NA;1.252.131;NA;10.697.034;NA;NA%;NA%;11,19%;NA%;0,00%
SUDAMERIS;31330;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;815.629;406.483;1.222.112;8.735.326;NA;NA;NA;NA;339.992;NA;9.075.317;NA;NA%;NA%;13,47%;NA%;0,00%
BBA-CREDITANSTALT;50012;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;1.004.720;0;1.004.720;7.667.343;NA;NA;NA;NA;695.411;NA;8.362.754;NA;NA%;NA%;12,01%;NA%;0,00%
MERCANTIL SP;20145;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;1.056.807;65.996;1.122.803;6.054.748;NA;NA;NA;NA;846.540;NA;6.901.288;NA;NA%;NA%;16,27%;NA%;0,00%
BILBAO VIZCAYA;50452;b1;;C;3;SALVADOR;BA;12/2000;NA;NA;497.809;237.977;735.785;4.321.719;NA;NA;NA;NA;154.193;NA;4.475.912;NA;NA%;NA%;16,44%;NA%;0,00%
NOSSA CAIXA - NOSSO BANCO S.A.;43073394;b1;;I;1;SAO PAULO;SP;12/2000;NA;NA;1.096.217;38.135;1.134.352;4.297.692;NA;NA;NA;NA;93.610;NA;4.391.302;NA;NA%;NA%;25,83%;NA%;0,00%
FIAT;30692;b2;;I;3;SAO PAULO;SP;12/2000;NA;NA;673.882;0;673.882;3.210.290;NA;NA;NA;NA;450.360;NA;3.660.650;NA;NA%;NA%;18,41%;NA%;0,00%
LLOYDS;20121;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;576.562;0;576.562;2.490.241;NA;NA;NA;NA;716.689;NA;3.206.930;NA;NA%;NA%;17,98%;NA%;0,00%
ALFA;51293;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;676.008;126.845;802.853;3.110.083;NA;NA;NA;NA;66.007;NA;3.176.090;NA;NA%;NA%;25,28%;NA%;0,00%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2000;NA;NA;542.863;2.273;545.136;2.529.036;NA;NA;NA;NA;232.950;NA;2.761.986;NA;NA%;NA%;19,74%;NA%;0,00%
FORD;51176;b2;;C;3;SAO PAULO;SP;12/2000;NA;NA;-8.840;0;-8.840;2.547.983;NA;NA;NA;NA;82.644;NA;2.630.626;NA;NA%;NA%;-0,34%;NA%;0,00%
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;12/2000;NA;NA;311.597;73.021;384.618;2.465.201;NA;NA;NA;NA;39.606;NA;2.504.808;NA;NA%;NA%;15,36%;NA%;0,00%
RURAL;31244;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;410.947;1.027;411.975;2.382.068;NA;NA;NA;NA;12.546;NA;2.394.614;NA;NA%;NA%;17,20%;NA%;0,00%
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;12/2000;NA;NA;282.676;0;282.676;2.207.915;NA;NA;NA;NA;127.884;NA;2.335.799;NA;NA%;NA%;12,10%;NA%;0,00%
GM;30795;b2;;C;3;SAO PAULO;SP;12/2000;NA;NA;224.174;0;224.174;2.288.175;NA;NA;NA;NA;10.330;NA;2.298.505;NA;NA%;NA%;9,75%;NA%;0,00%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;575.798;0;575.798;1.363.590;NA;NA;NA;NA;885.023;NA;2.248.614;NA;NA%;NA%;25,61%;NA%;0,00%
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;12/2000;NA;NA;244.714;18.473;263.187;2.127.220;NA;NA;NA;NA;4.082;NA;2.131.302;NA;NA%;NA%;12,35%;NA%;0,00%
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;301.783;0;301.783;1.877.121;NA;NA;NA;NA;159.419;NA;2.036.540;NA;NA%;NA%;14,82%;NA%;0,00%
BANCO SANTOS S.A.;58257619;b1;;I;2;SAO PAULO;SP;12/2000;NA;NA;226.662;0;226.662;1.363.379;NA;NA;NA;NA;618.490;NA;1.981.869;NA;NA%;NA%;11,44%;NA%;0,00%
CHASE;20107;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;690.057;222;690.279;1.434.461;NA;NA;NA;NA;472.814;NA;1.907.275;NA;NA%;NA%;36,19%;NA%;0,00%
BIC;32119;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;189.753;76.814;266.567;1.515.464;NA;NA;NA;NA;97.825;NA;1.613.289;NA;NA%;NA%;16,52%;NA%;0,00%
BBM;30207;b1;;C;2;SALVADOR;BA;12/2000;NA;NA;530.700;51.500;582.200;1.348.730;NA;NA;NA;NA;159.316;NA;1.508.046;NA;NA%;NA%;38,61%;NA%;0,00%
BANCOCIDADE;30104;b2;;C;2;SAO PAULO;SP;12/2000;NA;NA;210.416;0;210.416;1.386.227;NA;NA;NA;NA;87.475;NA;1.473.702;NA;NA%;NA%;14,28%;NA%;0,00%
DRESDNER;51059;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;228.851;6.953;235.804;1.430.018;NA;NA;NA;NA;14.448;NA;1.444.466;NA;NA%;NA%;16,32%;NA%;0,00%
BNL;30513;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;119.528;40.999;160.527;1.392.262;NA;NA;NA;NA;20.039;NA;1.412.301;NA;NA%;NA%;11,37%;NA%;0,00%
DAIMLERCHRYSLER;51262;b2;;C;3;SAO PAULO;SP;12/2000;NA;NA;113.034;56.517;169.551;1.231.966;NA;NA;NA;NA;163.100;NA;1.395.066;NA;NA%;NA%;12,15%;NA%;0,00%
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;256.750;256.750;513.499;697.797;NA;NA;NA;NA;680.840;NA;1.378.637;NA;NA%;NA%;37,25%;NA%;0,00%
IBM BRASIL LEASING ARRENDAMENTO MERCANTIL S/A;34270520;n1;;I;3;BARUERI;SP;12/2000;NA;NA;272.214;0;272.214;1.276.811;NA;NA;NA;NA;32.574;NA;1.309.385;NA;NA%;NA%;20,79%;NA%;0,00%
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;12/2000;NA;NA;341.096;0;341.096;1.252.932;NA;NA;NA;NA;0;NA;1.252.932;NA;NA%;NA%;27,22%;NA%;0,00%
SS;31323;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;167.786;0;167.786;1.149.749;NA;NA;NA;NA;83.630;NA;1.233.379;NA;NA%;NA%;13,60%;NA%;0,00%
CSFB GARANTIA;30771;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;327.855;98.952;426.807;847.904;NA;NA;NA;NA;369.139;NA;1.217.043;NA;NA%;NA%;35,07%;NA%;0,00%
PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;509.435;41;509.476;542.143;NA;NA;NA;NA;671.769;NA;1.213.912;NA;NA%;NA%;41,97%;NA%;0,00%
BMC;30276;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;104.553;81.437;185.989;1.116.946;NA;NA;NA;NA;81.212;NA;1.198.158;NA;NA%;NA%;15,52%;NA%;0,00%
FIBRA;49951;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;324.295;0;324.295;1.162.189;NA;NA;NA;NA;9.101;NA;1.171.290;NA;NA%;NA%;27,69%;NA%;0,00%
BARCLAYS GALI;51217;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;201.309;4;201.313;1.037.309;NA;NA;NA;NA;57.987;NA;1.095.295;NA;NA%;NA%;18,38%;NA%;0,00%
MULTI BANCO S.A.;92791813;b1;;I;3;SAO PAULO;SP;12/2000;NA;NA;326.846;82.934;409.780;570.131;NA;NA;NA;NA;467.665;NA;1.037.796;NA;NA%;NA%;39,49%;NA%;0,00%
BRB;31976;b1;;C;1;BRASILIA;DF;12/2000;NA;NA;159.680;29.261;188.942;966.733;NA;NA;NA;NA;52.171;NA;1.018.904;NA;NA%;NA%;18,54%;NA%;0,00%
BANCO FININVEST S.A.;33098518;b1;;I;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;145.342;18.458;163.799;936.599;NA;NA;NA;NA;31.842;NA;968.441;NA;NA%;NA%;16,91%;NA%;0,00%
BANESTES;30159;b1;;C;1;VITORIA;ES;12/2000;NA;NA;138.378;0;138.378;832.906;NA;NA;NA;NA;64.773;NA;897.679;NA;NA%;NA%;15,42%;NA%;0,00%
INTER AMEX;51145;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;150.129;173;150.302;733.521;NA;NA;NA;NA;144.505;NA;878.026;NA;NA%;NA%;17,12%;NA%;0,00%
BRASCAN;50885;b1;;C;3;RIO DE JANEIRO;RJ;12/2000;NA;NA;111.747;38.980;150.726;691.705;NA;NA;NA;NA;172.953;NA;864.658;NA;NA%;NA%;17,43%;NA%;0,00%
ECONOMIA CREDITO IMOBILIARIO S.A.-ECONOMISA;17441197;n1;;I;2;BELO HORIZONTE;MG;12/2000;NA;NA;622;622;1.244;813.375;NA;NA;NA;NA;0;NA;813.375;NA;NA%;NA%;0,15%;NA%;0,00%
SOFISA;31873;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;183.322;5.584;188.906;487.950;NA;NA;NA;NA;289.382;NA;777.332;NA;NA%;NA%;24,30%;NA%;0,00%
ING;51073;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;141.589;68.632;210.221;612.947;NA;NA;NA;NA;102.334;NA;715.281;NA;NA%;NA%;29,39%;NA%;0,00%
BANCO DE DESENVOLVIMENTO DO ESTADO DA BAHIA S.A.;15163587;b4;;I;1;SALVADOR;BA;12/2000;NA;NA;95.834;2.380;98.214;708.498;NA;NA;NA;NA;2.361;NA;710.859;NA;NA%;NA%;13,82%;NA%;0,00%
CACIQUE;51121;b1;;I;2;SAO PAULO;SP;12/2000;NA;NA;191.587;0;191.587;455.727;NA;NA;NA;NA;230.072;NA;685.799;NA;NA%;NA%;27,94%;NA%;0,00%
BANCO DE TOKYO-MITSUBISHI BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;12/2000;NA;NA;285.263;0;285.263;669.119;NA;NA;NA;NA;10.015;NA;679.135;NA;NA%;NA%;42,00%;NA%;0,00%
BANCO DO ESTADO DE GOIAS S.A.;1540541;b1;;I;1;GOIANIA;GO;12/2000;NA;NA;187.251;229;187.480;603.901;NA;NA;NA;NA;45.790;NA;649.690;NA;NA%;NA%;28,86%;NA%;0,00%
BANCO BANQUE NATIONALE DE PARIS BRASIL S.A.;1522368;b1;;I;3;SAO PAULO;SP;12/2000;NA;NA;107.232;32.301;139.533;565.499;NA;NA;NA;NA;65.549;NA;631.047;NA;NA%;NA%;22,11%;NA%;0,00%
EUROPEU;32078;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;175.615;0;175.615;460.791;NA;NA;NA;NA;144.118;NA;604.909;NA;NA%;NA%;29,03%;NA%;0,00%
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;12/2000;NA;NA;214.216;0;214.216;543.558;NA;NA;NA;NA;44.832;NA;588.390;NA;NA%;NA%;36,41%;NA%;0,00%
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;38486817;b4;;I;1;BELO HORIZONTE;MG;12/2000;NA;NA;125.049;0;125.049;542.562;NA;NA;NA;NA;31.955;NA;574.517;NA;NA%;NA%;21,77%;NA%;0,00%
FIAT LEASING S/A ARRENDAMENTO MERCANTIL;61190658;n1;;I;3;BARUERI;SP;12/2000;NA;NA;259.965;0;259.965;489.221;NA;NA;NA;NA;67.830;NA;557.051;NA;NA%;NA%;46,67%;NA%;0,00%
BANCO ZOGBI S.A.;61535100;b1;;I;2;SAO PAULO;SP;12/2000;NA;NA;195.440;2.747;198.187;504.547;NA;NA;NA;NA;50.255;NA;554.802;NA;NA%;NA%;35,72%;NA%;0,00%
BANCO BVA S.A.;32254138;b1;;I;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;84.561;3.353;87.914;431.737;NA;NA;NA;NA;70.653;NA;502.390;NA;NA%;NA%;17,50%;NA%;0,00%
BANCO NEW HOLLAND BRASIL S.A.;2992446;b2;;I;3;CURITIBA;PR;12/2000;NA;NA;55.998;0;55.998;448.480;NA;NA;NA;NA;13.489;NA;461.969;NA;NA%;NA%;12,12%;NA%;0,00%
BANCO JOHN DEERE S.A.;91884981;b1;;I;2;PORTO ALEGRE;RS;12/2000;NA;NA;74.413;0;74.413;426.848;NA;NA;NA;NA;21.508;NA;448.356;NA;NA%;NA%;16,60%;NA%;0,00%
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;12/2000;NA;NA;71.737;0;71.737;290.503;NA;NA;NA;NA;145.441;NA;435.944;NA;NA%;NA%;16,46%;NA%;0,00%
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;12/2000;NA;NA;752.684;0;752.684;433.269;NA;NA;NA;NA;2.616;NA;435.885;NA;NA%;NA%;172,68%;NA%;0,00%
PINE;50304;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;81.679;44.720;126.399;407.300;NA;NA;NA;NA;16.065;NA;423.365;NA;NA%;NA%;29,86%;NA%;0,00%
ICATU;50995;b2;;C;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;273.383;0;273.383;113.217;NA;NA;NA;NA;294.762;NA;407.978;NA;NA%;NA%;67,01%;NA%;0,00%
BANCO DO ESTADO DE SANTA CATARINA S.A.;83876003;b1;;I;1;FLORIANOPOLIS;SC;12/2000;NA;NA;641.841;0;641.841;399.085;NA;NA;NA;NA;5.673;NA;404.757;NA;NA%;NA%;158,57%;NA%;0,00%
SUL AMERICA;50108;b2;;C;2;SAO PAULO;SP;12/2000;NA;NA;83.025;46.183;129.207;351.363;NA;NA;NA;NA;13.471;NA;364.833;NA;NA%;NA%;35,42%;NA%;0,00%
AGF BRASEG;51066;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;114.998;0;114.998;302.528;NA;NA;NA;NA;54.811;NA;357.339;NA;NA%;NA%;32,18%;NA%;0,00%
SCHAHIN;50191;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;58.903;459;59.362;292.432;NA;NA;NA;NA;49.316;NA;341.748;NA;NA%;NA%;17,37%;NA%;0,00%
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;12/2000;NA;NA;51.290;0;51.290;333.365;NA;NA;NA;NA;8.083;NA;341.448;NA;NA%;NA%;15,02%;NA%;0,00%
BANCO INVESTCRED S.A.;61182408;b1;;I;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;75.479;0;75.479;302.350;NA;NA;NA;NA;20.011;NA;322.362;NA;NA%;NA%;23,41%;NA%;0,00%
BANCO COOPERATIVO SICREDI S.A. - BANSICREDI;1181521;b1;;I;2;PORTO ALEGRE;RS;12/2000;NA;NA;20.858;20.858;41.715;280.190;NA;NA;NA;NA;39.190;NA;319.380;NA;NA%;NA%;13,06%;NA%;0,00%
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;50.649;35.000;85.649;282.471;NA;NA;NA;NA;11.169;NA;293.640;NA;NA%;NA%;29,17%;NA%;0,00%
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;12/2000;NA;NA;117.381;3.780;121.161;267.921;NA;NA;NA;NA;24.751;NA;292.671;NA;NA%;NA%;41,40%;NA%;0,00%
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;69.140;0;69.140;201.727;NA;NA;NA;NA;84.898;NA;286.625;NA;NA%;NA%;24,12%;NA%;0,00%
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;12/2000;NA;NA;56.863;446;57.309;242.609;NA;NA;NA;NA;13.223;NA;255.832;NA;NA%;NA%;22,40%;NA%;0,00%
BANCO COMERCIAL URUGUAI S.A.;74828799;b1;;I;3;PORTO ALEGRE;RS;12/2000;NA;NA;39.669;0;39.669;234.115;NA;NA;NA;NA;15.923;NA;250.039;NA;NA%;NA%;15,87%;NA%;0,00%
BANCO SUMITOMO BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;12/2000;NA;NA;198.153;0;198.153;242.285;NA;NA;NA;NA;7.316;NA;249.602;NA;NA%;NA%;79,39%;NA%;0,00%
BANCO DO ESTADO DO AMAZONAS S.A.;4562120;b1;;I;1;MANAUS;AM;12/2000;NA;NA;48.793;48.793;97.585;159.338;NA;NA;NA;NA;85.674;NA;245.012;NA;NA%;NA%;39,83%;NA%;0,00%
BANCO COOPERATIVO DO BRASIL S.A.;2038232;b1;;I;2;BRASILIA;DF;12/2000;NA;NA;17.995;17.995;35.990;206.257;NA;NA;NA;NA;30.009;NA;236.266;NA;NA%;NA%;15,23%;NA%;0,00%
LIBERAL;50146;b2;;C;3;RIO DE JANEIRO;RJ;12/2000;NA;NA;200.240;0;200.240;139.498;NA;NA;NA;NA;89.864;NA;229.362;NA;NA%;NA%;87,30%;NA%;0,00%
BEC;30214;b1;;C;1;FORTALEZA;CE;12/2000;NA;NA;126.248;0;126.248;194.885;NA;NA;NA;NA;34.035;NA;228.920;NA;NA%;NA%;55,15%;NA%;0,00%
BANCO REDE S.A.;33603457;b2;;I;2;SAO PAULO;SP;12/2000;NA;NA;186.515;12.000;198.515;204.621;NA;NA;NA;NA;23.838;NA;228.459;NA;NA%;NA%;86,89%;NA%;0,00%
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;36.781;8;36.789;191.457;NA;NA;NA;NA;36.543;NA;228.001;NA;NA%;NA%;16,14%;NA%;0,00%
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;27.955;0;27.955;205.019;NA;NA;NA;NA;20.351;NA;225.370;NA;NA%;NA%;12,40%;NA%;0,00%
PROSPER;50414;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;27.013;21.075;48.088;170.509;NA;NA;NA;NA;51.078;NA;221.587;NA;NA%;NA%;21,70%;NA%;0,00%
PEBB;31158;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;105.463;174;105.637;147.526;NA;NA;NA;NA;69.405;NA;216.931;NA;NA%;NA%;48,70%;NA%;0,00%
HABITASUL - CREDITO IMOBILIARIO S/A;92859800;n1;;I;2;PORTO ALEGRE;RS;12/2000;NA;NA;29.641;0;29.641;212.583;NA;NA;NA;NA;0;NA;212.583;NA;NA%;NA%;13,94%;NA%;0,00%
FATOR;50122;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;45.506;0;45.506;181.578;NA;NA;NA;NA;20.374;NA;201.952;NA;NA%;NA%;22,53%;NA%;0,00%
BANCO CARGILL S.A.;3609817;b1;;I;3;SAO PAULO;SP;12/2000;NA;NA;52.581;0;52.581;157.977;NA;NA;NA;NA;30.427;NA;188.403;NA;NA%;NA%;27,91%;NA%;0,00%
STOCK;50201;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;50.423;0;50.423;171.680;NA;NA;NA;NA;15.855;NA;187.535;NA;NA%;NA%;26,89%;NA%;0,00%
BANCO EUROINVEST S.A. - EUROBANCO;13636030;b2;;I;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;41.460;0;41.460;127.364;NA;NA;NA;NA;57.133;NA;184.496;NA;NA%;NA%;22,47%;NA%;0,00%
MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;39.952;23.397;63.349;110.431;NA;NA;NA;NA;66.734;NA;177.165;NA;NA%;NA%;35,76%;NA%;0,00%
MAXIMA FINANCEIRA-CREDITO,FINANCIAMENTO E INVESTIMENTO S.A;3928044;n1;;I;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;19.390;0;19.390;165.582;NA;NA;NA;NA;10.721;NA;176.303;NA;NA%;NA%;11,00%;NA%;0,00%
HEWLETT-PACKARD ARRENDAMENTO MERCANTIL S.A.;2663739;n1;;I;3;BARUERI;SP;12/2000;NA;NA;103.756;0;103.756;165.038;NA;NA;NA;NA;11.245;NA;176.283;NA;NA%;NA%;58,86%;NA%;0,00%
BANCO ARAUCARIA S.A.;78336633;b1;;I;2;CURITIBA;PR;12/2000;NA;NA;19.992;12.150;32.142;146.763;NA;NA;NA;NA;24.451;NA;171.214;NA;NA%;NA%;18,77%;NA%;0,00%
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;12/2000;NA;NA;61.398;0;61.398;166.393;NA;NA;NA;NA;2.794;NA;169.187;NA;NA%;NA%;36,29%;NA%;0,00%
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;12/2000;NA;NA;41.741;0;41.741;120.773;NA;NA;NA;NA;41.574;NA;162.347;NA;NA%;NA%;25,71%;NA%;0,00%
BESC S/A - CREDITO IMOBILIARIO;83725150;n1;;I;1;FLORIANOPOLIS;SC;12/2000;NA;NA;-166.186;0;-166.186;156.863;NA;NA;NA;NA;0;NA;156.863;NA;NA%;NA%;-105,94%;NA%;0,00%
VOLVO;50933;b2;;C;3;CURITIBA;PR;12/2000;NA;NA;33.532;0;33.532;148.315;NA;NA;NA;NA;8.161;NA;156.476;NA;NA%;NA%;21,43%;NA%;0,00%
PRIMUS;20255;b1;;C;3;RIO DE JANEIRO;RJ;12/2000;NA;NA;34.867;0;34.867;130.560;NA;NA;NA;NA;24.768;NA;155.328;NA;NA%;NA%;22,45%;NA%;0,00%
BANCO FICSA S.A.;61348538;b1;;I;2;SAO PAULO;SP;12/2000;NA;NA;49.031;0;49.031;149.751;NA;NA;NA;NA;31;NA;149.782;NA;NA%;NA%;32,73%;NA%;0,00%
DOMUS - CIA. DE CREDITO IMOBILIARIO;10372647;n1;;I;2;FORTALEZA;CE;12/2000;NA;NA;7.610;0;7.610;145.161;NA;NA;NA;NA;0;NA;145.161;NA;NA%;NA%;5,24%;NA%;0,00%
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;;I;2;SAO PAULO;SP;12/2000;NA;NA;77.575;0;77.575;140.248;NA;NA;NA;NA;4.507;NA;144.755;NA;NA%;NA%;53,59%;NA%;0,00%
BANCO BRJ S.A.;27937333;b2;;I;2;RIO DE JANEIRO;RJ;12/2000;NA;NA;819;273;1.093;140.537;NA;NA;NA;NA;0;NA;140.537;NA;NA%;NA%;0,78%;NA%;0,00%
