Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2000;NA;NA;11.831.818;0;11.831.818;92.321.366;NA;NA;NA;NA;3.221.309;NA;95.542.675;NA;NA%;NA%;12,38%;NA%;0,00%
BB;49906;b1;;C;1;BRASILIA;DF;12/2000;NA;NA;7.931.738;33.263;7.965.001;89.197.907;NA;NA;NA;NA;4.048.752;NA;93.246.659;NA;NA%;NA%;8,54%;NA%;0,00%
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;12/2000;NA;NA;8.093.648;1;8.093.650;59.436.054;NA;NA;NA;NA;1.827.684;NA;61.263.737;NA;NA%;NA%;13,21%;NA%;0,00%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2000;NA;NA;2.556.278;513.746;3.070.024;60.025.778;NA;NA;NA;NA;847.808;NA;60.873.585;NA;NA%;NA%;5,04%;NA%;0,00%
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;7.737.321;4.995;7.742.316;43.642.739;NA;NA;NA;NA;7.545.453;NA;51.188.193;NA;NA%;NA%;15,13%;NA%;0,00%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;12/2000;NA;NA;5.610.297;1.333;5.611.629;33.762.147;NA;NA;NA;NA;495.219;NA;34.257.366;NA;NA%;NA%;16,38%;NA%;0,00%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;4.725.376;7.137;4.732.513;19.269.087;NA;NA;NA;NA;873.150;NA;20.142.237;NA;NA%;NA%;23,50%;NA%;0,00%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;2.015.753;0;2.015.753;13.317.146;NA;NA;NA;NA;2.570.777;NA;15.887.923;NA;NA%;NA%;12,69%;NA%;0,00%
SANTANDER BRASIL;30379;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;2.132.128;0;2.132.128;13.990.950;NA;NA;NA;NA;856.781;NA;14.847.731;NA;NA%;NA%;14,36%;NA%;0,00%
BANESPA;30135;b1;;C;3;SAO PAULO;SP;12/2000;NA;NA;2.034.979;0;2.034.979;13.489.894;NA;NA;NA;NA;1.173.221;NA;14.663.116;NA;NA%;NA%;13,88%;NA%;0,00%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;12/2000;NA;NA;943.711;53.922;997.633;13.410.075;NA;NA;NA;NA;342.700;NA;13.752.775;NA;NA%;NA%;7,25%;NA%;0,00%
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2000;NA;NA;1.576.017;90.249;1.666.266;10.430.549;NA;NA;NA;NA;966.529;NA;11.397.078;NA;NA%;NA%;14,62%;NA%;0,00%
