Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;03/2001;NA;NA;8.068.485;33.246;8.101.732;93.643.139;NA;NA;NA;NA;8.961.296;NA;102.604.434;NA;NA%;NA%;7,90%;NA%;45,79%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2001;NA;NA;11.613.267;0;11.613.267;94.497.217;NA;NA;NA;NA;331.271;NA;94.828.488;NA;NA%;NA%;12,25%;NA%;103,06%
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;03/2001;NA;NA;8.740.522;30;8.740.552;63.000.210;NA;NA;NA;NA;2.587.263;NA;65.587.473;NA;NA%;NA%;13,33%;NA%;52,03%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2001;NA;NA;2.465.934;510.268;2.976.203;58.491.027;NA;NA;NA;NA;1.878.998;NA;60.370.025;NA;NA%;NA%;4,93%;NA%;155,21%
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2001;NA;NA;7.901.885;5.028;7.906.912;48.750.533;NA;NA;NA;NA;7.305.029;NA;56.055.562;NA;NA%;NA%;14,11%;NA%;82,07%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;03/2001;NA;NA;5.850.813;1.281;5.852.094;38.206.241;NA;NA;NA;NA;1.049.686;NA;39.255.927;NA;NA%;NA%;14,91%;NA%;66,21%
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;03/2001;NA;NA;4.373.097;0;4.373.097;30.204.399;NA;NA;NA;NA;4.141.273;NA;34.345.672;NA;NA%;NA%;12,73%;NA%;42,78%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;03/2001;NA;NA;4.844.192;7.153;4.851.345;20.127.463;NA;NA;NA;NA;3.437.012;NA;23.564.474;NA;NA%;NA%;20,59%;NA%;46,91%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2001;NA;NA;2.271.654;0;2.271.654;15.785.932;NA;NA;NA;NA;3.084.349;NA;18.870.281;NA;NA%;NA%;12,04%;NA%;7,08%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;03/2001;NA;NA;957.011;53.240;1.010.251;13.749.726;NA;NA;NA;NA;614.181;NA;14.363.907;NA;NA%;NA%;7,03%;NA%;15,65%
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2001;NA;NA;1.527.866;93.597;1.621.463;11.657.113;NA;NA;NA;NA;1.744.328;NA;13.401.440;NA;NA%;NA%;12,10%;NA%;62,52%
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;03/2001;NA;NA;1.470.766;0;1.470.766;11.539.480;NA;NA;NA;NA;1.753.708;NA;13.293.188;NA;NA%;NA%;11,06%;NA%;24,38%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2001;NA;NA;1.232.685;300.694;1.533.378;10.862.179;NA;NA;NA;NA;804.595;NA;11.666.774;NA;NA%;NA%;13,14%;NA%;43,30%
SUDAMERIS;31330;b1;;C;3;SAO PAULO;SP;03/2001;NA;NA;851.902;436.771;1.288.673;9.496.250;NA;NA;NA;NA;593.360;NA;10.089.610;NA;NA%;NA%;12,77%;NA%;60,81%
