Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;06/2001;NA;NA;8.159.079;33.222;8.192.301;89.623.043;NA;NA;NA;NA;8.391.129;NA;98.014.171;NA;NA%;NA%;8,36%;NA%;44,77%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2001;NA;NA;11.788.938;5.894.469;17.683.407;79.867.211;NA;NA;NA;NA;402.852;NA;80.270.063;NA;NA%;NA%;22,03%;NA%;67,38%
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;06/2001;NA;NA;9.175.358;3.641;9.178.999;66.566.217;NA;NA;NA;NA;2.437.972;NA;69.004.188;NA;NA%;NA%;13,30%;NA%;52,11%
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2001;NA;NA;8.383.143;1.606;8.384.749;47.776.689;NA;NA;NA;NA;11.147.351;NA;58.924.040;NA;NA%;NA%;14,23%;NA%;80,15%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;06/2001;NA;NA;5.929.572;5.361;5.934.933;40.465.388;NA;NA;NA;NA;753.367;NA;41.218.754;NA;NA%;NA%;14,40%;NA%;66,40%
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;06/2001;NA;NA;4.586.309;0;4.586.309;34.638.022;NA;NA;NA;NA;4.170.256;NA;38.808.278;NA;NA%;NA%;11,82%;NA%;41,68%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2001;NA;NA;3.684.408;505.520;4.189.928;26.395.814;NA;NA;NA;NA;1.834.826;NA;28.230.640;NA;NA%;NA%;14,84%;NA%;61,42%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;06/2001;NA;NA;4.960.025;7.158;4.967.183;19.760.997;NA;NA;NA;NA;3.321.084;NA;23.082.081;NA;NA%;NA%;21,52%;NA%;44,51%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2001;NA;NA;2.407.762;0;2.407.762;15.765.043;NA;NA;NA;NA;4.770.052;NA;20.535.095;NA;NA%;NA%;11,73%;NA%;6,92%
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;06/2001;NA;NA;1.618.186;0;1.618.186;13.484.097;NA;NA;NA;NA;1.198.059;NA;14.682.156;NA;NA%;NA%;11,02%;NA%;23,99%
