Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM - PRUDENCIAL;51011;80484;b1;2;8;SAO PAULO;SP;03/2023;3.500.994;0;1.523.032;-363.311;221;63.044;4.723.980;-2.952.415;-112.853;0;0;-629.333;-3.694.602;1.029.379;56.732;170.812;-337.776;-385.670;-97.030;-45.224;545.212;-856.212;-949.156;80.222;159.617;239.840;91.451;-51.042;280.248;0
BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;03/2023;2.023.103;0;2.041.154;-233.483;27.794;82.930;3.941.497;-3.314.783;-269.440;0;0;-6.716;-3.590.939;350.557;23.795;1.341;-25.002;-280.835;-25.626;4.362;153.727;-67.189;-215.426;135.132;-4;135.128;-57.478;-4.368;73.282;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL - PRUDENCIAL;30173;80154;b1;1;8;PORTO ALEGRE;RS;03/2023;2.051.205;2.456;1.356.341;-76.783;0;324.252;3.657.472;-2.250.918;-238.028;-1.940;-7.441;-72.784;-2.571.111;1.086.362;23.270;190.636;-513.414;-404.371;-77.299;196.093;141.824;-469.771;-913.032;173.330;-2.022;171.308;104.426;-62.762;212.973;0
BANCO PAN S.A.;59285411;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2023;3.077.235;0;329.322;-174.965;405;85.545;3.317.541;-1.561.232;-11.404;0;0;-509.667;-2.082.302;1.235.238;108.899;108.358;-196.776;-950.718;-111.995;37.676;321.245;-356.930;-1.040.242;194.996;957;195.954;-23.695;0;172.258;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER - PRUDENCIAL;30379;80185;n1;2;14;SAO PAULO;SP;03/2023;2.660.732;0;227.873;0;0;0;2.888.605;-257.055;0;0;0;-1.038.388;-1.295.442;1.593.163;30.236;140.419;-53.894;-91.639;-146.280;10.772;1.631.793;-882.980;638.426;2.231.589;-1.941;2.229.649;-880.750;-8.781;1.340.118;0
BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;2;8;SAO PAULO;SP;03/2023;365.058;3.909;2.207.244;-701.372;310.200;556.068;2.741.108;-2.248.647;-224.199;-3.468;0;-28.136;-2.504.450;236.658;244.959;11.993;-260.574;-212.260;-75.576;72.904;942.679;-319.344;404.782;641.440;335;641.775;-240.595;-30.864;370.316;0
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;2038232;BANCOOB - PRUDENCIAL;51750;80879;b1;2;11;BRASILIA;DF;03/2023;1.089.072;0;1.487.217;946;437;44.849;2.622.521;-2.386.817;-67.547;0;0;-16.719;-2.471.083;151.438;348.732;21;-53.628;-106.717;-49.816;65.123;151.844;-337.125;18.435;169.873;33;169.905;-48.851;-3.618;117.437;0
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;03/2023;2.236.510;69.448;57.701;0;0;0;2.363.659;-1.469.157;0;-64.318;0;-447.189;-1.980.665;382.995;6.160;61.409;-98.156;-141.521;-41.264;49.406;283.013;-509.901;-390.854;-7.859;-32.568;-40.428;53.852;0;13.425;0
BANCO BMG S.A.;61186680;BMG - PRUDENCIAL;30290;80178;b1;2;8;SAO PAULO;SP;03/2023;1.755.217;0;361.546;202.182;243;0;2.319.188;-1.257.726;-18.725;0;0;-350.398;-1.626.849;692.340;41.521;27.902;-84.941;-485.200;-29.684;62.495;199.444;-486.413;-754.876;-62.536;-132;-62.668;125.722;-40.156;22.898;0
BANCO XP S.A.;33264668;XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;52120;82475;b1;2;8;RIO DE JANEIRO;RJ;03/2023;607.073;0;1.164.191;311.657;105.479;12.284;2.200.684;-2.005.189;-2.405;0;0;-10.609;-2.018.203;182.481;185.341;1.697;-68.122;-103.966;-20.027;-1.858;37.665;-221.044;-190.313;-7.832;723;-7.109;12.548;-28.080;-22.642;0
