Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Resultado de Intermediação Financeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resultado com Transações de Pagamento;;;;Outras Receitas / Despesas;;;;;;;;;;;Resultado antes da Tributação e Participações (x) = (k) + (l) + (w);Imposto de Renda e Contribuição Social (y);Participações no Lucro (z);Lucro Líquido (aa) = (x) + (y) + (z);
;;;;;;;;;;;;Rendas de Aplicações Interfinanceiras de Liquidez;;;;Rendas de Títulos e Valores Mobiliários;;;;;Rendas de Operações de Crédito;;;;;Rendas de Arrendamento Financeiro (d);Rendas de Outras Operações com Características de Concessão de Crédito (e);Resultado com Perda Esperada;;;;;;;Despesas de Captações;;;;;Despesas de Instrumentos de Dívida Elegíveis a Capital (h);Resultado com Derivativos (i);Outros Resultados de Intermediação Financeira (j);Resultado de Intermediação Financeira (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);Resultado com Serviços por Transações de Pagamento (l1);Resultados de Perda Esperada com Transações de Pagamento (l2);Outros Resultados com Transações de Pagamento (l3);Resultado com Transações de Pagamento (l);Rendas de Tarifas Bancárias (m);Outras Rendas de Prestação de Serviços (n);Despesas de Pessoal (o);Despesas Administrativas (p);Resultado com Perdas Esperadas de Outras Operações (q);Despesas de Juros Sobre Capital Próprio de Cooperativas (r);Despesas Tributárias (s);Resultado de Participações (t);Outras Receitas (u);Outras Despesas (v);Outras Receitas / Despesas (w)= (m) + (n) + (o) +  (p) + (q) + (r) + (s) + (t) + (u) + (v);;;;;
;;;;;;;;;;;;Receita de Juros com Aplicações Interfinanceiras de Liquidez (a1);Ajuste de Variação Cambial de Aplicações Interfinanceiras de Liquidez (a2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Aplicações Interfinanceiras de Liquidez (a3);Rendas de Aplicações Interfinanceiras de Liquidez (a);Receita de Juros com TVM (b1);Ajuste de Variação Cambial de TVM (b2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de TVM (b3);Outros Resultados de TVM (b4);Rendas de Títulos e Valores Mobiliários (b);Receita de Juros com Operações de Crédito (c1);Ajuste de Variação Cambial de Operações de Crédito (c2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Operações de Crédito (c3);Outros Resultados de Operações de Crédito (c4);Rendas de Operações de Crédito (c);;;Resultado com Perda Esperada de Aplicações Interfinanceiras de Liquidez (f1);Resultado com Perda Esperada de TVM (f2);Resultado com Perda Esperada de Operações de Crédito (f3);Resultado com Perda Esperada de Arrendamento (f4);Resultado com Perda Esperada de Outras Operações com Características de Concessão de Crédito(f5);Resultado com Perda Esperada de Outros Ativos Geradores de Renda (f6);Resultado com Perda Esperada (f);Despesa de Juros com Captações (g1);Ajuste de Variação Cambial de Captações (g2);Ajuste de Hedge de Valor Justo de Captações (g3);Outros Resultados de Captações (g4);Despesas de Captações (g);;;;;;;;;;;;;;;;;;;;;;;;
BANCO XP S.A.;33264668;XP - PRUDENCIAL;52120;82475;b1;2;8;RIO DE JANEIRO;RJ;03/2025;193.170.617;821.398;0;0;821.398;664.811;20.838;-74.728;-17.125;593.795;689.573;0;0;-5.781;683.792;0;40.293;131;-85;-22.716;0;-738;-21.520;-44.929;-3.676.060;0;0;-17.223;-3.693.284;0;1.541.117;6.903;-50.915;96.638;-39.862;8.942;65.718;287;26.612;-33.757;-178.603;-455;0;-9.125;245.209;602.420;-402.627;249.960;264.763;41.712;-50.081;256.394
BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;3;8;SAO PAULO;SP;03/2025;182.665.405;879.622;0;-116;879.506;1.202.183;-102.988;444.056;237.722;1.780.973;327.409;-1.192.271;0;4.335;-860.527;12;17.350;66.086;-503;-87.523;22;-7.484;-15.325;-44.727;-3.234.316;2.631.179;0;-24.259;-627.396;0;-964.701;-252.109;-71.618;2.173;-7.555;0;-5.382;32.516;192.819;-272.361;-304.401;-22.773;0;-141.257;59.068;1.317.739;-123.037;738.314;661.314;-204.721;-33.579;423.013
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;3;14;SAO PAULO;SP;03/2025;171.629.211;11.808;0;0;11.808;1.379.645;0;6.405;45.405;1.431.455;11.215.855;0;0;-50.945;11.164.910;0;0;0;-1.369;-5.437.545;0;0;430;-5.438.484;-3.932.247;0;0;-39.719;-3.971.965;0;-212.288;-32.349;2.953.086;-37;0;418.388;418.352;0;0;-324.967;-892.060;0;0;-516.852;-12.190;2.552.746;-213.651;593.025;3.964.464;-1.425.418;-34.823;2.504.223
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;2038232;BANCOOB - PRUDENCIAL;51750;80879;b1;2;11;BRASILIA;DF;03/2025;166.603.458;1.121.606;0;0;1.121.606;1.193.872;0;0;1.259;1.195.131;557.044;-9.557;0;3.002;550.488;0;53.279;0;0;-40.643;0;-697;9.165;-32.175;-3.538.942;0;0;-8.642;-3.547.585;0;43.043;22.818;-593.395;-21.069;18.849;91.012;88.793;28;69.696;-57.380;-160.003;-628;0;-41.475;106.963;1.128.494;-118.458;927.237;422.635;-145.154;-5.333;272.148
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL - PRUDENCIAL;30173;80154;b1;1;8;PORTO ALEGRE;RS;03/2025;151.181.637;114.609;0;0;114.609;1.679.717;0;12.043;266;1.692.026;2.502.105;0;0;37.023;2.539.128;535;50.753;9.546;81;-466.099;-2;-5.060;-294;-461.830;-3.337.144;0;0;-25.496;-3.362.640;100.459;-159.357;79.333;593.017;42.810;2.228;0;45.038;176.381;29.071;-574.766;-491.629;76.508;0;-100.512;193.298;656.205;-336.513;-371.957;266.097;34.832;-59.611;241.318
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP - PRUDENCIAL;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;03/2025;141.722.130;416.768;0;0;416.768;1.605.363;650;441.787;455.390;2.503.190;0;-17.754;0;0;-17.754;0;0;-8;-3.495;0;0;-6.630;-27.734;-37.867;-1.704.815;0;0;0;-1.704.815;0;522;0;1.160.044;0;0;0;0;274.025;837.480;-485.592;-1.171.261;0;0;-124.081;-2.214;863.569;-157.217;34.708;1.194.752;-32.454;-1.090.786;71.512
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM - PRUDENCIAL;51011;80484;b1;2;8;SAO PAULO;SP;03/2025;135.644.949;258.929;0;0;258.929;1.048.565;640.360;33.934;-10.424;1.712.435;3.998.511;0;91.489;-66.398;4.023.602;0;459.588;2.159;31.969;-617.444;-696;-25.803;0;-609.816;-2.693.980;0;0;-315.366;-3.009.347;-10.411;-1.284.144;0;1.540.837;902;0;0;902;198.588;55.720;-382.180;-487.390;-1.160;0;-148.661;-5.952;271.980;-319.507;-818.563;723.176;-165.023;-67.173;490.980
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;ITAU - PRUDENCIAL;;80099;n4;2;41;SAO PAULO;SP;03/2025;125.746.571;129.330;0;0;129.330;330.486;0;-25;0;330.461;0;0;0;0;0;0;0;0;0;0;0;0;-3.904;-3.904;0;0;0;0;0;0;0;0;455.887;443.573;0;1.196.704;1.640.278;0;43.182;-126.188;-448.826;0;0;-123.847;15.966;183.873;-199.679;-655.519;1.440.646;-449.557;-109.862;881.226
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1027058;CIELO IP - PRUDENCIAL;;84710;n4;2;41;BARUERI;SP;03/2025;117.268.636;3.366;0;0;3.366;3.839;0;0;516.649;520.489;0;0;0;0;0;0;0;0;0;0;0;0;-18.887;-18.887;-245.292;0;0;-195.869;-441.161;0;0;6.658;70.464;1.143.282;0;-120;1.143.162;0;55;-349.538;-560.450;0;0;-103.598;194.474;237.071;-80.118;-662.104;551.523;-94.280;-62.446;394.797
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE - PRUDENCIAL;20107;80116;b1;3;8;SAO PAULO;SP;03/2025;115.767.522;360.193;-8.558;-4.821;346.813;446.416;-316.150;161.800;212.835;504.900;65.186;0;0;0;65.186;0;19.910;0;0;-4.717;0;5.409;0;692;-809.711;2.230.350;0;-5.486;1.415.153;0;-2.664.219;196.667;-114.898;0;0;0;0;1.024;396.594;-294.959;-117.523;-134;0;-34.970;194.795;794.889;-38.151;901.564;786.667;-239.097;-9.261;538.309
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;NU PAGAMENTOS - PRUDENCIAL;;84693;n4;3;41;SAO PAULO;SP;03/2025;93.780.506;14.460;0;0;14.460;73.530;0;0;285;73.815;52;0;0;0;52;0;0;0;0;-71.507;0;0;-190.582;-262.089;0;0;0;0;0;0;12.137;-675.167;-836.792;2.032.365;0;0;2.032.365;0;92.659;-291.840;-1.184.553;0;0;-373.247;2.533.473;2.252.748;-1.397.640;1.631.601;2.827.174;52.112;-27.511;2.851.776
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER - PRUDENCIAL;30379;80185;n1;3;14;SAO PAULO;SP;03/2025;83.027.206;25.476;0;0;25.476;0;0;357.392;11.720;369.112;3.732.755;0;0;86.257;3.819.012;0;4.834;0;0;-1.065.610;0;-8.583;0;-1.074.193;-1.961.903;0;0;-19;-1.961.922;0;0;111.907;1.294.226;0;0;0;0;158.815;24.382;-73.711;-139.856;0;0;-128.565;17.973;304.944;-614.244;-450.262;843.964;-340.956;-7.022;495.986
BANCO INTER S.A.;416968;INTER - PRUDENCIAL;51884;80996;b1;2;8;BELO HORIZONTE;MG;03/2025;79.445.244;30.198;0;0;30.198;659.389;0;8.014;22.319;689.721;1.434.597;8.899;78.814;0;1.522.310;0;25.917;-147;-843;-451.026;0;633;0;-451.382;-1.181.883;0;0;-16.007;-1.197.890;0;-19.092;72.872;672.654;247.066;-39.645;35.763;243.184;13.419;3.385;-158.399;-427.248;-8.138;0;-88.700;11.046;212.418;-253.755;-695.971;219.867;-2.124;0;217.744
BANCO C6 S.A.;31872495;BANCO C6 - PRUDENCIAL;52072;84844;b1;2;8;SAO PAULO;SP;03/2025;78.701.741;77.094;0;0;77.094;868.586;0;-15.989;148.755;1.001.352;1.250.111;23.461;110.743;12.721;1.397.036;0;44.883;0;20;-374.589;0;763;0;-373.807;-1.541.123;0;-57.165;-407.989;-2.006.277;-11.624;-440.973;1.987;-310.328;35.934;35.486;0;71.421;12.009;386.970;-208.986;-363.072;21.876;0;-43.015;469.753;241.363;-103.224;413.675;174.768;140.213;-48.696;266.285
BANCO DAYCOVAL S.A.;62232889;BCO DAYCOVAL S.A - PRUDENCIAL;51987;81744;b1;2;8;SAO PAULO;SP;03/2025;75.774.111;145.780;-4.306;0;141.473;684.980;-1.350;7.915;18.711;710.255;1.709.563;-109.621;125.838;46.989;1.772.770;0;23.785;0;-5.412;205.686;0;-238.244;9.998;-27.971;-1.793.170;421.234;-21.980;-8.548;-1.402.465;0;-377.382;33.904;874.369;2.223;-114.318;0;-112.096;53.814;61.963;-217.547;-229.436;-8.820;0;-94.784;84.067;482.974;-206.597;-74.366;687.907;-175.284;-60.811;451.812
STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;STONE IP - PRUDENCIAL;;84686;n4;3;41;SAO PAULO;SP;03/2025;72.622.335;4.913;0;0;4.913;0;0;1.110.183;0;1.110.183;0;0;0;0;0;0;0;0;-7;0;0;0;603;597;-379.326;-3.806;0;-705.499;-1.088.630;0;18.735;121.453;167.251;462.645;-5.290;725.091;1.182.445;0;4.313;-307.686;-627.567;0;0;-170.577;50.055;170.846;-54.462;-935.076;414.620;-68.059;-82.498;264.063
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO;10440482;SANTANDER - PRUDENCIAL;;80185;n4;3;41;SAO PAULO;SP;03/2025;70.979.524;1.298;0;0;1.298;6.793;0;0;10.661;17.455;0;0;0;0;0;0;0;0;0;0;0;0;-13.482;-13.482;-4.449;0;0;0;-4.449;0;0;-2.281;-1.459;81.729;0;163.002;244.731;0;2.296;-130.883;-292.527;0;0;-42.858;-3.659;403.240;-40.782;-105.173;138.098;-33.308;0;104.790
BANCO DO NORDESTE DO BRASIL S.A.;7237373;BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;;81593;b1;1;8;FORTALEZA;CE;03/2025;70.923.904;88.193;-466;0;87.727;1.323.654;0;627;2.787;1.327.068;784.720;-24.484;0;108.319;868.555;0;20.966;0;960;-179.128;0;-58.581;-12;-236.761;-579.807;80.486;-7.668;-3.398;-510.388;0;-147.975;106.335;1.515.527;11.626;-1.057;0;10.569;29.516;894.922;-737.713;-631.121;-555.357;0;-160.857;215;1.050.842;-693.771;-803.324;722.772;-373.200;-8.359;341.213
BRB - BANCO DE BRASILIA S.A.;208;BRB - PRUDENCIAL;31976;80288;b1;1;8;BRASILIA;DF;03/2025;68.816.799;206.001;-117;0;205.884;200.665;0;0;70.605;271.271;1.883.623;0;0;361.523;2.245.147;0;-2.063;0;-2.098;-114.034;0;0;-4.209;-120.341;-1.559.103;-439;0;-31.215;-1.590.757;0;4;2.721;1.011.864;3.551;0;0;3.551;30.859;27.192;-314.372;-264.545;-11.493;0;-62.162;9.407;84.664;-65.597;-566.046;449.369;-177.359;-34.534;237.477
BANCO MASTER S/A;33923798;BANCO MASTER - PRUDENCIAL;50201;80367;b1;2;2;RIO DE JANEIRO;RJ;03/2025;68.344.170;9.485;0;0;9.485;276.023;0;-207.201;1.067.568;1.136.390;1.596.611;0;0;193.682;1.790.292;0;0;0;-1.148.285;-17.635;0;2.054;15.506;-1.148.360;-1.756.526;0;0;-12.419;-1.768.946;0;312.937;360.224;692.023;0;-660;0;-660;396;32.605;-58.557;-361.873;0;0;-14.171;-120.382;103.609;-36.784;-455.156;236.207;-139.506;-38.988;57.713
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;PAGSEGURO - PRUDENCIAL;;84813;n4;2;41;SAO PAULO;SP;03/2025;67.966.218;0;0;0;0;1.296.419;0;0;0;1.296.419;0;0;0;0;0;0;0;0;-10.876;0;0;0;0;-10.876;-1.134.468;0;0;0;-1.134.468;0;-31.491;0;119.583;357.333;136;1.048.962;1.406.431;0;10;-130.626;-824.804;0;0;-333.639;23.930;223.659;-340.470;-1.381.941;144.073;54.171;-23.622;174.621
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10573521;MERCADO PAGO IP - PRUDENCIAL;;84820;n4;3;41;OSASCO;SP;03/2025;67.892.163;114.724;0;0;114.724;745.998;0;2.487;2.263;750.748;0;0;0;0;0;0;0;0;1.002;0;0;-190.140;0;-189.138;-577.590;0;0;0;-577.590;0;-9.650;12.888;101.981;2.068.618;-946;-57.653;2.010.019;0;0;-226.033;-1.015.254;-33.718;0;-590.861;0;118.236;-182.390;-1.930.020;181.980;-53.399;0;128.581
BANCO PAN S.A.;59285411;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2025;67.445.434;5.952;0;0;5.952;226.817;0;0;0;226.817;3.536.797;0;614.377;83.344;4.234.518;0;0;0;0;-1.192.198;0;0;-12.157;-1.204.354;-1.700.266;0;-23.989;-4.885;-1.729.140;0;-532.331;16.918;1.018.379;81.449;0;0;81.449;159.948;79.530;-182.781;-568.343;0;0;-130.316;37.158;333.115;-600.301;-871.990;227.838;11.087;-31.127;207.798
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL - PRUDENCIAL;41856;80312;b1;3;8;SAO PAULO;SP;03/2025;58.876.585;212.196;-23.038;0;189.157;835.640;-121.034;16.106;-32.630;698.081;409.056;-57.709;0;20.987;372.334;0;30.546;265;-18.469;-22.613;0;4.001;-2.535;-39.351;-1.351.680;0;-5.376;-4.995;-1.362.051;0;13.700;243.493;145.910;214;0;13.208;13.422;8.237;11.455;-120.302;-82.706;-10.675;0;-12.817;108.633;200.020;-30.531;71.314;230.645;48.719;-53.799;225.566
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;03/2025;57.646.449;73.576;0;0;73.576;3.629;0;0;608;4.237;2.218.686;0;0;52.863;2.271.549;2.054;0;0;0;-386.158;0;14.411;1.529;-370.217;-1.621.987;0;0;-5;-1.621.993;0;0;0;359.206;0;0;0;0;13.550;1.854;-84.561;-132.128;0;0;-40.265;34.286;352.316;-309.284;-164.231;194.975;-67.265;0;127.711
BANCO DA AMAZONIA S.A.;4902979;BCO DA AMAZONIA S.A. - PRUDENCIAL;;81249;b1;1;2;BELEM;PA;03/2025;56.724.338;39.880;0;0;39.880;605.149;0;0;6.128;611.278;759.653;0;0;11.607;771.260;0;936;-13;-5.435;-277.856;0;0;-51;-283.355;-353.831;0;0;-1.965;-355.796;0;30;-4.270;779.964;0;0;0;0;57.323;138.697;-189.133;-136.349;-48.174;0;-43.300;0;534.153;-733.496;-420.279;359.686;-52.229;0;307.457
BANCO VOLKSWAGEN S.A.;59109165;VOLKSWAGEN - PRUDENCIAL;;80202;b2;3;8;SAO PAULO;SP;03/2025;55.002.105;20.185;0;0;20.185;0;0;0;2.122;2.122;1.861.074;0;0;71.688;1.932.762;7.650;0;10;0;-279.357;-133;17.378;-89;-262.190;-1.549.180;0;0;-9.447;-1.558.627;0;-97.191;165.856;210.567;0;0;0;0;408;1.570;-1.690;-128.520;-3;0;-33.680;25.661;435.085;-276.005;22.827;233.394;165.784;0;399.178
