Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Resultado de Intermediação Financeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resultado com Transações de Pagamento;;;;Outras Receitas / Despesas;;;;;;;;;;;Resultado antes da Tributação e Participações (x) = (k) + (l) + (w);Imposto de Renda e Contribuição Social (y);Participações no Lucro (z);Lucro Líquido (aa) = (x) + (y) + (z);
;;;;;;;;;;;;Rendas de Aplicações Interfinanceiras de Liquidez;;;;Rendas de Títulos e Valores Mobiliários;;;;;Rendas de Operações de Crédito;;;;;Rendas de Arrendamento Financeiro (d);Rendas de Outras Operações com Características de Concessão de Crédito (e);Resultado com Perda Esperada;;;;;;;Despesas de Captações;;;;;Despesas de Instrumentos de Dívida Elegíveis a Capital (h);Resultado com Derivativos (i);Outros Resultados de Intermediação Financeira (j);Resultado de Intermediação Financeira (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);Resultado com Serviços por Transações de Pagamento (l1);Resultados de Perda Esperada com Transações de Pagamento (l2);Outros Resultados com Transações de Pagamento (l3);Resultado com Transações de Pagamento (l);Rendas de Tarifas Bancárias (m);Outras Rendas de Prestação de Serviços (n);Despesas de Pessoal (o);Despesas Administrativas (p);Resultado com Perdas Esperadas de Outras Operações (q);Despesas de Juros Sobre Capital Próprio de Cooperativas (r);Despesas Tributárias (s);Resultado de Participações (t);Outras Receitas (u);Outras Despesas (v);Outras Receitas / Despesas (w)= (m) + (n) + (o) +  (p) + (q) + (r) + (s) + (t) + (u) + (v);;;;;
;;;;;;;;;;;;Receita de Juros com Aplicações Interfinanceiras de Liquidez (a1);Ajuste de Variação Cambial de Aplicações Interfinanceiras de Liquidez (a2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Aplicações Interfinanceiras de Liquidez (a3);Rendas de Aplicações Interfinanceiras de Liquidez (a);Receita de Juros com TVM (b1);Ajuste de Variação Cambial de TVM (b2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de TVM (b3);Outros Resultados de TVM (b4);Rendas de Títulos e Valores Mobiliários (b);Receita de Juros com Operações de Crédito (c1);Ajuste de Variação Cambial de Operações de Crédito (c2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Operações de Crédito (c3);Outros Resultados de Operações de Crédito (c4);Rendas de Operações de Crédito (c);;;Resultado com Perda Esperada de Aplicações Interfinanceiras de Liquidez (f1);Resultado com Perda Esperada de TVM (f2);Resultado com Perda Esperada de Operações de Crédito (f3);Resultado com Perda Esperada de Arrendamento (f4);Resultado com Perda Esperada de Outras Operações com Características de Concessão de Crédito(f5);Resultado com Perda Esperada de Outros Ativos Geradores de Renda (f6);Resultado com Perda Esperada (f);Despesa de Juros com Captações (g1);Ajuste de Variação Cambial de Captações (g2);Ajuste de Hedge de Valor Justo de Captações (g3);Outros Resultados de Captações (g4);Despesas de Captações (g);;;;;;;;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;06/2025;2.340.882.371;765.217;-4.399.988;0;-3.634.771;30.311.797;6.888;78.862;356.105;30.753.652;70.570.617;-4.014.011;3.035;2.218.435;68.778.076;0;9.049.158;1.562;173.966;-29.045.600;0;-63.250;-517.073;-29.450.396;-76.969.997;9.565.852;0;-479.688;-67.883.833;0;-2.319.481;3.121.023;8.413.427;849.289;581.654;18.819;1.449.762;3.075.252;5.346.429;-13.123.065;-7.574.933;121.402;0;-3.065.232;7.576.917;17.309.702;-14.073.239;-4.406.767;5.456.422;5.692.462;-1.264.635;9.884.249
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;06/2025;2.101.653.665;10.256.277;0;0;10.256.277;20.349.704;0;2.628.520;-320.604;22.657.621;68.440.194;2.930;571.516;3.008.016;72.022.655;0;-190.807;7.316;-185.523;-5.321.756;0;-98.048;1.053.284;-4.544.726;-76.446.022;60.660;0;-674.610;-77.059.971;0;-2.550.110;857.124;21.448.063;113.177;0;0;113.177;2.549.296;6.965.922;-14.555.338;-6.804.561;-1.072.626;0;-2.085.845;3.359.777;13.093.631;-12.793.977;-11.343.723;10.217.517;-415.184;-1.083.669;8.718.664
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2025;1.985.894.734;7.767.392;0;0;7.767.392;23.995.401;8.201.970;5.909.276;5.610.816;43.717.462;41.874.148;-2.346.295;0;68.002;39.595.855;-10;4.733.208;-2.396;2.157.870;-8.276.249;0;-1.497.461;-370.465;-7.988.700;-69.551.231;12.430.132;1.935;-527.242;-57.646.406;0;-7.252.484;2.216.380;25.142.698;746.261;-19.679;366.990;1.093.571;2.849.601;2.736.343;-6.812.043;-10.450.966;-62.289;0;-2.642.788;4.714.123;19.772.660;-13.554.633;-3.449.992;22.786.277;2.073.055;-7.507.996;17.351.336
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2025;1.693.382.247;7.690.406;0;0;7.690.406;11.760.097;-239.793;1.497.552;1.820.156;14.838.012;46.512.260;0;0;1.502.014;48.014.274;0;3.816.552;187.829;6.138.644;-13.602.913;0;-6.296.418;87.771;-13.485.087;-53.248.180;59.059;0;-602.698;-53.791.819;-4.158.713;1.648.151;2.894.715;7.466.491;3.336.565;5.579;0;3.342.144;3.143.631;3.251.424;-10.560.456;-9.351.893;-335.424;0;-2.672.823;3.779.959;24.787.513;-16.495.305;-4.453.374;6.355.261;5.513.657;0;11.868.917
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;06/2025;1.154.658.400;6.990.059;0;-1.979.136;5.010.923;15.169.087;7.411.417;3.220.853;251.404;26.052.761;28.888.163;2.983.362;0;70.155;31.941.679;85.257;1.398.163;0;-777.352;-10.836.578;0;-531.159;933.491;-11.211.598;-40.456.638;-2.633.048;-49.178;-310.013;-43.448.877;0;-4.151.433;6.351.026;12.027.902;2.784.275;59.592;1.215.263;4.059.129;2.321.033;3.194.079;-3.387.826;-7.595.773;691.774;0;-2.198.503;-1.809.710;9.692.086;-10.473.996;-9.566.836;6.520.195;1.815.580;-983.907;7.351.868
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2025;888.033.105;1.546.194;-159.186;0;1.387.009;7.053.016;-767.617;2.862.378;-125.178;9.022.600;14.631.994;-2.138.687;210.966;267.365;12.971.639;0;2.500.324;0;73.547;1.612.098;0;-4.253;109.092;1.790.483;-28.277.537;8.687.906;0;0;-19.589.631;0;-4.617.403;-4.947.595;-1.482.575;0;0;0;0;0;572.155;-668.499;-113.991;-9.297;0;-268.973;4.832.669;13.783.936;-2.700.939;15.427.060;13.944.486;-1.574.269;-1.172;12.369.044
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2025;494.797.418;3.455.320;0;-167.381;3.287.939;3.777.689;0;2.080.525;-1.609.846;4.248.368;1.706.867;0;68.490;58.392;1.833.750;9.233;2.598.649;-2.586;-12.044;-13.630;0;-352.272;1;-380.533;-14.717.394;0;-906.098;-77.099;-15.700.591;-1.301.906;4.411.144;9.917;-984.030;35.174;0;0;35.174;1.883;1.102.569;-1.685.458;-2.598.156;-62.829;0;-337.899;6.739.869;6.681.806;-501.994;9.339.792;8.390.936;-332.112;-839.678;7.219.145
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;06/2025;460.740.425;1.568.013;0;0;1.568.013;1.057.775;0;0;248.323;1.306.098;11.518.581;922;0;72.161;11.591.664;2.378;0;0;0;-6.185.877;-10;-143.171;-15.161;-6.344.220;-8.080.192;0;0;-142;-8.080.334;0;1.123.705;-586.128;581.176;4.813.441;0;-43.088;4.770.353;36.821;820.461;-289.921;-3.178.886;-39.718;0;-1.169.331;20.089.078;1.734.999;-2.275.756;15.727.748;21.079.277;1.348.696;-176.580;22.251.392
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;06/2025;246.782.674;2.679.332;0;-630.790;2.048.542;3.129.160;73;1.581.858;-537.931;4.173.160;4.645.485;70;81.910;250.860;4.978.325;370;1.618.857;0;-12.577;-611.551;0;-347.982;145.568;-826.542;-8.957.656;373.529;-105.071;-40.118;-8.729.316;-760.507;-4.038.878;963.526;-572.462;127.310;0;547.176;674.486;122.202;355.967;-1.186.419;-1.067.691;66.062;0;-218.728;1.602.537;3.017.182;-1.021.011;1.670.102;1.772.126;373.463;0;2.145.588
BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;06/2025;211.142.137;715.261;61;22.496;737.818;2.818.759;-3.313;928.710;40.614;3.784.771;1.872.665;-218.323;0;-1.523;1.652.819;0;82.366;3.392;-8.508;-3.431;0;514;10.277;2.244;-8.290.012;346.179;-44.041;-66.769;-8.054.643;-239.666;-1.331.701;314.732;-3.051.260;-348.527;92;194.235;-154.200;2.517;44.016;-58.532;-1.024.042;-872;0;-87.929;15.578;4.572.115;-46.784;3.416.067;210.607;-69.708;-6.593;134.305
